NOID	Author	Title	Alternative title	Year	
cz890rt578	Laberge, Elaine J	The reverberations of childhood poverty: Composing lives in higher education	The Echoes of Poverty: Composing Lives in Higher Education	2017
cqz20ss496	Kerage, Daniel A	Thinking inside and outside the blood vessel: S1P-mediated control of vascular tone and the impact of CMV infection	S1P, CMV infection and Vascular tone	2016
cht24wj66m	Zhira, Maxwell	The Migration of Zimbabweans to South Africa and their Working and Living Conditions, 2000-2010	The Migration of Zimbabweans to South Africa	2016
cws859f89h	Duran, Sandra M	Plant biodiversity effects on aboveground carbon storage in second-growth and old-growth tropical forests	Plant biodiversity effects on aboveground carbon storage in tropical forests	2015
cpn89d693q	Eggleston, Lauren K	Deformation and kinematic history of the Sackville and Moncton Subbasins, southeastern New Brunswick, Maritimes Basin of Atlantic Canada	Deformation, Sackville and Moncton, SE NB	2017
cg732d932x	Robertson, Nicole Lee M.	Water Absorption and Performance Degradation of Natural Fiber Reinforced Thermoplastic Composites	Water Absorption and Performance Degradation of Natural Fiber Reinforced Polyethylene Composites	2017
cqz20ss63w	Elsanabary, Mohamed Helmy Mahmoud Moustafa	Teleconnection, Modeling, Climate Anomalies Impact and Forecasting of Rainfall and Streamflow of the Upper Blue Nile River Basin	TELECONNECT BLUE NILE BASIN RAINFALL & RUNOFF	2012
ckd17cs89z	Alqahtani,Hind M	DDX17 (P72), a Sox2 binding partner, regulates Sox2 to sustain tumorigenic and stem-like properties in a phenotypically distinct subset of estrogen positive breast cancer cells	DDX17 (P72), a Sox2 binding partner, promotes stem-like features conferred by Sox2 in a small cell population in estrogen receptor-positive breast cancer	2016
chd76s0274	Cook, Samantha J.	Les qualites transitionnelles de Dans un gant de fer de Claire Martin dans le contexte de levolution de la societe quebecoise au milieu du vingtieme siecle	The transitional qualities of Claire Martins Dans un gant de fer in the context of the evolution of Quebec society in the mid-twentieth-century	2014
cgm80hv570	Lastname, Firstname Jr	Thesis test submission - DO NOT PICK UP TASK	First Alternative Title	2014
cgm80hv570	Lastname, Firstname Jr	Thesis test submission - DO NOT PICK UP TASK	Second Alternative Title	2014
cgm80hv570	Lastname, Firstname Jr	Thesis test submission - DO NOT PICK UP TASK	Third Alternative Title	2014
