NOID	Author	Title	Alternative title	Year	
r494vn207	Lyseng, Beverley Deanne.	Educational policy in an age of public relations: improving student achievement through comprehensive assessment and reporting	Assessing and reporting student growth.	1997
r494vn207	Lyseng, Beverley Deanne.	Educational policy in an age of public relations: improving student achievement through comprehensive assessment and reporting	Improving student achievement through comprehensive assessment and reporting.	1997
k930c029c	Weidenhamer, Heather Ann.	Abuse during pregnancy: understanding the silence	Pregnancy abuse, understanding the silence.	1997
k930c029c	Weidenhamer, Heather Ann.	Abuse during pregnancy: understanding the silence	Understanding the silence.	1997
s7526f543	Mryglod, Sylvia Pauline.	The nurse as a change agent in patient education	Nurse as change agent in patient education.	1986
h128nh076	Mills, Suzanne Elizabeth.	Bryophyte species composition and diversity at different scales in conifer-dominated boreal forest stands	Bryophyte species composition and diversity	2001
vh53wx74p	Everall, Robin Donne.	The last available option: young adults who attempt suicide	Last avble option.	1998
vh53wx74p	Everall, Robin Donne.	The last available option: young adults who attempt suicide	Young adults who attempt suicide.	1998
dn39x3244	Stambuski-Dart, Margaret.	CTS and WWW: facilitating student choice	Career and technology studies and the World Wide Web	1997
dn39x3244	Stambuski-Dart, Margaret.	CTS and WWW: facilitating student choice	Facilitating student choice.	1997
4t64gq452	Keefe, Clifford Dale.	Absolute infrared absorption intensities of liquid benzene	Absloute infrared intensities of liquid benzene	1994
s7526f56n	Cho, Byong Kwon.	Studies of catalytic processing for modified Claus plants	Studies of catalytic processing for Claus plants	1975
fj236415n	Katz, Georgia.	A constructivist approach to computer-based learning	Constructivist approach to CBI.	1996
tb09j7947	Rayat, Gina Ranile	Characterization of neonatal porcine islets as an alternative source of insulin-producing tissue for transplantation into patients with insulin-dependent diabetes mellitus	Characterization of neonatal procine islets	1999
fj236436d	Turner, Andrew Allan.	Effects of different training methods on flexibility	Effects of training on flexibility.	1982
pr76f580z	Crossman, Beverley E.	Characteristics of exemplary teachers mainstreaming special needs students into regular classrooms	Exemplary teachers mainstreaming students.	1996
x633f319n	Almeida, Anthony F.	Molecular interactions of (Na⁺ + K⁺)-ATPase with ouabain and the membrane	Molecular interactions of (Na⁺ + K⁺)-ATPase	1978
x633f319n	Almeida, Anthony F.	Molecular interactions of (Na⁺ + K⁺)-ATPase with ouabain and the membrane	Molecular interactions of sodium/potassium ATPase with ouabain and the membrane	1978
bg257h022	Chong, Shiao Choong.	The temple of communion: George Herbert and dialogism	George Herbert and dialogism	1997
2v23vw37r	Scorgie, Kathryn Ida.	From devastation to transformation: managing life when a child is disabled	Managing life when a child is disabled.	1996
cj82k9478	Hellsten, Laurie-Ann Michelle.	Time management training program: an intervention aimed at increasing exercise participation and exercise adherence	Exercise and time management: an intervention	1999
cj82k9478	Hellsten, Laurie-Ann Michelle.	Time management training program: an intervention aimed at increasing exercise participation and exercise adherence	Intervention aimed at increasing exercise participation and exercise adherence	1999
2j62s727w	Turner, Liana Jill.	Sexuality for breast cancer survivors: reconstructing sexual self-images	Reconstructing sexual self-images.	1999
vh53wx65q	Doan, Quang T.	Numerical simulation of sand deposition and accumulation in a horizontal well	Simulation of sand deposition.	1995
pr76f6032	Mitsui, David R. N.	Job analysis of the position of senior municipal recreation administrator	Job analysis of sr. rec. admin. position.	1983
fj236446n	Margetts, Timothy Gordon.	A survey of teachers opinions about Elders involvement in formative teacher evaluation	Teacher opinions of Elders as evaluators	2002
s7526f90z	Steinhilber, Mark	A re-examination of the nominal shortjaw cisco (Coregonus zenithicus) in Barrow Lake, Alberta and taxonomic evaluation of neighboring cisco populations	Shortjaw Cisco in Barrow Lake, Alberta	2000
41687k47j	Blackburn, Julia L.	Forecasting open water and ice related flood events using hydraulic modelling techniques	Forecasting floods using hydraulic modelling	2000
3n204156c	Nelson, Leslie Susan.	Making changes in sharing control: a hospitals journey to shared governance	Hospitals journey to shared governance	1996
2v23vw89h	Hadjimarcou, Michalis Ioannou.	Construction and in vivo characterization of a saccharomyces cerevisiae DNA polymerase delta exonuclease mutant	Proofreading by yeast DNA polymerase delta	1999
cv43p008k	Mummery, Christine C.	Efficacy of physiotherapy treatment for female urinary incontinence	Physiotherapy treatment for incontinence	1999
2j62s686v	Peterson, Gregory Warren.	Assessment of two molecular marker techniques in wheat (Triticum aestivum L.) populations segregating for aluminum resistance	Markers for al-resistance in wheat	1998
pr76f5664	Nsaliwa, Christina Doris.	Decentralization of educational decision making in Malawi	Decentralization of education in Malawi.	1996
j3860867f	Bell, Lindsay Dale-Ann.	Priest, from screen to stage: a dramaturgical transposition of Jimmy McGoverns screenplay	Dramaturgical transposition of Jimmy McGoverns screenplay	1997
2v23vw77q	Lavigne, Jason Michael.	Aspects of marginal marine sedimentology, stratigraphy and ichnology of the Upper Cretaceous Horseshoe Canyon Formation, Drumheller, Alberta	Sedimentology, stratigraphy and ichnology of the Horseshoe Canyon Formation	1999
pr76f536d	Rao, Nikhil.	Interfacial tension, blending and morphology of linear low density polyethylenes with polypropylene	Inf. ten., blending & morphology of LLDPE & PP	1999
2v23vx02v	Yee, Karen Ann.	Littoral benthic macroinvertebrate community dynamics in five eutrophic hardwater lakes in north-central Alberta and the influence of Ca(OH0)2 applications	Impact of lime additions on macroinvertebrates.	1997
2v23vx212	Morris, Heather M.	Health promotion as self nurturance: the personal experience of senior women living on limited incomes	Personal experience of senior women living on limited incomes	1997
rb68xd77x	Omoruan, Joseph C.	A study of the edo games of mid-western Nigeria	Edo games of mid-western Nigeria	1975
qr46r3325	Kingdon, Daniel.	Living in conversation with members of religious communities in schools: implications for curriculum and schooling	Implications for curriculum and schooling.	1997
qr46r3325	Kingdon, Daniel.	Living in conversation with members of religious communities in schools: implications for curriculum and schooling	Living in conversation, religious communities.	1997
w9505251s	McLean, Donna L.	Patients perceptions of participation in clinical research	Patients perceptions of clinical research.	1998
pk02cc697	Lumsden, Paul Lawrence.	The bear in selected American, Canadian, and Native literature: a pedagogical symbol linking humanity and nature	Pedagogical symbol linking humanity and nature	1997
gb19f767k	Spencer, Judith.	The poet in crisis: an examination of the role of the bouffon in Baudelaires works	Role of the bouffon in Baudelaires works	1979
t722hc336	Ishii, Yoshikazu.	A new method for multistage multicomponent separation calculations	Multicomponent separation calculations	1973
0k225c90z	Mahon, Michael James	An attributional analysis of motor performance outcomes and the development of learned helplessness in educable mentally retarded boys	Motor performance and learned helplessness in emr.	1983
ks65hf88w	Groenewold, Mark Adrian.	Images of the warrior: Yvain and the Heike Monogatari	Yvain and Heike Monogatari	1999
q811km226	Besserer, George Raymond Joseph.	The use of refractive index measurements in high pressure vapor-liquid equilibrium studies	Refractive index and vapor-liquid equilibria	1972
qv33rz74j	Lachapelle, Marie-Andrée.	Montre que tu es vivante: la relation mère-fille dans la littérature canadienne	Relation mère-fille dans la littérature canadienne	1995
qv33s023f	Reddick, Robert Donald.	The relationship between patient satisfaction and psychosocial adjustment in a forensic psychiatric outpatient population	Forensic psychiatric outpatient satisfaction.	1998
cz30pv94h	Alade, Emmanuel Bankole.	An appraisal of the legal issues in the management of Alberta oil sands as a model for the development of Nigeria oil sands	Legal management of Alberta oil sands as a model for Nigeria	2001
q811km803	Sipe, Charmaine Gayle.	An analysis of Later Stone Age assemblages in southwestern Tanzania	LSA assemblages in Southwestern Tanzania	2000
cz30pw22g	Chodan, Tim	The use and abuse of Jan Hus as an historical figure in Czech culture or: cooking your own goose : three Czech recipes	Cooking your own goose: three Czech recipes	1999
cz30pw22g	Chodan, Tim	The use and abuse of Jan Hus as an historical figure in Czech culture or: cooking your own goose : three Czech recipes	Three Czech recipes	1999
rr172030d	Cain, Heather.	Fluorescent derivatization of arginine- and carbonyl-containing analytes for analysis by capillary electrophoresis with laser-induced fluorescence detection	Fluorescent derivatization for analysis by CE-LIF	2000
qv33s0047	Mathew, Norman F.	The development and implementation of web-based instruction to create a self-paced learning environment in career and technology studies	Web-based instruction for self-paced learning.	1999
t722hc53p	Guo, Bing.	Biological variability in risk assessment modeling of industrial gases	Variability in risk assessment modeling	2001
5q47rq934	Schisler, Tanis.	Measurement of state anxiety in children in hospital: psychometric properties of the state-trait anxiety inventories	Psychometric properties of the state-trait anxiety inventories.	1995
5q47rq934	Schisler, Tanis.	Measurement of state anxiety in children in hospital: psychometric properties of the state-trait anxiety inventories	State anxiety in children in hospital.	1995
cz30pv79d	Hess, E. Laraine.	Osteology and odontology of the Sharphead burial site	Sharphead burial site.	1978
rr172010x	Whisson, Mark Burnett.	Partial purification and characterization of DCCD-sensitive ATPase from pea cotyledon mitochondria	DCCD-sensitive ATPase of pea mitochondria	1981
1z40kw451	Hill, Anne.	Pedagogical presence: an ethic of rhythmic relation in classrooms with young children	Pedagogical presence, rhythmic relation.	1996
8623j076d	Asong, Linus T.	The anti-hero in African fiction: an examination of psychological constructs and characterization techniques in six selected novels	Examination of psychological constructs and characterization techniques in six selected novels.	1984
xp68kj66c	Chaplin, Catherine E.	Isotope geology of the gloserheia granite pegmatite, South Norway	Isotope geology, gloserheia pegmatite, Norway	1981
fb494b38g	Scherr, Kimberly.	Factors affecting posttransplant outcomes in patients bridged to cardiac transplantation on ventricular assist devices	Patients bridged to cardiac transplant on VADS.	1997
794080140	Jodoin, Delaine Denise.	Health care restructuring and consumer preferences for end-of-life health care in Alberta in the 1990s	End-of-life health care preferences	1999
db78tf054	Wiemer, Annegret J.	The feminist science fiction utopia: faces of a genre, 1820 - 1987	Feminist science fiction utopia, 1820-1987	1991
8623j145m	Giroux, Pauline	First nation family culture: implications for the classroom	Implications for the classroom.	2000
df65vb264	Tilley, Linda Patricia.	Patterns of personality and offense characteristics of teenage sex offenders	Personality of teenage sex offenders.	1998
0v838231r	Harding, Angela.	Experience and the ideal: a study of the Old and Middle English lyric	Study of the Old and Middle English lyrics	1970
sb397b344	Eaket, Christopher Curtis.	Construction of the subject in Handke and Müller	Subjectivity in Handke and Müller	2001
08612q74s	Symonds, Robert William Philip.	The role of injection rate and adsorption in caustic flooding	Rate and adsorption in caustic flooding.	1980
0r967578d	Sanford, Kathy	Caught in the mixed messages of evaluation: teachers evaluating student writing	Teachers evaluating student writing.	1997
qf85nd350	Chacón Arias, Enrique.	Survey of International Students at the University of Alberta	Survey of International Students at the U of A.	1999
nz806213x	Crawford, Ellen.	Tubulin structure and implications for the self regulation of microtubules and their interaction with kinesin	Tubulin structure and MT-kinesin interactions	2002
qf85nd660	Hazen, Lynn C.	Testing interpersonal hypotheses: a re-examination of the preference for confirming evidence	Re-examination of the preference for confirming evidence.	1983
2r36v1075	Baksh, Ishmael J	Some factors related to educational expectation among East Indian and Negro students attending public secondary schools in Trinidad	Expect. among East Indian & Negro students in Trinidad.	1974
1z40kw08w	Moench, Judy Norine.	The effects of cognitive and meta-cognitive strategy instruction in decreasing inappropriate behavior in elementary aged students with behavior disorders	Behavior disorders & meta-cognitive strategies.	1998
j098zd73d	Boersma, Sigrid I.	Interactions among body weight, carcass characteristics, ovarian traits, and photoperiod in female broiler breeders	Sexual maturity in female broiler breeders	2002
8k71nk77q	Arroyo-Mora, Juan Pablo.	Forest cover assessment, fragmentation analysis and secondary forest detection for the Chorotega Region, Costa Rica	Forest cover assessment, Chorotega Region, Costa Rica	2002
8p58pg75p	Ghazal, Amal Nadim.	Beyond modernity: Islamic conservatism in the Late Ottoman Period	Islamic conservatism in the Late Ottoman Period	1999
2r36v145k	Miskiw, Sandra Lee.	The nature and intent of business involvement in cooperative education programs	Business involvement in coop education programs.	1999
nz806187h	Muchnik, F. Debra.	Sisters and strangers: Canadian ethnic women writers	Canadian ethnic women writers	1995
nz806187h	Muchnik, F. Debra.	Sisters and strangers: Canadian ethnic women writers	Sisters & strangers: Cdn ethic women writers	1995
x633f343q	Lazaruk, Lance W.	The impact of harvesting practices on the biodiversity of Picea glauca ectomycorrhizae	Biodiversity of Picea glauca ectomycorrhizae	2002
dz010s61z	Agapov, Yarolsav.	Landscape representations in Dostoevskys works: Dostoevskys use of works of art	Dostoevskys use of works of art	1999
x633f331x	Montgomery-Whicher, Rosemary.	Drawing from observation: a phenomenological inquiry	Drawing, a phenomenological inquiry.	1997
9593tx096	Wein, Laurie P.	Lost legacy: an examination of Canadas international climate change behaviour from 1990 to 2002	Canada and the climate change negotiations	2002
6w924d57h	Stewart, Garth Allan.	EEG characteristics of attention deficit disorders with and without hyperactivity	EEG characteristics of ADHD	1997
vx021h60q	Pounder, Carolyn Charnleigh.	The role of the family ritual: the enhancement of coping and meaning in grieving the loss of a child	Enhancement of coping and meaning grieving the loss of a child	1999
9593tx48w	Alshurafa, Hashem.	Assessing the role of protease-activated receptors in the release of inflammatory mediators from mast cells	PAR-induced mediator release by mast cells	2001
0v838239z	Souster, Michael Jon Edward.	The effect of high-intensity resistance training on the hormonal and strength responses in healthy elderly males	Resistance training in the elderly	1999
ft848s602	Dronamraju, Raghu.	Statistical techniques for correlating the shape and performance for new random packings	Techniques to correlate shape & performance	2002
8k71nk801	Thibeault, Jimmy.	Briser la chaîne identitaire ou apprendre à conjuguer lidentité au présent: réflexion sur le processus didentification dans Tchipayuk ou le chemin du loup de Ronald Lavallée, Cantique des plaines de Nancy Huston et Le Coulonneux de Simone Chaput	Briser la chaîne identitaire	2002
n296x136s	Cody, Michael Jonathan.	Cycling nitrogen for productivity in agroforestry: nitrogren, lignin and polyphenol controls on mineralization	Nitrogen, lignin and polyphenol controls on mineralization	1999
j098zc893	Smith, Lisa Wynne.	Medical knowledge and medical power: control of womens bodies in seventeenth-century England	Control of womens bodies in seventeenth-century England	1997
0v838229q	Spady, Donald William.	Who gets missed: coverage in the 1992 Alberta Newborn Screening Program	Coverage in the 1992 Alberta Newborn Screening Program	1997
vx021h54k	Dyck, Ruth A.	Stereotypes of sex-differentiation in English usage: an empirical study	Sex-differentiation in the use of English	1993
qn59q591w	Moyo, Patience Sibongile.	Discrete choice analysis of the feed technology decisions of smallholder dairy farmers in Zimbabwe	Discreet technology decisions: agroforestry	2001
0v838270f	Wong, Raymond Ki Wai.	Meteorological-hydrological relationships in Cypress Hills, Alberta: an attempt at model development for discharge forecasting	Met-hydro relationships, Cypress Hills	1974
8p58pg56g	Cherwick, Elizabeth Jones.	Factors affecting new music learning of young Suzuki violinists	New music learning of young Suzuki violinists.	1996
0v838288w	Murray, Jason Bryon.	A spirit in action: the therapeutic relationship with aboriginal clients	Therapeutic alliance and aboriginal clients	2002
xp68kj27p	Feneser, Adriana.	Identitätskonstruktion bei Hildegard von Bingen und Mechthild von Magdeburg	Identitätskonstruktion--Hildegard & Mechthild	2001
gm80hx737	Joseph, Nancy Susan.	Photoperiod, genotype, and nutritional influences on reproductive efficiency of female broiler breeders	Managing reproduction in broiler breeders	2001
qn59q641w	Deeb, Muḥammad A.	Unsī al-Ḥājj and the poème en prose in modern Arabic literature	Poème en prose in modern Arabic literature	1983
nz806165g	Morris, Robert Francis.	Nursing education program administrators: moving on	Nursing educ program administrators.	1997
8k71nk89h	Baulch, Helen Margaret.	Effects of increased temperature on epilithon and the implications of climate change	Effects of increased temperature on epilithon.	2002
mp48sf52x	Engle, Karen Jane.	Through a glass dardly: or, intertextual travel and Angela Carters de/constructions of identity	Intertextual travel and Angela Carters de/constructions of identity	1999
xp68kj17f	Castleden, Healther Evelyn.	The silent North: a case study on deafness in a Dene community	Silent North: deafness in a Dene community	2002
7p88cj275	Kurita, Janice Amy.	The role of social support in mediating the stress of school transitions	Support, stress and school transitions.	1999
9593tx25k	Soltys, Carrie-lynn Mary.	Characterization of mitochondrial fatty acylation and identification of a new fatty acylated protein: carbamoyl phosphate synthetase 1	Mitochondral protein fatty acylation	1999
nz8062057	Beeger, Jennifer.	Fantasy rehearsal and motor performance of softball players	Fantasy rehearsal and motor performance	2001
vx021h49q	Song, Se Jong.	Feasibility study of using waste products from chemical plants in waterflooding	Waterflooding using chemical effluents	1976
j098zd20c	Yip, Avery Wah Chow.	Central endothelin A receptors mediate the decrease in sympathetic activity during recovery from resistant stress	ET A receptors mediate sympathetic output	2000
xp68kj610	Leard, Diane Jean Wishart.	Cultural difference and teaching ESL students: a school based action research project	School based action research project.	1999
0v8382631	Schumaker, Carl David.	The risk of breast cancer from hormone replacement therapy combined with mammographic radiation exposure	Risk of breast cancer from HRT and radiation	1999
tx31qm039	Zuck, Nancy Christine.	Decision latitude, self-determination, and participation in workplace health promotion programs	Workplace health promotion	2000
qn59q589v	Gagné, Thomas Arthur.	College instructors perceptions of instructional skills development activities	College instructors perceptions of isd activities.	1998
js956h724	Cherwick, Brian A.	Polkas on the prairies: Ukrainian music and the construction of identity	Ukrainian music and the construction of identity	1999
vx021h02t	Li, Jianyi	Gao Xingjians The bus-stop: Chinese traditional theatre and Western avant-garde	Chinese theatre and western avant garde	1991
nz8061999	Agbogun, Jacob Bodunrin	Sports and politics: the stance of Nigeria on the South African apartheid policy insports, 1960-1982	Nigerias stance on apartheid sport policy	1983
gm80hx66t	Vanmaele, Rosa Pauline.	Role of carbohydrates in enteropathogenic escherichia coli adherence	Role of carbohydrates in EPEC adherence	1999
ft848s581	Reilly, Sean Taylor.	Flow liquefaction analysis of a slope failure in coal ash tailings	Liquefaction analysis of coal ash tailings	1995
ms35tb924	Hallett, William D.	A history of federal government involvement in the development of sport in Canada: 1943-1979	Federal government involvement in sport	1981
xp68kj831	Espiritu, Aileen A.	The impact of industrialization and resources development on indigenous peoples of northwest Siberia: the Khanty, Mansi and Iamalo-Nenets	Khanty, Mansi and Iamalo-Nenets	1999
xp68kj831	Espiritu, Aileen A.	The impact of industrialization and resources development on indigenous peoples of northwest Siberia: the Khanty, Mansi and Iamalo-Nenets	Khanty, Mansi and Iamalo-Nenets of West Siberia	1999
mp48sg17j	Bryman, Matthew Joseph.	Direct measurement of accumulation and localization of cadmium in giant algal cells of Chara corallina	Cadmium accumulation in Chara coralina	2002
8p58pg823	Myers, Michael Bernard.	Perceptions of relationships between school-based management, program quality and student achievement	School-based management student achievement.	1997
0v838248x	Buckley, Shelley Marie.	Effects of camber on physiological responses during simulated wheelchair exercise: age and gender comparisons	Wheelchair camber and physiological responses	1994
7p88cj410	Parker, Joanie Alana.	Dialogue journal writing and adult ESL students: a tool for learning language and culture	Tool for learning language and culture.	1999
nz8062014	Kreft, Mary Ellen.	Lactose hydrolysis by sonicated cultures of Lactobacillus delbrueckii subsp. bulgaricus 11842	Lactose hydrolysis by cultures of LB11842	2001
sb397b387	Jenkyns, James Allen.	The relationship between the type of physical education program and students academic achievement, leisure time activity and perceived competence	Comparison of PE programs, QDPE/Non-QDPE.	2001
ms35tb97h	Goddard, Nancy Carol.	The fourth dimension: conceptualizations of spirituality	4th dimension	1995
qn59q571d	Lucardie, Richard E.	Dutch perspectives on euthanasia in the Netherlands: a qualitative examination of caregivers and people with disabilities	Dutch perspectives on euthanasia in the NL.	1997
qn59q571d	Lucardie, Richard E.	Dutch perspectives on euthanasia in the Netherlands: a qualitative examination of caregivers and people with disabilities	Qualitative examination of caregivers and people with disabilities.	1997
6w924d72m	Gordon, Alexander M. D.	Behavioral correlates of coaching effectiveness	Behavioral correlates of coach. effectiveness	1986
6w924d72m	Gordon, Alexander M. D.	Behavioral correlates of coaching effectiveness	Behavioural correlates of coaching effectiveness	1986
1z40kw39w	Guimond, Julie K.	The effects of river connectivity on floodplain wetland ecology in Jasper National Park, Alberta, Canada	Floodplain wetland ecology in Jasper N.P.	2001
sb397b45n	Benton-Evans, Ray.	Implications of wider parental choice in public schooling: with particular reference to one groups response to charter school legislation in Alberta	Implications of wider parental choice.	1997
sb397b45n	Benton-Evans, Ray.	Implications of wider parental choice in public schooling: with particular reference to one groups response to charter school legislation in Alberta	With particular reference to one groups response to charter school legislation in Alberta.	1997
dz010s121	Hurabielle, Jacques Pierre Emile.	Canadas public colleges and postsecondary technical institutions involvement in international education	Canadas involvement in international education.	1998
n296x089m	Li, Defeng.	Absolutely not the same: the potential and problems of communicative language teaching in China	Communicative language teaching in China.	1997
n296x089m	Li, Defeng.	Absolutely not the same: the potential and problems of communicative language teaching in China	Potential and problems of communicative language teaching in China.	1997
1z40kv76t	Al-Kwifi, Osama.	Development of 3D magnetic resonance angiography for the detection of vascular pathology	Development of 3D-MRA at 3T	2001
xp68kj343	Lane, Cathy G.	The philosophy of the Young Offenders Act and its impact on the formal legal education and practice of advocates for youth	Philosophy of Y.O.A. legal education & advocacy	1995
6w924d58s	Gu, Ping.	The application of inductive logic programming to assist directory layout design	Application of ILP to assist directory layout	1999
sb397b89q	Salsali, Mahvash.	Evaluating teaching effectiveness: a survey of faculties of nursing in Iran	Survey of faculties of nursing in Iran.	1998
8p58pg41v	Garrie, Joanne Elizabeth.	The relationship between intellectual ability and memory in children with closed head injury	Intellectual ability & memory in children.	1996
8p58pg47h	Parkins, J.	Farm forestry networking: farmer group development in Kenya	Farmer group development in Kenya	1997
7p88cj93r	Woolley, Marilyn Elisabeth.	Self-care abilities of older men after early discharge following transurethral prostatectomy	Self-care abilities of older men.	1997
gm80hx983	Coffin, John William.	Folate pools and methionyl-tRNA transformylase activity of plant mitochondria, possible roles in organelle protein synthesis during germination and early growth of pea and peanut	Possible roles in organelle protein synthesis during germination and early growth of pea and peanut	1985
1z40kw03h	Cey, Robert Owen.	A qualitative investigation of gay mens experiences of homophobic violence and verbal abuse	Gay mens experiences of homophobic abuse.	2000
1z40kv81p	Huel, Raymond.	La survivance in Saskatchewan: schools, politics and the nativist crusade for cultural conformity	Schools, politics and the nativist crusade for cultural conformity	1975
n296x114r	Pando, Miguel Angel	The effect of the degree of shear stress reversal on the liquefaction potential of saturated sands	Effect of shear reversal on sand liquefaction	1995
0r9676117	Alford, Wayne Stanley.	The firm, take-overs, and directors duties: a theory of the firm and the duties imposed by law and the directors of an offeree corporation	Theory of the firm and the duties imposed by law and the directors of an offeree corporation	1997
n296x1550	Milke, Mark	Double standards: human rights and democracy in East Asia	Human rights and democracy in East Asia	1998
gm80hx81x	DePasquale, Paul W.	The anxiety of contact: representations of the Amerindian in early modern English colonial writings, c. 1576-1622	Representations of the Amerindian in early modern English colonial writings, c. 1576-1622	1999
