Column 1	LCSH	Column 2	Column 3	blank
Library orientation for school children	http://id.loc.gov/authorities/subjects/sh85118302	lcsh	http://example.org/1375404#Topic650-21	
Library orientation for gifted children	http://id.loc.gov/authorities/subjects/sh95000295	lcsh	http://example.org/1375404#Topic650-22	
School libraries	http://id.loc.gov/authorities/subjects/sh85118345	lcsh	http://example.org/1375404#Topic650-23	
Arms control--Congresses	http://id.loc.gov/authorities/subjects/sh2007101363	lcsh	http://example.org/1366684#Topic650-20	
Space law--Congresses	http://id.loc.gov/authorities/subjects/sh2010114284	lcsh	http://example.org/1366684#Topic650-21	
Civilization, Classical--Juvenile software		lcsh	http://example.org/1297869#Topic650-23	
Civilization, Greco-Roman--Juvenile software		lcsh	http://example.org/1297869#Topic650-24	
History--Examinations, questions, etc--Juvenile software		lcsh	http://example.org/1297869#Topic650-25	
Murder victims--Canada		lcsh	http://example.org/1326706#Topic650-20	
Prison homicide--Canada		lcsh	http://example.org/1326706#Topic650-21	
Folk songs, Norwegian--Norway	http://id.loc.gov/authorities/subjects/sh2008120766	lcsh	http://example.org/1299630#Topic650-28	
Music--Norway	http://id.loc.gov/authorities/subjects/sh2010102892	lcsh	http://example.org/1299630#Topic650-29	
Folk songs, Norwegian--Norway	http://id.loc.gov/authorities/subjects/sh2008120766	lcsh	http://example.org/1299630#Topic650-30	
Folk music--Norway	http://id.loc.gov/authorities/subjects/sh2008103919	lcsh	http://example.org/1299630#Topic650-31	
Wildlife management--Northwest Territories--Congresses		lcsh	http://example.org/1397429#Topic650-20	
Wildlife conservation--Northwest Territories--Congresses		lcsh	http://example.org/1397429#Topic650-21	
Métis--Northwest Territories--Hunting--Congresses		lcsh	http://example.org/1397429#Topic650-22	
Tinne Indians--Northwest Territories--Hunting--Congresses		lcsh	http://example.org/1397429#Topic650-23	
Indians of North America--Northwest Territories--Hunting--Congresses		lcsh	http://example.org/1397429#Topic650-24	
Prenatal care--Scotland--Aberdeen, Scotland		lcsh	http://example.org/1304336#Topic650-23	
Prenatal care--Scotland--Aberdeen, Scotland--History--20th century		lcsh	http://example.org/1304336#Topic650-24	
Primitive societies	http://id.loc.gov/authorities/subjects/sh85124179	lcsh	http://example.org/1387601#Topic650-26	
Civilization, Modern--1950-	http://id.loc.gov/authorities/subjects/sh85026475	lcsh	http://example.org/1387601#Topic650-27	
Human ecology	http://id.loc.gov/authorities/subjects/sh85062856	lcsh	http://example.org/1387601#Topic650-28	
Social problems	http://id.loc.gov/authorities/subjects/sh85123988	lcsh	http://example.org/1387601#Topic650-29	
Social prediction	http://id.loc.gov/authorities/subjects/sh85123986	lcsh	http://example.org/1387601#Topic650-30	
Artists' books--United States	http://id.loc.gov/authorities/subjects/sh2007101486	lcsh	http://example.org/1330813#Topic650-19	
German literature--19th century--History and criticism	http://id.loc.gov/authorities/subjects/sh85054387	lcsh	http://example.org/1348752#Topic650-21	
Irrationalism (Philosophy) in literature	http://id.loc.gov/authorities/subjects/sh94005328	lcsh	http://example.org/1348752#Topic650-22	
Pessimism in literature	http://id.loc.gov/authorities/subjects/sh85100265	lcsh	http://example.org/1348752#Topic650-23	
Demography--Mathematical models	http://id.loc.gov/authorities/subjects/sh2008102187	lcsh	http://example.org/1401909#Topic650-24	
Numerical analysis	http://id.loc.gov/authorities/subjects/sh85093237	lcsh	http://example.org/1340362#Topic650-22	
Arbitration agreements, Commercial--Canada		lcsh	http://example.org/1359382#Topic650-23	
Arbitration agreements, Commercial--United States	http://id.loc.gov/authorities/subjects/sh2009115288	lcsh	http://example.org/1359382#Topic650-24	
Meat industry and trade--Canada	http://id.loc.gov/authorities/subjects/sh2010101098	lcsh	http://example.org/1359382#Topic650-25	
Meat industry and trade--United States	http://id.loc.gov/authorities/subjects/sh2008107588	lcsh	http://example.org/1359382#Topic650-26	
Free trade--Canada	http://id.loc.gov/authorities/subjects/sh2008104082	lcsh	http://example.org/1359382#Topic650-27	
Free trade--United States	http://id.loc.gov/authorities/subjects/sh2008103795	lcsh	http://example.org/1359382#Topic650-28	
Excavations (Archaeology)--India	http://id.loc.gov/authorities/subjects/sh85046142	lcsh	http://example.org/1345912#Topic650-20	
Excavations (Archaeology)--Alaska--Heceta Island		lcsh	http://example.org/1338625#Topic650-20	
Indians of North America--Alaska--Heceta Island--Antiquities		lcsh	http://example.org/1338625#Topic650-21	
Samplers--Nova Scotia--Exhibitions		lcsh	http://example.org/1405299#Topic650-24	
Family records--Exhibitions		lcsh	http://example.org/1405299#Topic650-25	
Symphonies--Scores	http://id.loc.gov/authorities/subjects/sh85131479	lcsh	http://example.org/1345022#Topic650-24	
Art, Japanese--To 1868	http://id.loc.gov/authorities/subjects/sh85007729	lcsh	http://example.org/1001312#Topic650-28	
Czech drama--To 1500--History and criticism		lcsh	http://example.org/1300143#Topic650-26	
English language--Orthography and spelling--Study and teaching (Elementary)--Juvenile literature		lcsh	http://example.org/1375614#Topic650-19	
Sex offenders--Canada		lcsh	http://example.org/1343658#Topic650-21	
Sex offenders--Rehabilitation--Canada		lcsh	http://example.org/1343658#Topic650-22	
Sex offenders--Care--Canada		lcsh	http://example.org/1343658#Topic650-23	
Intrauterine contraceptives industry	http://id.loc.gov/authorities/subjects/sh85067629	lcsh	http://example.org/1001376#Topic650-25	
Dalkon Shield (Intrauterine contraceptive)	http://id.loc.gov/authorities/subjects/sh85035516	lcsh	http://example.org/1001376#Topic650-26	
Intrauterine contraceptives--Complications	http://id.loc.gov/authorities/subjects/sh85067627	lcsh	http://example.org/1001376#Topic650-27	
Mathematical linguistics--Dictionaries--Polyglot		lcsh	http://example.org/1370972#Topic650-22	
Linguistics--Dictionaries--Polyglot		lcsh	http://example.org/1370972#Topic650-23	
English language--Dictionaries--Polyglot	http://id.loc.gov/authorities/subjects/sh85043516	lcsh	http://example.org/1370972#Topic650-24	
Lakes--Oregon--Maps		lcsh	http://example.org/1371462#Topic650-25	
Weather control--Alberta		lcsh	http://example.org/1402306#Topic650-17	
Hail control--Alberta		lcsh	http://example.org/1402306#Topic650-18	
Storms--Alberta		lcsh	http://example.org/1402306#Topic650-19	
Grasses--Australia		lcsh	http://example.org/1319662#Topic650-23	
Grasses--Australia--Identification		lcsh	http://example.org/1319662#Topic650-24	
Botany--Australia	http://id.loc.gov/authorities/subjects/sh2009117441	lcsh	http://example.org/1319662#Topic650-25	
Mineral lands--Nevada		lcsh	http://example.org/1400868#Topic650-24	
Public lands--Nevada	http://id.loc.gov/authorities/subjects/sh2010108933	lcsh	http://example.org/1400868#Topic650-25	
Discrimination in education--Law and legislation--United States	http://id.loc.gov/authorities/subjects/sh2008102310	lcsh	http://example.org/1341994#Topic650-25	
Affirmative action programs--Law and legislation--United States	http://id.loc.gov/authorities/subjects/sh2007100730	lcsh	http://example.org/1341994#Topic650-26	
Judicial process--United States	http://id.loc.gov/authorities/subjects/sh2008106241	lcsh	http://example.org/1341994#Topic650-27	
Law--Political aspects	http://id.loc.gov/authorities/subjects/sh85075298	lcsh	http://example.org/1341994#Topic650-28	
Sociological jurisprudence	http://id.loc.gov/authorities/subjects/sh85124198	lcsh	http://example.org/1341994#Topic650-29	
Biogeography	http://id.loc.gov/authorities/subjects/sh85014147	lcsh	http://example.org/1302718#Topic650-22	
Irish Americans--Historiography		lcsh	http://example.org/1355182#Topic650-26	
Irish--Canada--Historiography		lcsh	http://example.org/1355182#Topic650-27	
Arch of Trajan (Benevento, Italy)--Conservation and restoration		lcsh	http://example.org/1332563#Topic650-21	
Saxophone and piano music--Scores and parts	http://id.loc.gov/authorities/subjects/sh2008111207	lcsh	http://example.org/1399470#Topic650-23	
Games--Handbooks, manuals, etc		lcsh	http://example.org/1397874#Topic650-21	
Biography--Bibliography	http://id.loc.gov/authorities/subjects/sh2007101997	lcsh	http://example.org/1299654#Topic650-21	
Forest birds--Australia--Congresses		lcsh	http://example.org/1001399#Topic650-23	
Eucalyptus--Australia--Congresses		lcsh	http://example.org/1001399#Topic650-24	
Black bear	http://id.loc.gov/authorities/subjects/sh85014524	lcsh	http://example.org/1350666#Topic650-23	
Grizzly bear	http://id.loc.gov/authorities/subjects/sh85057395	lcsh	http://example.org/1350666#Topic650-24	
Explosives--Safety measures	http://id.loc.gov/authorities/subjects/sh85046476	lcsh	http://example.org/1334974#Topic650-19	
Morozov Strike, Nikolʹskoe, Orekhovo-Zuevskiĭ raĭon, Russia, 1885	http://id.loc.gov/authorities/subjects/sh85087340	lcsh	http://example.org/1341592#Topic650-20	
Strikes and lockouts--Textile industry--Russia (Federation)--Orekhovo-Zuevo--History--19th century		lcsh	http://example.org/1341592#Topic650-21	
Textile workers--Russia (Federation)--Orekhovo-Zuevo--History--19th century		lcsh	http://example.org/1341592#Topic650-22	
Communism--Soviet Union--History	http://id.loc.gov/authorities/subjects/sh2008101329	lcsh	http://example.org/1310571#Topic650-19	
Arts--Canada, Western--Periodicals		lcsh	http://example.org/1399611#Topic650-33	
Brass quintets (Horn, trombones (2), trumpets (2)), Arranged		lcsh	http://example.org/1300457#Topic650-29	
Cotton trade--Southern States--History		lcsh	http://example.org/1353065#Topic650-22	
Tobacco industry--Southern States--History		lcsh	http://example.org/1353065#Topic650-23	
Rice trade--Southern States--History		lcsh	http://example.org/1353065#Topic650-24	
Breastfeeding--Statistics		lcsh	http://example.org/1335619#Topic650-19	
Fertility--Statistics		lcsh	http://example.org/1335619#Topic650-20	
Contraception--Statistics		lcsh	http://example.org/1335619#Topic650-21	
Puerperium	http://id.loc.gov/authorities/subjects/sh85108919	lcsh	http://example.org/1335619#Topic650-22	
Jews--Ukraine--Drohobych		lcsh	http://example.org/1378132#Topic650-19	
Jews--Ukraine--Boryslav		lcsh	http://example.org/1378132#Topic650-20	
Building--History--Juvenile literature		lcsh	http://example.org/1000809#Topic650-25	
Building--Vocational guidance--Juvenile literature		lcsh	http://example.org/1000809#Topic650-26	
Occupations--History--Juvenile literature		lcsh	http://example.org/1000809#Topic650-27	
Power resources--Canada--Maps		lcsh	http://example.org/1333823#Topic650-27	
Mines and mineral resources--Canada--Maps		lcsh	http://example.org/1333823#Topic650-28	
Petroleum pipelines--Canada--Maps	http://id.loc.gov/authorities/subjects/sh2008109156	lcsh	http://example.org/1333823#Topic650-29	
Political geography--Maps		lcsh	http://example.org/1333821#Topic650-31	
Historical geography--Maps	http://id.loc.gov/authorities/subjects/sh00006045	lcsh	http://example.org/1333821#Topic650-32	
Vikings--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2008113246	lcsh	http://example.org/1363812#Topic650-27	
Northmen--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2010103867	lcsh	http://example.org/1363812#Topic650-28	
Anglo-Saxons--Kings and rulers--Biography--Juvenile literature		lcsh	http://example.org/1363812#Topic650-29	
Caribbean drama (English)	http://id.loc.gov/authorities/subjects/sh85020295	lcsh	http://example.org/1001365#Topic650-21	
Child welfare--Northwest Territories--Beaufort Sea region		lcsh	http://example.org/1351414#Topic650-22	
Offshore oil industry--Social aspects--Northwest Territories--Beaufort Sea region		lcsh	http://example.org/1351414#Topic650-23	
Child care services--Northwest Territories		lcsh	http://example.org/1351414#Topic650-24	
Carnival--Angola		lcsh	http://example.org/1322198#Topic650-20	
Carpentry	http://id.loc.gov/authorities/subjects/sh85020435	lcsh	http://example.org/1304554#Topic650-22	
Bibliography--Bibliography--Periodicals, Spanish		lcsh	http://example.org/1313819#Topic650-18	
Japanese poetry--20th century--Translations into English		lcsh	http://example.org/1299746#Topic650-26	
Japanese poetry--20th century	http://id.loc.gov/authorities/subjects/sh2006005910	lcsh	http://example.org/1299746#Topic650-27	
Science--Social aspects	http://id.loc.gov/authorities/subjects/sh85118585	lcsh	http://example.org/1330469#Topic650-24	
Science--Philosophy	http://id.loc.gov/authorities/subjects/sh85118582	lcsh	http://example.org/1330469#Topic650-25	
Prison violence--Canada		lcsh	http://example.org/1316728#Topic650-20	
Prisoners--Attitudes	http://id.loc.gov/authorities/subjects/sh85106951	lcsh	http://example.org/1316728#Topic650-21	
Libraries--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2008106958	lcsh	http://example.org/1373688#Topic650-23	
Education--China--History--1949-1976	http://id.loc.gov/authorities/subjects/sh85041027	lcsh	http://example.org/1360247#Topic650-23	
Education--China--History--1976-	http://id.loc.gov/authorities/subjects/sh85041028	lcsh	http://example.org/1360247#Topic650-24	
Education--China--Aims and objectives		lcsh	http://example.org/1360247#Topic650-25	
Variations (Saxophone with orchestra)--Scores		lcsh	http://example.org/1400996#Topic650-24	
East and West	http://id.loc.gov/authorities/subjects/sh85040522	lcsh	http://example.org/1371097#Topic650-23	
Civilization, Western	http://id.loc.gov/authorities/subjects/sh85026485	lcsh	http://example.org/1371097#Topic650-24	
Peasants--England--History		lcsh	http://example.org/1318950#Topic650-26	
Feudalism--England--History		lcsh	http://example.org/1318950#Topic650-27	
Taoism--Japan--Rituals		lcsh	http://example.org/1378244#Topic650-25	
Chinese classics--History and criticism	http://id.loc.gov/authorities/subjects/sh2008100541	lcsh	http://example.org/1378244#Topic650-26	
Motion pictures--Semiotics	http://id.loc.gov/authorities/subjects/sh86004200	lcsh	http://example.org/1376444#Topic650-23	
Television--Semiotics	http://id.loc.gov/authorities/subjects/sh88003048	lcsh	http://example.org/1376444#Topic650-24	
Semiotics	http://id.loc.gov/authorities/subjects/sh85119950	lcsh	http://example.org/1376444#Topic650-25	
Medicine--Canada--Periodicals		lcsh	http://example.org/1358282#Topic650-44	
Medicine--Periodicals	http://id.loc.gov/authorities/subjects/sh2008107665	lcsh	http://example.org/1358282#Topic650-45	
Worship (Religious education)--Juvenile literature		lcsh	http://example.org/1390247#Topic650-24	
Fasts and feasts--Catholic Church--Juvenile literature		lcsh	http://example.org/1390247#Topic650-25	
Bryology--Research--Directories		lcsh	http://example.org/1402895#Topic650-19	
Bryologists--Directories		lcsh	http://example.org/1402895#Topic650-20	
Herbaria--Directories		lcsh	http://example.org/1402895#Topic650-21	
Electronic data processing	http://id.loc.gov/authorities/subjects/sh85042288	lcsh	http://example.org/1400450#Topic650-23	
Cello and piano music	http://id.loc.gov/authorities/subjects/sh85143675	lcsh	http://example.org/1300464#Topic650-30	
Sonatas (Cello and piano)	http://id.loc.gov/authorities/subjects/sh85125019	lcsh	http://example.org/1300464#Topic650-31	
Concertos (Trumpet with chamber orchestra)--Solo with piano	http://id.loc.gov/authorities/subjects/sh85030425	lcsh	http://example.org/1341293#Topic650-23	
Concertos (Harpsichords (3))		lcsh	http://example.org/1325415#Topic650-31	
Concertos (Harpsichord with string orchestra)	http://id.loc.gov/authorities/subjects/sh85030040	lcsh	http://example.org/1325415#Topic650-32	
Meteorology	http://id.loc.gov/authorities/subjects/sh85084334	lcsh	http://example.org/1382676#Topic650-23	
Weather	http://id.loc.gov/authorities/subjects/sh85145843	lcsh	http://example.org/1382676#Topic650-24	
Engineering--Management	http://id.loc.gov/authorities/subjects/sh85043186	lcsh	http://example.org/1360593#Topic650-21	
Engineering--Estimates	http://id.loc.gov/authorities/subjects/sh85043181	lcsh	http://example.org/1360593#Topic650-22	
Construction industry--Management	http://id.loc.gov/authorities/subjects/sh85031411	lcsh	http://example.org/1360593#Topic650-23	
Housing policy--Canada	http://id.loc.gov/authorities/subjects/sh2008121986	lcsh	http://example.org/1379094#Topic650-18	
Housing--Canada	http://id.loc.gov/authorities/subjects/sh2008105813	lcsh	http://example.org/1379094#Topic650-19	
Public housing--Canada		lcsh	http://example.org/1379094#Topic650-20	
Business mathematics--Study and teaching (Secondary)		lcsh	http://example.org/1341519#Topic650-29	
Finance, Personal--Study and teaching (Secondary)		lcsh	http://example.org/1341519#Topic650-30	
Consumer education	http://id.loc.gov/authorities/subjects/sh85031483	lcsh	http://example.org/1341519#Topic650-31	
Mathematics grade 11			http://example.org/1341519#Topic650-32	
Consumers--European Economic Community countries		lcsh	http://example.org/1348424#Topic650-21	
Consumer protection--European Economic Community countries	http://id.loc.gov/authorities/subjects/sh2009121673	lcsh	http://example.org/1348424#Topic650-22	
Fur trade--Northwest Territories--Mackenzie--History--18th century		lcsh	http://example.org/1345344#Topic650-29	
Fur traders--Northwest Territories--Mackenzie--History--18th century		lcsh	http://example.org/1345344#Topic650-30	
Indians of North America--Northwest Territories--Mackenzie--Material culture		lcsh	http://example.org/1345344#Topic650-31	
Athapascan Indians--Cultural assimilation		lcsh	http://example.org/1345344#Topic650-32	
Canadian poetry--20th century--History and criticism--Periodicals		lcsh	http://example.org/1344570#Topic650-37	
Canadian poetry--20th century--Periodicals		lcsh	http://example.org/1344570#Topic650-38	
Welding fumes--Physiological effect		lcsh	http://example.org/1372321#Topic650-23	
Welding fumes--Toxicology		lcsh	http://example.org/1372321#Topic650-24	
Welding--Health aspects	http://id.loc.gov/authorities/subjects/sh85146016	lcsh	http://example.org/1372321#Topic650-25	
Inventories	http://id.loc.gov/authorities/subjects/sh2002011445	lcsh	http://example.org/1361022#Topic650-20	
Farm income--Alberta--Planning		lcsh	http://example.org/1367328#Topic650-20	
Home economics--Alberta--Accounting		lcsh	http://example.org/1367328#Topic650-21	
Budgets, Personal--Alberta		lcsh	http://example.org/1367328#Topic650-22	
Overhead electric lines	http://id.loc.gov/authorities/subjects/sh85041788	lcsh	http://example.org/1397103#Topic650-20	
Electric fields	http://id.loc.gov/authorities/subjects/sh85041688	lcsh	http://example.org/1397103#Topic650-21	
Corona (Electricity)	http://id.loc.gov/authorities/subjects/sh85032863	lcsh	http://example.org/1397103#Topic650-22	
Masses	http://id.loc.gov/authorities/subjects/sh85081963	lcsh	http://example.org/1373780#Topic650-37	
Marches (Orchestra)	http://id.loc.gov/authorities/subjects/sh85080994	lcsh	http://example.org/1373780#Topic650-38	
Corporations--Finance	http://id.loc.gov/authorities/subjects/sh85032938	lcsh	http://example.org/1002457#Topic650-21	
Women prisoners--Canada		lcsh	http://example.org/1327137#Topic650-21	
Women prisoners	http://id.loc.gov/authorities/subjects/sh85147690	lcsh	http://example.org/1327137#Topic650-22	
Female offenders	http://id.loc.gov/authorities/subjects/sh85047732	lcsh	http://example.org/1327137#Topic650-23	
Countertrade	http://id.loc.gov/authorities/subjects/sh85033448	lcsh	http://example.org/1392658#Topic650-17	
Export marketing--Canada		lcsh	http://example.org/1392658#Topic650-18	
Exports--Canada		lcsh	http://example.org/1392658#Topic650-19	
Barter	http://id.loc.gov/authorities/subjects/sh85011981	lcsh	http://example.org/1392658#Topic650-20	
Countertrade--Government policy--Canada		lcsh	http://example.org/1392658#Topic650-21	
Trading companies	http://id.loc.gov/authorities/subjects/sh85136748	lcsh	http://example.org/1392658#Topic650-22	
Criminal justice, Administration of--Africa		lcsh	http://example.org/1353613#Topic650-24	
Crime--Africa		lcsh	http://example.org/1353613#Topic650-25	
Criminals--Africa		lcsh	http://example.org/1353613#Topic650-26	
Quintets (Percussion, violins (2), viola, cello)	http://id.loc.gov/authorities/subjects/sh85110017	lcsh	http://example.org/1300482#Topic650-32	
Songs (Low voice) with string quartet		lcsh	http://example.org/1300482#Topic650-33	
Song cycles	http://id.loc.gov/authorities/subjects/sh85125033	lcsh	http://example.org/1300482#Topic650-34	
Plants, Protection of	http://id.loc.gov/authorities/subjects/sh85103025	lcsh	http://example.org/1360828#Topic650-20	
Grain--Diseases and pests	http://id.loc.gov/authorities/subjects/sh85056210	lcsh	http://example.org/1360828#Topic650-21	
Grain--Weed control		lcsh	http://example.org/1360828#Topic650-22	
Tariff--Canada--Terminology and classification		lcsh	http://example.org/1353511#Topic650-21	
Tariff--Canada	http://id.loc.gov/authorities/subjects/sh2008112495	lcsh	http://example.org/1353511#Topic650-22	
Federal government--Germany (West)	http://id.loc.gov/authorities/subjects/sh2008120334	lcsh	http://example.org/1321850#Topic650-23	
Indians of North America--Nova Scotia--Antiquities		lcsh	http://example.org/1370731#Topic650-28	
Painting and motion pictures	http://id.loc.gov/authorities/subjects/sh87002013	lcsh	http://example.org/1374668#Topic650-23	
Personnel management	http://id.loc.gov/authorities/subjects/sh00006939	lcsh	http://example.org/1326250#Topic650-23	
Executives--Québec (Province)		lcsh	http://example.org/1326250#Topic650-24	
Women executives--Québec (Province)		lcsh	http://example.org/1326250#Topic650-25	
Clothing and dress--Russia (Federation)--Siberia		lcsh	http://example.org/1398879#Topic650-23	
Costume--Russia (Fedreation)--Siberia		lcsh	http://example.org/1398879#Topic650-24	
Yuit Eskimos--Russia (Federation)--Siberia--Costume and adornment		lcsh	http://example.org/1398879#Topic650-25	
Indigenous peoples--Russia (Federation)--Siberia		lcsh	http://example.org/1398879#Topic650-26	
Methods engineering	http://id.loc.gov/authorities/subjects/sh85084415	lcsh	http://example.org/1356575#Topic650-20	
Music--Philosophy and aesthetics	http://id.loc.gov/authorities/subjects/sh85088808	lcsh	http://example.org/1353845#Topic650-22	
Rural clergy--Russia (Federation)--Biography		lcsh	http://example.org/1319379#Topic650-31	
Russian Germans--Politics and government		lcsh	http://example.org/1316981#Topic650-27	
Neuropsychology--Periodicals	http://id.loc.gov/authorities/subjects/sh2010103680	lcsh	http://example.org/1368425#Topic650-30	
BĖSM-6 (Computer)		lcsh	http://example.org/1324345#Topic650-20	
Fiber in human nutrition--Bibliography		lcsh	http://example.org/1305090#Topic650-23	
Rural development--Directories		lcsh	http://example.org/1369249#Topic650-19	
Rural development--Developing countries--Directories		lcsh	http://example.org/1369249#Topic650-20	
Abused wives--Services for--Canada		lcsh	http://example.org/1328553#Topic650-20	
Indians of North America--Canada--Wife abuse		lcsh	http://example.org/1328553#Topic650-21	
Wife abuse--Canada		lcsh	http://example.org/1328553#Topic650-22	
Language and languages--Study and teaching	http://id.loc.gov/authorities/subjects/sh85074536	lcsh	http://example.org/1296421#Topic650-23	
Audiology--Congresses		lcsh	http://example.org/1310646#Topic650-24	
Hearing disorders--Congresses		lcsh	http://example.org/1310646#Topic650-25	
Fisheries--Saint Lawrence, Gulf of		lcsh	http://example.org/1370971#Topic650-20	
Economic zones (Law of the sea)--Canada		lcsh	http://example.org/1370971#Topic650-21	
Fishery processing ships--France		lcsh	http://example.org/1370971#Topic650-22	
Lampreys--Reproduction		lcsh	http://example.org/1387517#Topic650-22	
Neoteny	http://id.loc.gov/authorities/subjects/sh85090815	lcsh	http://example.org/1387517#Topic650-23	
International relations--Research	http://id.loc.gov/authorities/subjects/sh2008104851	lcsh	http://example.org/1319372#Topic650-22	
Folk music--Norway	http://id.loc.gov/authorities/subjects/sh2008103919	lcsh	http://example.org/1330790#Topic650-27	
Folk songs, Sami--Norway		lcsh	http://example.org/1330790#Topic650-28	
Sami (European people)--Norway--Music		lcsh	http://example.org/1330790#Topic650-29	
Observation (Educational method)	http://id.loc.gov/authorities/subjects/sh85093746	lcsh	http://example.org/1347059#Topic650-16	
Interaction analysis in education	http://id.loc.gov/authorities/subjects/sh85067203	lcsh	http://example.org/1347059#Topic650-17	
Education--Korea (South)	http://id.loc.gov/authorities/subjects/sh2008102699	lcsh	http://example.org/1385419#Topic650-19	
Education, Higher--Korea (South)	http://id.loc.gov/authorities/subjects/sh2009124648	lcsh	http://example.org/1385419#Topic650-20	
Educational sociology--India	http://id.loc.gov/authorities/subjects/sh2008118750	lcsh	http://example.org/1303997#Topic650-24	
Vocational education	http://id.loc.gov/authorities/subjects/sh85144178	lcsh	http://example.org/1323221#Topic650-20	
Unemployment	http://id.loc.gov/authorities/subjects/sh85139643	lcsh	http://example.org/1323221#Topic650-21	
Youth--Employment	http://id.loc.gov/authorities/subjects/sh85149324	lcsh	http://example.org/1323221#Topic650-22	
Literature and society	http://id.loc.gov/authorities/subjects/sh85077572	lcsh	http://example.org/1326228#Topic650-24	
