Ancient ruins of Turkey.	Ancient ruins of Turkey.	Ancient ruins of Turkey	http://example.org/1321997#Work740-25
Ancient civilizations and the middle ages	Ancient civilizations and the middle ages	Ancient civilizations and the middle ages	http://example.org/1297869#Work
Ancient Greece.	Ancient Greece.	Ancient Greece	http://example.org/1297869#Work740-30
Ancient Rome.	Ancient Rome.	Ancient Rome	http://example.org/1297869#Work740-31
World history on computer series.	World history on computer series.	World history on computer series	http://example.org/1297869#Work830-32
An expedition to the Cooper, Tanana, and Koyukuk rivers in 1885 /	expedition to the Cooper, Tanana, and Koyukuk rivers in 1885 /	An expedition to the Cooper, Tanana, and Koyukuk rivers in 1885	http://example.org/1319468#Work
Report of an expedition to the Copper, Tananá and Koyukuk rivers, in the territory of Alaska, in the year 1885. Selections.	Report of an expedition to the Copper, Tananá and Koyukuk rivers, in the territory of Alaska, in the year 1885. Selections.	Report of an expedition to the Copper, Tananá and Koyukuk rivers, in the territory of Alaska, in the year 1885. Selections	http://example.org/1319468#Work740-29
Northern history library.	Northern history library.	Northern history library	http://example.org/1319468#Work830-30
An historical analysis of victims of homicide in Canadian penitentiaries /	historical analysis of victims of homicide in Canadian penitentiaries /	An historical analysis of victims of homicide in Canadian penitentiaries	http://example.org/1326706#Work
User report ;	User report ;	User report	http://example.org/1326706#Work830-26
Ankomst Utstein Kloster	Ankomst Utstein Kloster	Ankomst Utstein Kloster	http://example.org/1299630#Work
Annual Wildlife Agreement Workshop report /	Annual Wildlife Agreement Workshop report /	Annual Wildlife Agreement Workshop report	http://example.org/1397429#Work
Antenatal care assessed : a case study of an innovation in Aberdeen /	Antenatal care assessed : a case study of an innovation in Aberdeen /	Antenatal care assessed	http://example.org/1304336#Work
Anthropology and contemporary human problems /	Anthropology and contemporary human problems /	Anthropology and contemporary human problems	http://example.org/1387601#Work
A paean for love : poems /	paean for love : poems /	A paean for love	http://example.org/1336071#Work
A people's Europe : reports from the ad hoc Committee.	people's Europe : reports from the ad hoc Committee.	A people's Europe	http://example.org/1348441#Work
Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities	http://example.org/1348441#Work830-21
Aphrodisiacs from A to Z	Aphrodisiacs from A to Z	Aphrodisiacs from A to Z	http://example.org/1330813#Work
A Pocketbook guide to Ukraine &amp; Ukrainians : questions and answers /	Pocketbook guide to Ukraine &amp; Ukrainians : questions and answers /	A Pocketbook guide to Ukraine &amp; Ukrainians	http://example.org/1325902#Work
Ukraine &amp; Ukrainians.	Ukraine &amp; Ukrainians.	Ukraine &amp; Ukrainians	http://example.org/1325902#Work740-27
Ukraine and Ukrainians.	Ukraine and Ukrainians.	Ukraine and Ukrainians	http://example.org/1325902#Work740-28
A Pocketbook guide to Ukraine and Ukrainians.	Pocketbook guide to Ukraine and Ukrainians.	A Pocketbook guide to Ukraine and Ukrainians	http://example.org/1325902#Work740-29
Apokalyptische Reiter sind in der Luft : zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende /	Apokalyptische Reiter sind in der Luft : zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende /	Apokalyptische Reiter sind in der Luft	http://example.org/1348752#Work
Zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende.	Zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende.	Zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende	http://example.org/1348752#Work740-24
Applied mathematical demography /	Applied mathematical demography /	Applied mathematical demography	http://example.org/1401909#Work
Springer texts in statistics.	Springer texts in statistics.	Springer texts in statistics	http://example.org/1401909#Work830-25
Applied numerical analysis /	Applied numerical analysis /	Applied numerical analysis	http://example.org/1340362#Work
A proposed arbitration mechanism to ensure free trade between Canada and the U.S. in livestock and meat products /	proposed arbitration mechanism to ensure free trade between Canada and the U.S. in livestock and meat products /	A proposed arbitration mechanism to ensure free trade between Canada and the U.S. in livestock and meat products	http://example.org/1359382#Work
Discussion papers series (University of Calgary. Department of Economics)	Discussion papers series (University of Calgary. Department of Economics)	Discussion papers series (University of Calgary. Department of Economics)	http://example.org/1359382#Work830-31
Archaeological perspective of India since independence /	Archaeological perspective of India since independence /	Archaeological perspective of India since independence	http://example.org/1345912#Work
Archaeology of Heceta Island : a survey of 16 timber harvest units in the Tongass national Forest, southeastern Alaska /	Archaeology of Heceta Island : a survey of 16 timber harvest units in the Tongass national Forest, southeastern Alaska /	Archaeology of Heceta Island	http://example.org/1338625#Work
Survey of 16 timber harvest units in the Tongass National Forest, Southeastern Alaska.	Survey of 16 timber harvest units in the Tongass National Forest, Southeastern Alaska.	Survey of 16 timber harvest units in the Tongass National Forest, Southeastern Alaska	http://example.org/1338625#Work740-25
Project report (Washington State University. Center for Northwest Anthropology) ;	Project report (Washington State University. Center for Northwest Anthropology) ;	Project report (Washington State University. Center for Northwest Anthropology)	http://example.org/1338625#Work830-26
A record for time : an exhibition of decorated family and individual records, memorials, tokens of friendship and embroidered memorials and samplers produced in Nova Scotia prior to 1900 /	record for time : an exhibition of decorated family and individual records, memorials, tokens of friendship and embroidered memorials and samplers produced in Nova Scotia prior to 1900 /	A record for time	http://example.org/1405299#Work
Sinfonie in E-Dur, 1825	Sinfonie in E-Dur, 1825	Sinfonie in E-Dur, 1825	http://example.org/1345022#Work
Art de l'ancien Japon. English	Art de l'ancien Japon. English	Art de l'ancien Japon	http://example.org/1001312#Work
A sacred farce from medieval Bohemia--Mastičkář /	sacred farce from medieval Bohemia--Mastičkář /	A sacred farce from medieval Bohemia--Mastičkář	http://example.org/1300143#Work
Mastičkář.	Mastičkář.	Mastičkář	http://example.org/1300143#Work630-25
Mastičkář. English. c1985.	Mastičkář. English. c1985.	Mastičkář	http://example.org/1300143#Work730-27
Michigan studies in the humanities. ;	Michigan studies in the humanities. ;	Michigan studies in the humanities	http://example.org/1300143#Work830-28
A spelling handbook : grades 1-6.	spelling handbook : grades 1-6.	A spelling handbook	http://example.org/1375614#Work
A survey of treatment programs for sexual offenders in Canada /	survey of treatment programs for sexual offenders in Canada /	A survey of treatment programs for sexual offenders in Canada	http://example.org/1343658#Work
User report ;	User report ;	User report	http://example.org/1343658#Work830-27
At any cost : corporate greed, women, and the Dalkon Shield /	At any cost : corporate greed, women, and the Dalkon Shield /	At any cost	http://example.org/1001376#Work
A Terminological dictionary of algebraic linguistics /	Terminological dictionary of algebraic linguistics /	A Terminological dictionary of algebraic linguistics	http://example.org/1370972#Work
Prace naukowe Uniwersytetu Śląskiego w Katowicach ;	Prace naukowe Uniwersytetu Śląskiego w Katowicach ;	Prace naukowe Uniwersytetu Śląskiego w Katowicach	http://example.org/1370972#Work830-27
Atlas of Oregon lakes /	Atlas of Oregon lakes /	Atlas of Oregon lakes	http://example.org/1371462#Work
Atmospheric sciences program field operations and experiment plan, 1985.	Atmospheric sciences program field operations and experiment plan, 1985.	Atmospheric sciences program field operations and experiment plan, 1985	http://example.org/1402306#Work
Aubrey Beardsley, 1872-1898 : Roma 13 marzo-28 aprile 1985 /	Aubrey Beardsley, 1872-1898 : Roma 13 marzo-28 aprile 1985 /	Aubrey Beardsley, 1872-1898	http://example.org/1405075#Work
Beardsley. 1967. Italian.	Beardsley. 1967. Italian.	Beardsley	http://example.org/1405075#Work700-24
Cataloghi (Fratelli Palombi editori)	Cataloghi (Fratelli Palombi editori)	Cataloghi (Fratelli Palombi editori)	http://example.org/1405075#Work830-28
Australian grass genera : anatomy, morphology, keys, and classification /	Australian grass genera : anatomy, morphology, keys, and classification /	Australian grass genera	http://example.org/1319662#Work
Availability of federally owned minerals for exploration and development in western states : Nevada, 1985 /	Availability of federally owned minerals for exploration and development in western states : Nevada, 1985 /	Availability of federally owned minerals for exploration and development in western states	http://example.org/1400868#Work
Bureau of Mines special report.	Bureau of Mines special report.	Bureau of Mines special report	http://example.org/1400868#Work830-28
Bakke &amp; the politics of equality : friends and foes in the classroom of litigation /	Bakke &amp; the politics of equality : friends and foes in the classroom of litigation /	Bakke &amp; the politics of equality	http://example.org/1341994#Work
Bakke and the politics of equality.	Bakke and the politics of equality.	Bakke and the politics of equality	http://example.org/1341994#Work740-30
Basic biogeography /	Basic biogeography /	Basic biogeography	http://example.org/1302718#Work
Being had : historians, evidence, and the Irish in North America /	Being had : historians, evidence, and the Irish in North America /	Being had	http://example.org/1355182#Work
Benevento, l'arco e la città /	Benevento, l'arco e la città /	Benevento, l'arco e la città	http://example.org/1332563#Work
Berceuse pour Rémi pour saxophone alto et piano /	Berceuse pour Rémi pour saxophone alto et piano /	Berceuse pour Rémi	http://example.org/1399470#Work
Enseignement moderne du saxophone.	Enseignement moderne du saxophone.	Enseignement moderne du saxophone	http://example.org/1399470#Work830-24
Best games : 188 active and quiet, simple and sophisticated, games for preschoolers through adults /	Best games : 188 active and quiet, simple and sophisticated, games for preschoolers through adults /	Best games	http://example.org/1397874#Work
Bibliography of biography, 1970-1984	Bibliography of biography, 1970-1984	Bibliography of biography, 1970-1984	http://example.org/1299654#Work
Birds of Eucalypt forests and woodlands : ecology, conservation, management /	Birds of Eucalypt forests and woodlands : ecology, conservation, management /	Birds of Eucalypt forests and woodlands	http://example.org/1001399#Work
Black bears and grizzlies of the Northwest Territories /	Black bears and grizzlies of the Northwest Territories /	Black bears and grizzlies of the Northwest Territories	http://example.org/1350666#Work
Arctic wildlife sketches	Arctic wildlife sketches	Arctic wildlife sketches	http://example.org/1350666#Work830-27
Blasting explosives : a guide to safety.	Blasting explosives : a guide to safety.	Blasting explosives	http://example.org/1334974#Work
Boevoĭ pochin rossiĭskogo proletariata : k 100-letii͡u Morozovskoĭ stachki 1885 g. /	Boevoĭ pochin rossiĭskogo proletariata : k 100-letii͡u Morozovskoĭ stachki 1885 g. /	Boevoĭ pochin rossiĭskogo proletariata	http://example.org/1341592#Work
Bolshevism and the Russian Revolution : a debate /	Bolshevism and the Russian Revolution : a debate /	Bolshevism and the Russian Revolution	http://example.org/1310571#Work
On the fourth anniversary of the Russian Revolution.	On the fourth anniversary of the Russian Revolution.	On the fourth anniversary of the Russian Revolution	http://example.org/1310571#Work700-24
Education for socialists.	Education for socialists.	Education for socialists	http://example.org/1310571#Work830-25
Border crossings (Winnipeg, Man.)	Border crossings (Winnipeg, Man.)	Border crossings (Winnipeg, Man.)	http://example.org/1399611#Work
Arts Manitoba			
Brasszination	Brasszination	Brasszination	http://example.org/1300457#Work
Danses hongroises du 17e siècle.	Danses hongroises du 17e siècle.	Danses hongroises du 17e siècle	http://example.org/1300457#Work700-30
When David heard; arranged.	When David heard; arranged.	When David heard	http://example.org/1300457#Work700-31
Instrumental music. Selections; arranged.	Instrumental music. Selections; arranged.	Instrumental music	http://example.org/1300457#Work700-32
Diversimento, orchestra; arranged.	Diversimento, orchestra; arranged.	Diversimento	http://example.org/1300457#Work700-33
Solace; arranged.	Solace; arranged.	Solace	http://example.org/1300457#Work700-34
Breaking the land : the transformation of cotton, tobacco, and rice cultures since 1880 /	Breaking the land : the transformation of cotton, tobacco, and rice cultures since 1880 /	Breaking the land	http://example.org/1353065#Work
Transformation of cotton, tobacco, and rice cultures since 1880.	Transformation of cotton, tobacco, and rice cultures since 1880.	Transformation of cotton, tobacco, and rice cultures since 1880	http://example.org/1353065#Work740-25
Breastfeeding and related aspects of post-partum reproductive behaviour /	Breastfeeding and related aspects of post-partum reproductive behaviour /	Breastfeeding and related aspects of post-partum reproductive behaviour	http://example.org/1335619#Work
Brief history of the Jews of Drohobycz and Boryslaw /	Brief history of the Jews of Drohobycz and Boryslaw /	Brief history of the Jews of Drohobycz and Boryslaw	http://example.org/1378132#Work
Brief history of the Jews of Drohobycz and Boryslaw /	Brief history of the Jews of Drohobycz and Boryslaw /	Brief history of the Jews of Drohobycz and Boryslaw	
Builders /	Builders /	Builders	http://example.org/1000809#Work
Work throughout history.	Work throughout history.	Work throughout history	http://example.org/1000809#Work830-29
Canada, energy and minerals	Canada, energy and minerals	Canada, energy and minerals	http://example.org/1333823#Work
National atlas of Canada. 41.1	National atlas of Canada. 41.1	National atlas of Canada	http://example.org/1333823#Work830-31
Canada, the first parliament	Canada, the first parliament	Canada, the first parliament	http://example.org/1333821#Work
First parliament	First parliament	First parliament	http://example.org/1333821#Work740-36
1st parliament	1st parliament	1st parliament	http://example.org/1333821#Work740-37
1st Parliament of Canada.	1st Parliament of Canada.	1st Parliament of Canada	http://example.org/1333821#Work740-38
First parliament of Canada.	First parliament of Canada.	First parliament of Canada	http://example.org/1333821#Work740-39
National atlas of Canada. 13.7	National atlas of Canada. 13.7	National atlas of Canada	http://example.org/1333821#Work830-40
Canute and the Vikings /	Canute and the Vikings /	Canute and the Vikings	http://example.org/1363812#Work
Life and times.	Life and times.	Life and times	http://example.org/1363812#Work830-32
Cape Breton at 200, historical essays in honour of the Island's bicentennial, 1785-1985 /	Cape Breton at 200, historical essays in honour of the Island's bicentennial, 1785-1985 /	Cape Breton at 200, historical essays in honour of the Island's bicentennial, 1785-1985	http://example.org/1372777#Work
Cardinal Richelieu : power and the pursuit of wealth /	Cardinal Richelieu : power and the pursuit of wealth /	Cardinal Richelieu	http://example.org/1354896#Work
Caribbean plays for playing /	Caribbean plays for playing /	Caribbean plays for playing	http://example.org/1001365#Work
Caring for children : child care needs associated with hydrocarbon development in the Beaufort region /	Caring for children : child care needs associated with hydrocarbon development in the Beaufort region /	Caring for children	http://example.org/1351414#Work
Carnaval da vitória, 1985 : entre a tradição e a modernidade.	Carnaval da vitória, 1985 : entre a tradição e a modernidade.	Carnaval da vitória, 1985	http://example.org/1322198#Work
Carpentry /	Carpentry /	Carpentry	http://example.org/1304554#Work
Catálogo de catálogos colectivos de publicaciones periódicas y seriadas publicadas en América Latina y el Caribe /	Catálogo de catálogos colectivos de publicaciones periódicas y seriadas publicadas en América Latina y el Caribe /	Catálogo de catálogos colectivos de publicaciones periódicas y seriadas publicadas en América Latina y el Caribe	http://example.org/1313819#Work
Documentación e información agrícola ;	Documentación e información agrícola ;	Documentación e información agrícola	http://example.org/1313819#Work830-20
Yami no shukusai. English	Yami no shukusai. English	Yami no shukusai	http://example.org/1299746#Work
Tanin no sora. English.	Tanin no sora. English.	Tanin no sora	http://example.org/1299746#Work700-31
Strangers' sky.	Strangers' sky.	Strangers' sky	http://example.org/1299746#Work740-32
Asian poetry in translation. Japan. ;	Asian poetry in translation. Japan. ;	Asian poetry in translation	http://example.org/1299746#Work830-33
Changing order : replication and induction in scientific practice /	Changing order : replication and induction in scientific practice /	Changing order	http://example.org/1330469#Work
Characteristics of inmates involved in prison incidents : phase 1 /	Characteristics of inmates involved in prison incidents : phase 1 /	Characteristics of inmates involved in prison incidents	http://example.org/1316728#Work
User report ;	User report ;	User report	http://example.org/1316728#Work830-25
Check it out! : the book about libraries /	Check it out! : the book about libraries /	Check it out!	http://example.org/1373688#Work
China, issues and prospects in education.	China, issues and prospects in education.	China, issues and prospects in education	http://example.org/1360247#Work
China.	China.	China	http://example.org/1360247#Work740-27
World Bank country study.	World Bank country study.	World Bank country study	http://example.org/1360247#Work830-28
Annex ... to China, long-term development issues and options ;	Annex ... to China, long-term development issues and options ;	Annex ... to China, long-term development issues and options	http://example.org/1360247#Work830-29
China's cultural values /	China's cultural values /	China's cultural values	http://example.org/1378260#Work
Occasional paper (Arizona State University. Center for Asian Studies) ;	Occasional paper (Arizona State University. Center for Asian Studies) ;	Occasional paper (Arizona State University. Center for Asian Studies)	http://example.org/1378260#Work830-23
Choral varié op. 55 /	Choral varié op. 55 /	Choral varié	http://example.org/1400996#Work
CIPSH.	CIPSH.	CIPSH	http://example.org/1352685#Work
C I P S H.	C I P S H.	C I P S H	http://example.org/1352685#Work740-19
Civilizations East and West : a memorial volume for Benjamin Nelson /	Civilizations East and West : a memorial volume for Benjamin Nelson /	Civilizations East and West	http://example.org/1371097#Work
Class conflict and the crisis of feudalism : essays in medieval social history /	Class conflict and the crisis of feudalism : essays in medieval social history /	Class conflict and the crisis of feudalism	http://example.org/1318950#Work
History series (Hambledon Press) ;	History series (Hambledon Press) ;	History series (Hambledon Press)	http://example.org/1318950#Work830-29
Engishiki. English.	Engishiki. English.	Engishiki	http://example.org/1378244#Work
Engishiki. Maki 20. English.	Engishiki. Maki 20. English.	Engishiki	http://example.org/1378244#Work730-28
Engishiki. Maki 16. English.	Engishiki. Maki 16. English.	Engishiki	http://example.org/1378244#Work730-29
Occasional paper (Arizona State University. Center for Asian Studies) ;	Occasional paper (Arizona State University. Center for Asian Studies) ;	Occasional paper (Arizona State University. Center for Asian Studies)	http://example.org/1378244#Work830-30
Classless 1985	Classless 1985	Classless 1985	http://example.org/1302673#Work
Class projects.	Class projects.	Class projects	http://example.org/1302673#Work810-20
Clés et codes de l'image : l'image numérisée, la vidéo, le cinéma /	Clés et codes de l'image : l'image numérisée, la vidéo, le cinéma /	Clés et codes de l'image	http://example.org/1376444#Work
Collection Information, communication.	Collection Information, communication.	Collection Information, communication	http://example.org/1376444#Work830-26
Magnard université.	Magnard université.	Magnard université	http://example.org/1376444#Work830-27
CMAJ : Canadian Medical Association journal : journal de l'Association medicale canadienne.	CMAJ : Canadian Medical Association journal : journal de l'Association medicale canadienne.	CMAJ	http://example.org/1358282#Work
Humane medicine			
Canadian Medical Association journal			
Come &amp; celebrate : more center celebrations /	Come &amp; celebrate : more center celebrations /	Come &amp; celebrate	http://example.org/1390247#Work
Compendium of bryology : a world listing of herbaria, collectors, bryologists, and current research /	Compendium of bryology : a world listing of herbaria, collectors, bryologists, and current research /	Compendium of bryology	http://example.org/1402895#Work
Bryophytorum bibliotheca ;	Bryophytorum bibliotheca ;	Bryophytorum bibliotheca	http://example.org/1402895#Work830-24
Computer information systems : an introduction to data processing /	Computer information systems : an introduction to data processing /	Computer information systems	http://example.org/1400450#Work
Little, Brown computer systems series.	Little, Brown computer systems series.	Little, Brown computer systems series	http://example.org/1400450#Work830-25
Concertinos, violoncello, piano, E. 159	Concertinos, violoncello, piano, E. 159	Concertinos	http://example.org/1300464#Work
Sonatas, violoncello, piano, op. 65, C major.	Sonatas, violoncello, piano, op. 65, C major.	Sonatas	http://example.org/1300464#Work700-34
Discopaedia presents	Discopaedia presents	Discopaedia presents	http://example.org/1300464#Work830-35
Concertos, trumpet, chamber orchestra; arranged	Concertos, trumpet, chamber orchestra; arranged	Concertos	http://example.org/1341293#Work
Concertos. Selections	Concertos. Selections	Concertos	http://example.org/1325415#Work
Concertos, pianos (3), orchestra, K. 242, F major.	Concertos, pianos (3), orchestra, K. 242, F major.	Concertos	http://example.org/1325415#Work700-37
Concertos, piano, string orchestra, K. 107. No. 1.	Concertos, piano, string orchestra, K. 107. No. 1.	Concertos	http://example.org/1325415#Work700-38
Concertos, piano, string orchestra, K. 107. No. 3.	Concertos, piano, string orchestra, K. 107. No. 3.	Concertos	http://example.org/1325415#Work700-39
Lodron.	Lodron.	Lodron	http://example.org/1325415#Work740-41
Confidential U.S. State Department central files, South Africa internal affairs and foreign affairs 1945-1949.	Confidential U.S. State Department central files, South Africa internal affairs and foreign affairs 1945-1949.	Confidential U.S. State Department central files, South Africa	http://example.org/1336147#Work
South Africa, internal affairs and foreign affairs 1945-1949.	South Africa, internal affairs and foreign affairs 1945-1949.	South Africa, internal affairs and foreign affairs 1945-1949	http://example.org/1336147#Work740-30
Confidential U.S. State Department central files. South Africa, 1950-1954 internal affairs and foreign affairs.	Confidential U.S. State Department central files. South Africa, 1950-1954 internal affairs and foreign affairs.	Confidential U.S. State Department central files	http://example.org/1376017#Work
Connaître la météorologie /	Connaître la météorologie /	Connaître la météorologie	http://example.org/1382676#Work
Construction planning and management through system techniques /	Construction planning and management through system techniques /	Construction planning and management through system techniques	http://example.org/1360593#Work
Consultation paper on housing.	Consultation paper on housing.	Consultation paper on housing	http://example.org/1379094#Work
Document d'étude sur le logement.	Document d'étude sur le logement.	Document d'étude sur le logement	http://example.org/1379094#Work740-22
Consumer mathematics /	Consumer mathematics /	Consumer mathematics	http://example.org/1341519#Work
Consumer redress : Commission memorandum to the Council transmitted on 4 January 1985.	Consumer redress : Commission memorandum to the Council transmitted on 4 January 1985.	Consumer redress	http://example.org/1348424#Work
Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities	http://example.org/1348424#Work830-24
Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /	Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /	Contact and enlightened co-operation	http://example.org/1345344#Work
Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /	Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /	Contact and enlightened co-operation	
History of the fur trade in the Arctic drainage lowlands, 1717-1821.	History of the fur trade in the Arctic drainage lowlands, 1717-1821.	History of the fur trade in the Arctic drainage lowlands, 1717-1821	http://example.org/1345344#Work740-33
