titles	num
Alberta reproductive health, pregnancy outcomes :	4
Alberta trade, country profiles.	4
Alberta traffic collision statistics.	4
Alberta's energy resources ... in review.	4
Bulletin du programme des examens en vue du diplÃ´me.	4
Business plan /	4
Centennial series (Legislative Assembly of Alberta), 1869-2005 /	4
Chemistry data booklet.	4
Child traffic safety :	4
Compliance assessment & enforcement initiatives, annual report.	4
Consolidated financial statements of the Government of Alberta annual report.	4
Departmental examinations, [grade 12] 1966.	4
Departmental examinations, [grade 12] 1967, supplemental.	4
Departmental examinations, 1935.	4
Departmental examinations, 1936.	4
Departmental examinations, 1937.	4
Diploma examination :	4
Emission inventory of sulphur oxides and nitrogen oxides in Alberta /	4
Estimates of expenditure.	4
Evaluation of the initiation to teaching project :	4
Field measurement program :	4
Final report /	4
Fire protection film catalogue.	4
Freedom of information and protection of privacy :	4
Grazing reserves.	4
Growing forward :	4
Guide des parents, tests de rendement provinciaux.	4
Guide for school board planning and results reporting.	4
Guide to range plant community types and carrying capacity for the dry and central mixedwood subregions of Alberta :	4
Handbook for the identification and review of students with severe disabilities.	4
Healthy aging :	4
Information resources catalogue.	4
Introduction to financial management, FIN 101.	4
Job seeker's handbook :	4
Law 20.	4
Measuring up :	4
Merchandising business 1 :	4
Oldman River Dam ... raptor mitigation program.	4
People and prosperity :	4
Planning for an evaluation of teaching performance.	4
Proceedings :	4
Programme des examens--diplÃ´me de 12e annÃ©e.	4
Programs and services for seniors /	4
Range plant community types and carrying capacity for the subalpine and alpine subregions :	4
Renewable resources newsletter.	4
Report /	4
Report of the Alberta Endangered Species Conservation Committee.	4
Report on the Alberta Literacy Inventory.	4
Report on the regional sessions.	4
Research Management Division review for the fiscal year.	4
Residential property survey.	4
Scientific activities of the government of Alberta.	4
SeriiÍ¡a chytanok dliÍ¡a rozvitku ukraÃ¯nsÊ¹koÃ¯ movy /	4
Spectrum.	4
Staff development calendar.	4
Status report /	4
Statutory grain freight rates from Alberta to Vancouver/Prince Rupert and Thunder Bay.	4
Stay in - you win :	4
Strategic directions.	4
Student achievement testing program.	4
Synopsis of the parasites of vertebrates of Canada :	4
Term examination, June, 1924.	4
Test de rendement.	4
The economics of production and marketing of greenhouse crops in Alberta.	4
The Rainbow report :	4
Waterton tourism study :	4
Working in Alberta :	4
1991 Alberta resident travel survey :	3
A study of the social setting in recreation :	3
AADAC corporate business plan.	3
Accreditation handbook /	3
Advancing primary health care in Alberta :	3
Aging :	3
AHFMR programs and financial highlights.	3
Alberta :	3
Alberta Education documents catalogue /	3
Alberta Education publications /	3
Alberta exported :	3
Alberta Initiative for School Improvement :	3
Alberta labour news.	3
Alberta linear property assessment Minister's guidelines.	3
Alberta Revenue annual report /	3
Alberta tier 2 soil and groundwater remediation guidelines.	3
Applied mathematics 30, grade 12 diploma examination.	3
Applied mathematics 30, information bulletin, diploma examinations program.	3
Assessing drilling waste disposal areas :	3
Assessment review board training manual.	3
Backyard bugs /	3
Building and educating tomorrow's workforce :	3
Business involvement in education :	3
Child development :	3
Commercial recreation opportunities in northern Alberta.	3
Community consortia in Alberta.	3
Consumer education materials.	3
Consumer products and services :	3
Departmental examinations, [grade 12] 1965, supplemental.	3
Departmental examinations, [grade 12] 1965.	3
Departmental examinations, [grade 12] 1966, supplemental.	3
Departmental examinations, [grade 12], 1942.	3
Departmental examinations, 1938.	3
Departmental examinations, 1939.	3
Departmental examinations, grade IX, 1964.	3
Departmental examinations, grade IX, 1965.	3
Directory of Alberta public libraries.	3
Directory, certification and registration bodies for professions and occupations in Alberta.	3
Dva shliakhy :	3
Economy at a glance, Alberta.	3
Education in Alberta.	3
Emerge one-to-one laptop learning initiative :	3
Evaluating students' learning and communication processes :	3
Family dynamics :	3
Family issues :	3
Farm family file, Region 3, district home economist newsletter.	3
Farm fatalities.	3
FranÃ§ais 30, rÃ©sultats de l'examen en vue du diplÃ´me, rapport des examinateurs pour ...	3
French as a second language :	3
Grade 12 diploma examinations program bulletin.	3
Grade 9 achievement test :	3
Guidelines for the application of municipal wastewater sludges to agricultural lands.	3
Home care 1 :	3
Horse management :	3
I smikh, i plach :	3
Ironworker :	3
Join in learning to listen /	3
Justice business plan /	3
Kindergarten in Alberta, a handbook for parents.	3
Language arts 6 /	3
Language arts product evaluation.	3
Leaps and bounds :	3
Leasing cropland in Alberta /	3
Legal studies 1010 :	3
Legal studies 1020 :	3
Legal studies 2010 :	3
Legal studies 2020 :	3
Legal studies 2030 :	3
Legal studies 3010 :	3
Legal studies 3040 :	3
Legal studies 3080 :	3
Little Bow project newsletter	3
Liuds'ka vdacha :	3
Livret de donnÃ©es :	3
Mathematics 33 information bulletin, diploma examinations program.	3
Mathematics 9, Holt :	3
Media messages :	3
Merchandising business 2 :	3
Ministry business plan /	3
Negligence :	3
North Saskatchewan River :	3
Nova 5 :	3
Nova 6 :	3
Occupational health and safety review /	3
Oldman River Dam :	3
Parenting :	3
Peer support :	3
Perspectives on marriage :	3
Physics 20.	3
Practical mathematics.	3
Prenatal and postnatal care :	3
Pride in Alberta :	3
Profile and application for financial assistance to sport associations.	3
Promotion tests, grade VIII, 1938.	3
Proposed electoral division areas, boundaries and names for Alberta :	3
Provincial 4-H summer programs.	3
Pruning in Alberta /	3
Publications list /	3
Pure mathematics 30, information bulletin, diploma examinations program.	3
Renforcer le comportement positif dans les Ã©coles albertaines :	3
Researching amphibian numbers in Alberta (RANA)	3
Resource management :	3
Resource revenues, quarterly review.	3
Review - Alberta Foundation for the Arts.	3
Samples of students' writing from the English 30 diploma examination.	3
Science 10 :	3
Scientific activities of the Government of Alberta.	3
Service business 1 :	3
Sheep notes and news.	3
Social studies 20.	3
South Saskatchewan River Basin riparian health overview, including:	3
Special places 2000 :	3
Statistical supplement /	3
Status alert :	3
Stipulation no. ... pursuant to permit and licence ... /	3
Summary of ... production costs and returns for crop production in Alberta using the case study approach.	3
Supporting positive behaviour in Alberta schools :	3
Term examination, June, 1923.	3
The Alberta youth experience survey 2002 :	3
The career shop :	3
The limnological characteristics of the Bow, Oldman and South Saskatchewan Rivers (1979-82) /	3
The Southern Rockies landscape planning pilot study :	3
The travel sector :	3
TÍ¡Sikave :	3
Tips.	3
Tsikavytys' neznanym :	3
UiÍ¡avy sobi :	3
Vehicle information manual.	3
Water management in Alberta :	3
Welcome to Alberta :	3
Western (Aechmophorus occidentalis) and eared (Podiceps nigricollis) grebes of central Alberta :	3
Western Grain Transportation Act statutory grain freight rates, Alberta to Vancouver/Prince Rupert and Thunder Bay ... crop year.	3
Wetland management in the settled area of Alberta :	3
Why forestry? :	3
X-treme safety :	3
You and the law 1 :	3
[Promotion tests.]	2
1999/2000 electric tariff applications.	2
2-D design applications :	2
2000 A.D. :	2
9e annÃ©e test de rendement.	2
A Bibliography of the Athabasca oil sands, Fort McMurray, Alberta area;	2
A checklist of the mammals of Alberta /	2
A directory of services for immigrants in Alberta.	2
A fish conservation strategy for Alberta :	2
A framework for reform :	2
A guide for midlife career moves.	2
A guide to business opportunities in the oil and gas industry in northern Alberta /	2
A new economic strategy for Albertans :	2
A rare plant survey of the Wainwright Dunes Ecological Reserve /	2
A study of premium stability in compulsory automobile insurance /	2
A study of voluntarism in recreation :	2
A survey of attitudes toward human rights and toward self in Alberta schools.	2
A vision for the future :	2
AADAC Youth Services, treatment :	2
AADL :	2
Abandonment approval ... /	2
Accountability in education :	2
Achievement Testing Program information bulletin :	2
Achieving the vision :	2
Actions to promote safe and caring schools in Alberta :	2
Adopt-a-plant Alberta :	2
Adult back to school planner.	2
Air quality model guideline /	2
AISH :	2
Alberta birds, 1971 - 1980 /	2
Alberta business program guide.	2
Alberta Cancer Foundation ... annual review.	2
Alberta case cost report :	2
Alberta cattle for superior performance.	2
Alberta conservation and hunter education.	2
Alberta drilling waste sump chemistry study /	2
Alberta fire review '98 final report /	2
Alberta fishing education program.	2
Alberta gas plant statistics.	2
Alberta group tour manual.	2
Alberta industry & resources.	2
Alberta industry and resources ... data base.	2
Alberta industry and resources /	2
Alberta international export strategy :	2
Alberta machinery & equipment assessment Minister's guidelines.	2
Alberta minimum wage profile /	2
Alberta potato production guide /	2
Alberta produce notes /	2
Alberta profile.	2
Alberta regeneration survey manual.	2
Alberta residential building products /	2
Alberta Small Business Incubator Support Program guidelines.	2
Alberta soil and water quality guidelines for hydrocarbons at upstream oil and gas facilities.	2
Alberta training services index.	2
Alberta's aboriginal policy, strengthening relationships, a cross-ministry initiative report to Albertans.	2
Alberta's apprenticeship & trade certification system, programs & services :	2
Alberta's reserves.	2
Alberta's state of the environment fact sheet.	2
Alberta's supply outlook model :	2
An assessment of formal teacher evaluation practices in Alberta /	2
Analysis of water quality conditions and trends for the long-term river network :	2
Anno Domini :	2
Audio-visual catalogue.	2
Auditions :	2
Back injury prevention :	2
Bartender :	2
Basic algebra and geometry :	2
Beneficial management practices :	2
Biotechnology.	2
Board decision NR 2009-01 :	2
Boilermaker program.	2
Breaking new ground :	2
Buck for wildlife newsletter.	2
Builders' liens :	2
Bulletin de franÃ§ais 30 :	2
Cabinetmaker program.	2
Cadre conceptuel des programmes de franÃ§ais Ã  l'Ã©lÃ©mentaire :	2
Canada-Alberta crop insurance :	2
Canadian plays for community theatres :	2
CANSIM summary reference index, series directory, Alberta.	2
Capsule pipeline system analysis /	2
Career planner :	2
Celebrating Alberta's families :	2
Charter school handbook.	2
Chemistry achievement test.	2
Club 4 :	2
Code of practice for exploration operations /	2
Code of practice for land treatment of soil containing hydrocarbons :	2
Cognitive Education Project /	2
Community survey handbook :	2
Complementary scientific review of the proposed Alberta-Pacific Pulp Mill project environmental impact assessment /	2
Completing an accounting cycle for a service business, FIN 103.	2
Concrete finisher program.	2
Consultation with seniors and seniors' service providers :	2
Contagious diseases in day care :	2
Corporate review.	2
Creating a new future :	2
Creating tomorrow :	2
Curriculum specifications for social studies 30.	2
Departmental examinations, 1933.	2
Departmental examinations, 1934.	2
Departmental examinations, 1937, grade IX.	2
Departmental examinations, grade IX, 1966.	2
Destination resort plan :	2
Diploma examinations program bulletin.	2
Director of sales and marketing :	2
Donne-toi du crÃ©dit :	2
Early Childhood Services :	2
Economic impact of the Alberta forest industry /	2
Economics of heavy turkey production in Alberta /	2
Education and training planner.	2
Education of deaf and hard of hearing students in Alberta: 1989-1990.	2
Educational quality indicators :	2
Electrician :	2
Emergency/process upset flaring management :	2
Employment standards :	2
Energy alert.	2
Energy conservation :	2
English 10.	2
English 33 :	2
Establishing an accounting system for a service business :	2
Evaluation of computer models for predicting the fate and transport of salt in soil and groundwater /	2
Fall rye production.	2
Families growing together :	2
Family law :	2
Family living specialist newsletter.	2
Farm welding :	2
Farming in Alberta Canada /	2
Fascination with the unknown :	2
Fashion Alberta.	2
Fatality report /	2
Field shelterbelts for soil conservation /	2
Final report of the 1983 season at Head-Smashed-In Buffalo Jump, Alberta /	2
Final report of the 1984 season at Head-Smashed-In Buffalo Jump, Alberta /	2
Final report of the 1985 and 1986 field seasons at Head-Smashed-In Buffalo Jump, Alberta /	2
Financial program guide for Alberta exporters.	2
Financial programs :	2
Financing a small business.	2
Fire protection video, film and slide catalogue.	2
Fish species at risk in the Milk and St. Mary Drainages /	2
Food safety sentinel.	2
Forest management in Alberta :	2
FranÃ§ais 30 bulletin d'information, Programme des examens en vue du diplÃ´me.	2
Functional diagnostic imaging in the assessment of myocardial viability /	2
Game country :	2
Gas royalty guidelines.	2
Gas utility operator certificate program :	2
General information bulletin, provincial student assessment program, grades 3, 6, and 9.	2
General publications /	2
Geothermal energy resources in Alberta.	2
German language and culture nine-year program :	2
Getting into gear :	2
Grade 3 achievement test, English language arts :	2
Grade 3 achievement test, Language learning :	2
Grade 3 achievement test, social studies :	2
Grade 6 achievement test, English language arts :	2
Grade 6 achievement test, science :	2
Grade 6 achievement test, social studies :	2
Grade 9 mathematics pilot test provincial results /	2
Grain handling and transportation :	2
Guide des parents, programme des tests de rendement provinciaux.	2
Guide for school board planning and reporting.	2
Guide to art galleries in Alberta.	2
Guide to the common native trees and shrubs of Alberta /	2
Guide to the Natural Resources Conservation Board process.	2
Guideline for wetland establishment on reclaimed oil sands leases /	2
Guidelines for development and operation of a bed & breakfast home in Alberta.	2
Guidelines for municipal wastewater irrigation.	2
Guidelines for reclamation to forest vegetation in the Athabasca Oil Sands Region /	2
Guidelines for the approval and design of natural and constructed treatment wetlands for water quality improvement.	2
Guidelines for the rehabilitation of designated historic resources /	2
Hairstylist :	2
Handwriting :	2
Head injury, memory impairment and occupational safety.	2
Health and safety on the job :	2
Health Summit '99 :	2
Health technology assessment on the Net :	2
Highwood water management plan, phase 1 :	2
Historic sites of the province of Alberta /	2
Homesharing :	2
Housing programs.	2
How to conduct satisfaction surveys :	2
Human nature :	2
Human rights complaint form and guide.	2
Hydro Power Plant Dickson Dam /	2
Identifying the gifted and providing for their education :	2
Impacts of logging on boreal birds in the mixedwood forest :	2
Impaired driving program :	2
Impaired driving status report.	2
Industrial Property Taxation Task Force report.	2
Information for students :	2
Information manual for knowledge and employability courses :	2
Instructions and sample forms for accredited colleges' annual report to the Private Colleges Accreditation Board.	2
Integrating programming into mathematics :	2
Inventory of major Alberta projects.	2
Irrigation in Alberta.	2
Job search information service.	2
Job seekers handbook.	2
Job smart :	2
Joint work site health and safety committee handbook.	2
Key performance indicators reporting manual for Alberta post-secondary institutions :	2
Khorobrist' :	2
Kids, what do you do with them? :	2
Konflikty :	2
La banque, vous connaissez? :	2
Language arts 1.	2
Language arts 7 :	2
Law 30 :	2
Le plan d'Ã©ducation triennal du gouvernement de l'Alberta.	2
Les normes en matiÃ¨re d'adaptation scolaire.	2
Les programmes au secondaire deuxiÃ¨me cycle :	2
List of environmental education publications /	2
Listening to Albertans at risk of HIV/AIDS :	2
Livestock mortality :	2
Local Authorities Election Act, L27.5 :	2
Long-term care accommodation standards.	2
Low income programs review :	2
Machinist program.	2
Maintaining and expanding the agricultural land base in Alberta :	2
Make school work for you :	2
Making meetings matter.	2
Making sense of labour market information /	2
Manual for collection development and assessment for small public libraries.	2
Marketing activities book /	2
Marketing for a small business.	2
MathÃ©matiques & sciences.	2
MathÃ©matiques 6e annÃ©e :	2
Mathematics 20.	2
Mathematics upgrading :	2
Media and you.	2
Meeting the challenge.	2
Meetings and conferences :	2
Money matters /	2
Multiculturalism :	2
Municipal government in Alberta :	2
Muskeg River interim management framework for water quantity and quality :	2
Natural Heritage Act :	2
Negotiating surface rights.	2
Networking in Alberta :	2
Northern leopard frog reintroduction :	2
Northern perspectives :	2
Occupational Health and Safety back injury and prevention project /	2
Oil Sands Consultation Multistakeholder Committee interim report	2
Oldman Reservoir mule deer :	2
Oldman Reservoir mule deer studies :	2
Oldman River Dam wildlife habitat mitigation-vegetation establishment :	2
Operating a small manufacturing business.	2
Operating a small retail business.	2
Operating a small service business /	2
Opportunities for health care professionals in Northern Alberta.	2
Participation patterns study :	2
Peace Country cattle newsletter.	2
Persons with developmental disabilities community boards consolidated annual report.	2
Pheasants :	2
Physics 10 :	2
Physics achievement test.	2
Pipelines in Alberta :	2
Plains hydrology and reclamation project :	2
Policing in relation to the Blood Tribe :	2
Preliminary list :	2
Preliminary list of new manufacturing plants, additions to manufacturing plants, warehouses and office buildings - Alberta.	2
Pride in Alberta.	2
Proceedings of the Conference: Reclamation, a Global Perspective, held in Calgary, Alberta, Canada, August 27-31, 1989 /	2
Professional operator's licence information for tractor-trailers, buses, large trucks, ambulances and taxis :	2
Profile and application for financial assistance to umbrella sport associations.	2
Promising practices in First Nations, Metis and Inuit education case studies no. two :	2
Promotion tests, 1936.	2
Proposed amendments for 1998 to the Municipal Government Act.	2
Prospectus for an Alberta conservation strategy /	2
Provincial report : biology 30 grade 12 diploma examination :	2
Public post-secondary institutions audited financial statements :	2
Public welfare services /	2
Publication list.	2
Quarterly report /	2
Quick facts about alcohol, tobacco, other drugs, and problem gambling.	2
Range plant community types and carrying capacity for the dry and central mixedwood subregion :	2
Range plant community types and carrying capacity for the lower foothills subregion of Alberta :	2
Range plant community types and carrying capacity for the upper foothills subregion :	2
Rap :	2
Rat control in Alberta /	2
Recycling of waste in Alberta :	2
Red Deer River Corridor integrated management plan.	2
Regional sustainable development strategy for the Athabasca Oil Sands area.	2
Removing barriers to high school completion :	2
Removing restraints to and offsetting effects of low farm income :	2
Report of the Task Force on the Workers' Compensation Board.	2
Report of the Upper Elbow River Instream Objectives Working Group.	2
Report to Albertans /	2
Research Management Division publications.	2
Responding to public concerns about oil and gas in Alberta.	2
Review Committee on outcomes :	2
Risk approach :	2
Samples of students' writing from the Social Studies 30 diploma examination.	2
Saying farewell :	2
Science 5 :	2
Screen test, Alberta Program for the Early Detection of Breast Cancer ... biennial report /	2
Senior high school handbook.	2
Seniors and gambling :	2
Service business 2, FIN 1030.	2
Setting the direction for special education :	2
Settling in Alberta :	2
Sexually transmitted disease teaching outline and resource guide /	2
Soil microbiology in land reclamation	2
Soil quality guidelines for barite :	2
Soil remediation guidelines for barite :	2
Soil series information for reclamation planning in Alberta /	2
Sommaire d'Ã©valuation.	2
South Saskatchewan River Basin water management plan :	2
Speaking of safety.	2
Special crops directory /	2
Specified gas reporting standard.	2
Sport development strategy /	2
Spring runoff outlook.	2
Standards for tree improvement in Alberta.	2
Starting a small business.	2
Stereotactic radiosurgery :	2
Stormwater management guidelines for the province of Alberta.	2
Street safe.	2
Student Achievement Testing Program bulletin :	2
Students with challenging needs :	2
Substance use and gambling in the Alberta workplace, 2002 :	2
Substance use and the Alberta workplace :	2
Summary :	2
Supporting integration :	2
Supportive living accommodation standards.	2
Supportive living framework.	2
Switzer Park :	2
Synopsis of the parasites of domesticated mammals of Canada /	2
Systematic assessment of protective clothing for Alberta workers :	2
Teachers' pensions :	2
Technical publications /	2
Teen action /	2
Telecommunications 1 :	2
Temporary foreign workers :	2
Textes choisis :	2
The Adult back-to-school book.	2
The Alberta Oil Sands Community Exposure and Health Effects Assessment Program :	2
The Alberta student assessment study :	2
The beef cow-calf manual.	2
The bounce back book :	2
The business of agriculture :	2
The Canada-United States free trade agreement :	2
The Chernochan machine shed :	2
The evaluation of the Medicine Hat Model for teacher supervision and evaluation :	2
The human rights complaint process :	2
The informer.	2
The learning mosaic :	2
The learning team :	2
The Premier's Commission on Future Health Care for Albertans [newsletter].	2
The sensitivity of crude oil recovery to production rate and the need for surveillance of the effect of production rate on recovery and for regulation of production rate.	2
