File_name,Title,Department,Community,Publisher,Creator
educationofteach00albe,The Education of teachers in Alberta : a model for the future,Alberta Education.,Alberta Education,[Alta. : Department of Education?],Alberta. Alberta Education
oldmanriverdamen00oldm,Oldman River Dam Environmental Advisory Committee final recommendations,Alberta Environment and Parks.,Alberta Environment and Parks,[Edmonton : Alberta Environment],Oldman River Dam Environmental Advisory Committee (Alta.) Alberta. Alberta Environment
presentationsmad00wate,"Presentations made at the 18th Alberta Operators Seminar, Banff Park Lodge, March 9,10,11,12, 1993",Alberta Environment and Parks. Alberta Environmental Protection. Municipal Branch.,Alberta Environment and Parks,"[Edmonton] : Alberta Environmental Protection, Standards and Approvals Division, Municipal Branch","Water and Wastewater Operators' 1993 Seminar (1993 : Banff, Alta.) Alberta. Alberta Environmental Protection. Municipal Branch Alberta Water and Wastewater Association Western Canada Water and Wastewater Association"
cropprotection00albe,Crop protection / 1999,Alberta Agriculture and Forestry. Food and Rural Development.,Alberta Agriculture and Forestry,"Edmonton : Alberta Agriculture, Food and Rural Development","Alberta. Alberta Agriculture, Food, and Rural Development Alberta. Alberta Agriculture and Food Alberta. Alberta Agriculture and Rural Development Alberta. Alberta Agriculture and Forestry"
franais30bulleti00albe,"Français 30 bulletin d'information, programme des examens en vue du diplôme. 1990-1991. (couverture: Bulletin de Français 30) / 1990",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
schoolbusdriveri03albe_0,School bus driver improvement program,Alberta Transportation.,Alberta Transportation,Edmonton : Alberta Transportation,Alberta. Alberta Transportation
fieldpoolcodesnu00albe_3,Field and pool codes numeric list / 1990,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,[Calgary] : The Board,Alberta. Energy Resources Conservation Board Alberta Energy and Utilities Board
sportdevelopment00albe_1,Sport development strategy,Alberta Culture and Tourism. Recreation Development Division.,Alberta Culture and Tourism,"Edmonton : Alberta Recreation and Parks, Recreation Development Division]",Alberta. Recreation Development Division
1999requestedame00albe,1999 requested amendments to the Municipal Government Act,Alberta Municipal Affairs. Municipal Services Branch.,Alberta Municipal Affairs,"Edmonton : Local Government Services Division, Municipal Services Branch, Alberta Municipal Affairs",Alberta. Municipal Services Branch
science2002albe,Science 20,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Distance Learning Alberta. Alberta Education
healtheffectsass00albe,Health effects associated with short-term exposure to low levels of sulphur dioxide (SO₂) : a technical review,Alberta Health. Health Surveillance.,Alberta Health,"Edmonton, Alta. : Alberta Health and Wellness, Health Surveillance, Health Strategies Division",Alberta. Health Surveillance
newslinealbertar94albe,Newsline / Alberta Research Council / 9: no.4,Alberta Research Council.,Alberta Research Council,[Edmonton] : Alberta Research Council,Alberta Research Council
planningeventsbo00unse,"Planning events booklet, Senior Citizens Week 2001, June 3-9 : recognizing Alberta's seniors, contributing to the future",Government of Alberta. Seniors Advisory Council for Alberta,Government of Alberta,Edmonton : Seniors Advisory Council for Alberta,
rockchipsnewslet2008albe,Rock Chips : A Newsletter Published by the Alberta Geological Survey for the Geoscience Community of Alberta / Spring 2008,Alberta Energy.,Alberta Energy,Edmonton : Alberta Energy,Alberta Geological Survey Alberta. Alberta Energy
reportoftaskforc01albe,Report of the Task Force on the Workers' Compensation Board,Government of Alberta. Task Force on the Workers' Compensation Board.,Government of Alberta,[Edmonton : The Task Force],"Alberta. Task Force on the Workers' Compensation Board Millard, Vern"
goodmoves00albe_3,Good moves / 1988: spring,Alberta Economic Development and Trade. Transportation Services. Alberta Economic Development and Trade.,Alberta Economic Development and Trade,"Edmonton : Alberta, Transportation Services Division",Alberta. Transportation Services Alberta. Alberta Economic Development and Trade
wainwrightstudya00fehr,"Wainwright study area, a biophysical inventory",Alberta Environment and Parks. Public Lands Division. Natural and Protected Areas Section.,Alberta Environment and Parks,"Edmonton : Alberta Energy and Natural Resources, Public Lands Division","Fehr, Alan William, 1959- Alberta. Public Lands Division Alberta. Natural and Protected Areas Section"
biology2006albe_0,Biology 20,Alberta Education.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education
specialeducation00albe_1,Special education manual,Alberta Education.,Alberta Education,"Edmonton, Alta. : Alberta Education",Alberta. Alberta Education
mathematics1405albe,Mathematics 14,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Learning Technologies Branch
grade12diplomae1986albe_7,"Grade 12 diploma examination. English 30. Part B, Reading (Multiple choice) / 1986: Jan.rdgs.",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
occupationalinj1999albe_0,Occupational injuries and diseases in Alberta. Lost-time claims and claim rates / 1999,Alberta Labour. Alberta Human Resources and Employment. Alberta Employment and Immigration.,Alberta Labour,"Edmonton, AB : Alberta Human Resources and Employment",Alberta. Alberta Human Resources and Employment Alberta. Alberta Employment and Immigration
departmentalexam54albe,"Departmental examinations, 1929",Alberta Education. High School and University Matriculation Examinations Board.,Alberta Education,[Alberta] : High School and University Matriculation Examinations Board,Alberta. High School and University Matriculation Examinations Board
curriculumhandbo2199albe,Curriculum handbook for parents. Catholic school version. Grade 2 / 1997,Alberta Education.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education
rockchipsnewsle2005albe_1,Rock Chips : A Newsletter Published by the Alberta Geological Survey for the Geoscience Community of Alberta / Summer 2005,Alberta Energy.,Alberta Energy,Edmonton : Alberta Energy,Alberta Geological Survey Alberta. Alberta Energy
leasingvsbuyingf00edwa,Leasing vs buying farm machinery,Alberta Agriculture and Forestry. Farm Business Management Branch. Alberta Agriculture.,Alberta Agriculture and Forestry,"Olds, Alta. : Alberta Agriculture, Farm Business Management Branch","Edwards, Craig Alberta. Farm Business Management Branch Alberta. Alberta Agriculture"
diplomaexaminat1991albe_1,Diploma examinations program update. English 33 / 1991,Alberta Education. Student Evaluation Branch.,Alberta Education,"[Edmonton] : Student Evaluation, Alberta Education",Alberta. Student Evaluation Branch
energyresources19901221,Informational letter / 1990,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"Calgary, Alta. : Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
continuingcarehe00mlat_0,Continuing care health service & accommodation standards,Government of Alberta. Government MLA Task Force on Continuing Care Health Service and Accommodation Standards,Government of Alberta,"Edmonton, Alta. : Government MLA Task Force on Continuing Care Health Service and Accommodation Standards",MLA Task Force on Continuing Care Health Service and Accommodation Standards (Alberta)
pakowkilakewater00sosi_0,Pakowki Lake water quality study (1996),Alberta Environment and Parks. Water Management Division.,Alberta Environment and Parks,"[Edmonton : Alberta Environmental Protection, Natural Resources Service, Water Management Division, Water Sciences Branch]","Sosiak, A. J Alberta. Water Management Division"
englishlanguagea03albe_26,English language arts 10-1,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Alberta Learning. Learning Technologies Branch Alberta. Alberta Learning
curriculumhandbo5201albe,Curriculum handbook for parents. Catholic school version. Grade 5 / 2011,Alberta Education.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education
link01albe_0,The Link / Volume IV Issue 1,Government of Alberta. Alberta Agricultural Research Institute,Government of Alberta,Edmonton : Alberta Agricultural Research Institute,Alberta Agricultural Research Institute
foipptechnologyh00albe,FOIPP and technology highlights : best practices for Alberta school jurisdictions,Alberta Education.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education
shorttermcrisisa00albe,Short term crisis accommodation projects : issues to consider when developing safe home networks and satellite accommodation projects,Alberta Community and Social Services. Office for the Prevention of Family Violence.,Alberta Community and Social Services,"[Edmonton] : Office for the Prevention of Family Violence, Alberta Social Services",Alberta. Office for the Prevention of Family Violence
permitno1990247272,Permit no / GR 1990: no. 247-272,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
surveyofdaysland00albe,Survey of Daysland / Rev. Oct. 1963.,Alberta Economic Development and Trade. Industrial Development Branch. Dept. of Industry and Development.,Alberta Economic Development and Trade,[Edmonton : The Dept.],Alberta. Industrial Development Branch Alberta. Dept. of Industry and Development
transearchresear53albe,Transearch : a Research and Development technical publication / Vol. 5 No. 3,Alberta Transportation. Alberta Transportation and Utilities. Research and Development.,Alberta Transportation,[Edmonton] : Alberta Transportation and Utilities,Alberta. Alberta Transportation and Utilities. Research and Development
english101shee,English 10-1,Alberta Education. Distance Learning.,Alberta Education,Barrhead : Alberta Distance Learning Centre,"Sheets, Marvin Alberta. Distance Learning"
losttimeclaimscl1996albe,Lost-time claims and claim rates ... summary / 1986,Alberta Labour. Alberta Occupational Health and Safety. Research and Information Development. Alberta Occupational Health and Safety. Alberta Labour. Information Services. Alberta Human Resources and Employment. Information Services. Alberta Human Resources and Employment.,Alberta Labour,"[Edmonton, Alta.] : Alberta Community and Occupational Health",Alberta. Alberta Occupational Health and Safety. Research and Information Development Alberta. Alberta Occupational Health and Safety Alberta. Alberta Labour. Information Services Alberta. Alberta Human Resources and Employment. Information Services Alberta. Alberta Human Resources and Employment
grade12diplomae987albe_20,Grade 12 diploma examination. Physics 30 / Jun 1987,Alberta Education. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation Branch
educationprogram00albe,Education program continuity : a policy statement on the articulation of children's learning experiences : early childhood services through grade six,Alberta Education.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education
cequemonenfantap00albe_1,Ce que mon enfant apprend à l'école : manuel à l'intention des parents. Première année (2001-2002) / 2001,Alberta Education. Alberta Learning.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education Alberta. Alberta Learning
