resource	Community	ualId:belongsToCommunity	ualid:belongsToCommunity	ualId:hasCollectionId	ualId:hasCollection	ualid:hasCollectionId	ualid:hasCollection	ualids:doi	ualId:fedora3handle	ualids:fedora3handle	http://fedora.info/definitions/v4/repository#uuid	info:hasModel	http://id.loc.gov/vocabulary/relators/dpt	ualId:fedora3uuid	ualids:fedora3uuid	dcterm:creator	dcterm:description	dcterm:modified	dcterm:title	dcterm:relation	dcterm:source	http://scholarsphere.psu.edu/ns#relativePath	dcterm:contributor	dcterm:license	dcterm:type	dcterm:created	dcterm:dateAccepted	dcterm:dateSubmitted	dcterm:isVersionOf	dcterm:language	dcterm:subject	ualId:year_created	ualid:year_created	ualid:ingestbatch	ualId:ingestbatch	http://fedora.info/definitions/v4/repository#created	http://fedora.info/definitions/v4/repository#createdBy	http://fedora.info/definitions/v4/repository#exportsAs	http://fedora.info/definitions/v4/repository#hasParent	http://fedora.info/definitions/v4/repository#lastModified	http://fedora.info/definitions/v4/repository#lastModifiedBy	http://fedora.info/definitions/v4/repository#mixinTypes	http://fedora.info/definitions/v4/repository#primaryType	http://fedora.info/definitions/v4/repository#writable	info:downloadFilename	info:createdDate	AASM::Persistence::ActiveFedoraPersistence::AASMTermsaasmstate	info:fedora/fedora-system:def/relations-external#isPartOf	rdf:type	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mk/61/rk/79/mk61rk791>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R3HM52J8G	N/A	N/A	a18e2ae2-81f7-4be1-9fcc-6ccc5006c4b7	GenericFile	nsercgap@ualberta.ca	N/A	N/A	Lucy, Charles	N/A	2017-08-02T13:01:47.038Z	NSErC Discovery Grant Roundtable presentation EG 1504, July 27, 2016	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/07/27	N/A	N/A	N/A	English	NSERC | NSERC Discovery Grant	N/A	2016	N/A	N/A	2016-07-28T14:01:12.213Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mk/61/rk/79/mk61rk791/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-08-02T19:01:47.228Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	NSERC Roundtable EG 1504 - Dr. Charles Lucy.pdf	2016-07-28T14:01:10.954Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/d7/91/sj/96/d791sj962	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b7/w6/2f/82/b7w62f828b>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558v58k	Newsletters	doi:10.7939/R3T794	N/A	N/A	2465950c-f235-4220-88ee-ce13e19a1b28	GenericFile	nsercgap@ualberta.ca	N/A	N/A	GAP NSE	N/A	2016-07-28T18:28:46.426Z	Funding Opportunity: WCIO Nano Preliminary project description template	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/07/28	N/A	N/A	N/A	English	Funding Opportunity	N/A	2016	N/A	N/A	2016-07-28T18:28:46.681Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b7/w6/2f/82/b7w62f828b/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-21T01:07:52.245Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	WCIO Preliminary project description template.docx	2016-07-28T18:28:46.426Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6m/31/1r/93/6m311r93m	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/nh/79/h128nh79f>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558r928	Readings	doi:10.7939/R34M91J3R	N/A	N/A	cc6ca299-fb1c-45d6-991e-0b8952f3e7ee	GenericFile	ipawlina@ualberta.ca	N/A	N/A	NSE GAP	N/A	2016-09-16T15:07:36.887Z	Funding Opportunity from Ericsson (Letter of Invitation)	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/09/16	N/A	N/A	N/A	English	Ericsson | Funding	N/A	2016	N/A	N/A	2016-09-16T15:07:37.904Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/nh/79/h128nh79f/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-19T01:21:42.903Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Ericsson Funding Opportunity Invite letter_Research Project Proposals_2016 (2).doc	2016-09-16T15:07:36.887Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bq/j7/2p/72/bqj72p725p	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/98/9r/33/bh989r3330>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558r928	Readings	doi:10.7939/R3BK16S8V	N/A	N/A	fbc7c114-0c0c-4413-ad56-96c6afcc8a71	GenericFile	ipawlina@ualberta.ca	N/A	N/A	Renee Polziehn	N/A	2016-09-26T15:29:11.238Z	Skills Expected from Graduate Students in Search of Employment in Academic and Non-Academic  Settings	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2011/09/26	N/A	N/A	N/A	English	Discovery Grant | NSERC	N/A	2011	N/A	N/A	2016-09-26T21:05:02.692Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/98/9r/33/bh989r3330/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T14:39:34.765Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	careerskillsexpected.pdf	2016-09-26T21:05:01.794Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pn/89/d9/28/pn89d928p	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/80/49/g8/07/8049g807x>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558r928	Readings	doi:10.7939/R3F18SJ99	N/A	N/A	8f81fb10-9ad0-4255-a8a8-a207fb624c92	GenericFile	nsercgap@ualberta.ca	N/A	N/A	nsercgap@ualberta.ca	LOI Template to submit proposal for Development of Vaccine for Necrotic Enteritis in Broiler Chickens. Competition 2017.	2017-01-11T15:56:45.882Z	CFC  LOI for Development of Vaccine for Necrotic Enteritis in Broiler Chickens2017-ENG.docx	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	January 10, 2017	N/A	N/A	N/A	English	CFC funding | CPRC funding | Funding opportunity	N/A	2017	N/A	N/A	2017-01-11T21:53:13.578Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/80/49/g8/07/8049g807x/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-11T22:56:53.229Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	CPRC Call for LOIs Application - 2017-ENG.docx	2017-01-11T21:53:13.135Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b6/d5/6z/w7/b6d56zw74z	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/df/65/vb/73/df65vb73h>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558v58k	Newsletters	doi:10.7939/R31V5BG3J	N/A	N/A	4503693f-aae7-47e3-97aa-24b39df0240f	GenericFile	nsercgap@ualberta.ca	N/A	N/A	GAP NSE	N/A	2016-07-28T18:40:04.534Z	Funding Opportunity: UAlberta WUN RDF 2016 - Call for LOI	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/07/28	N/A	N/A	N/A	English	Funding Opportunity	N/A	2016	N/A	N/A	2016-07-28T18:40:04.954Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/df/65/vb/73/df65vb73h/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T04:49:17.711Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	UALBERTA WUN RDF 2016 - Call for LOI.pdf	2016-07-28T18:40:04.534Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/r5/6n/11/bcr56n110j	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5t/34/sm/09/5t34sm09v>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3QF4C	http://hdl.handle.net/10402/era.41960	http://hdl.handle.net/10402/era.41960	ca01607b-4a96-4a5a-bd57-63247ba6a07d	GenericFile	iwona.pawlina@ualberta.ca	uuid:b322486c-15db-4537-9f5f-a814575ab8c4	uuid:b322486c-15db-4537-9f5f-a814575ab8c4	Loo, Eric	N/A	2015-09-04T20:05:11.794Z	Connecting universities with industry - utilizing both Mitacs and NSERC (Sept. 2, 2015)	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2015/09/02	2015-09-04T14:05:05Z	2015-09-04T14:05:05Z	N/A	English	NSERC | funding for students | Mitacs	2015	2015	k3569571p	k3569571p	2015-10-10T19:42:34.036Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5t/34/sm/09/5t34sm09v/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-20T19:53:04.235Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Mitacs presentation September 2 2015.pdf	2015-09-04T20:05:05.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2c/21/w0892c21b	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rv/04/2v/09/rv042v091>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R34F1MQ6Q	http://hdl.handle.net/10402/era.41256	http://hdl.handle.net/10402/era.41256	b34e0199-df80-4897-b5f2-7e8409bad75a	GenericFile	iwona.pawlina@ualberta.ca	uuid:8f39b7ef-3f31-47e1-a83c-dcaf715da5ac	uuid:8f39b7ef-3f31-47e1-a83c-dcaf715da5ac	Dr. Armann Ingolfsson	N/A	2015-06-05T13:42:33.004Z	NSERC Discovery Grant Roundtable EG 1509 June 3 2015	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2015/06/03	2015-06-05T07:42:23Z	2015-06-05T07:42:23Z	N/A	English	NSERC | Discovery Grants | Evaluation Group 1509	2015	2015	td96k342g	td96k342g	2015-10-06T02:21:44.915Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rv/04/2v/09/rv042v091/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-18T17:21:08.636Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	NSERC DG Roundtable EG 1509 with Dr. Armann Ingolfsson June 3_2015.pdf	2015-06-05T13:42:24.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w6/63/44/30/w6634430k	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/h1/01/gh93h101x>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558r928	Readings	44558r928	Readings	doi:10.7939/R34B2X85G	http://hdl.handle.net/10402/era.41258	http://hdl.handle.net/10402/era.41258	6fb43e21-c388-41e0-991b-80e5218c8c2c	GenericFile	iwona.pawlina@ualberta.ca	uuid:d6b32526-e022-4766-a2db-428c11c6a1db	uuid:d6b32526-e022-4766-a2db-428c11c6a1db	NSERC	N/A	2015-06-05T13:50:52.474Z	2015 Competition Statistics Discovery Grants and Research Tools and Instrumentation Programs	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2015/04/01	2015-06-05T07:50:46Z	2015-06-05T07:50:46Z	N/A	English	Discovery Grant | NSERC | Competition statistics	2015	2015	zg64tn49m	zg64tn49m	2015-10-11T00:05:27.103Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/h1/01/gh93h101x/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T17:59:47.530Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	2015 Competition Statistics Discovery Grants and Research Tools and Instrumentation Programs.pdf	2015-06-05T13:50:46.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w3/76/38/20/w37638209	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/j1/70/8623j170z>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops	doi:10.7939/R37001	N/A	N/A	d6d2ac0a-cbbb-40c8-93b0-95897aa6b4f8	GenericFile	nsercgap@ualberta.ca	N/A	N/A	NSERC	N/A	2016-12-01T17:02:57.055Z	2017 NSERC SPG competition PPT	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/12/01	N/A	N/A	N/A	English	SPG | Strategic Project Grant	N/A	2016	N/A	N/A	2016-12-01T17:02:58.925Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/j1/70/8623j170z/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T03:09:50.445Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	2017 SPG_Competition NSERC Presentation.pdf	2016-12-01T17:02:57.055Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8h/21/44558h21v	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9n/37/fx719n379>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3Z31NN3S	http://hdl.handle.net/10402/era.41216	http://hdl.handle.net/10402/era.41216	bfc2a01c-60c9-4fe2-bac3-5bc5f6f6f835	GenericFile	iwona.pawlina@ualberta.ca	uuid:abce730c-70ed-455e-937d-47c2c1c6f4fe	uuid:abce730c-70ed-455e-937d-47c2c1c6f4fe	Pawlina, Iwona	N/A	2015-05-28T21:35:17.404Z	Importing publications from Goggle Scholar to NSERC Common CV	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	N/A	2015-05-28T15:35:01Z	2015-05-28T15:35:01Z	N/A	English	NSERC | Common CV | Google Scholar	N/A	N/A	5425kb73v	5425kb73v	2015-10-06T13:39:14.691Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9n/37/fx719n379/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T03:53:30.992Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Importing publications from Google Scholar.pdf	2015-05-28T21:35:01.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/hz/87/8623hz87j	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/q4/7r/n7/b5q47rn79g>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops	doi:10.7939/R36W96C9V	N/A	N/A	3a25c790-e231-40d9-8297-e70ec32beeb9	GenericFile	ipawlina@ualberta.ca	N/A	N/A	Chuck Lucy	N/A	2016-09-26T15:26:31.366Z	Top Ten Tips for Discovery Grant Applicants	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/09/26	N/A	N/A	N/A	English	Discovery Grant | NSERC	N/A	2016	N/A	N/A	2016-09-26T21:05:02.102Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/q4/7r/n7/b5q47rn79g/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T14:39:39.780Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Top Ten Tips for Discovery Grants.pdf	2016-09-26T21:05:01.828Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pn/89/d9/28/pn89d928p	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fn/10/6z/71/fn106z71n>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3N87338M	http://hdl.handle.net/10402/era.41301	http://hdl.handle.net/10402/era.41301	c5e85cd6-020e-4f21-b4ce-e0b6848dc539	GenericFile	iwona.pawlina@ualberta.ca	uuid:8392dd13-0113-4de2-8062-9e405cfc778b	uuid:8392dd13-0113-4de2-8062-9e405cfc778b	Thorlakson, Jessica	N/A	2015-06-10T21:41:59.051Z	Bibliomterics and Research Impact Workshop Handbook (Winter 2014-2015)	N/A	N/A	N/A	Klassen, Timothy	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2014/09/15	2015-06-10T15:41:56Z	2015-06-10T15:41:56Z	N/A	English	Research impact | Bibliomterics	2014	2014	m326m2371	m326m2371	2015-10-05T13:08:21.603Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fn/10/6z/71/fn106z71n/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T17:29:19.697Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	BibliometricsHandout Winter 2015.pdf	2015-06-10T21:41:56.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jd/47/2x/23/jd472x230	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fb/49/48/52/fb494852w>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3SB3X31K	http://hdl.handle.net/10402/era.39228	http://hdl.handle.net/10402/era.39228	4ce12bf7-d2c1-4e63-9ddc-aa0c4c66cc26	GenericFile	iwona.pawlina@ualberta.ca	uuid:13a8836a-f783-48e4-af49-857940deef60	uuid:13a8836a-f783-48e4-af49-857940deef60	Anup Basu	N/A	2014-07-30T21:42:25.284Z	2014 Discovery Grant Evaluation Group 1507 Round Table Presentation	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	July 29, 2014	2014-07-30T15:42:08Z	2014-07-30T15:42:08Z	N/A	English	Discovery Grant Evaluation | NSERC application | NSERC Grants	2014	2014	sx61dm37v	sx61dm37v	2015-10-03T03:49:11.834Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fb/49/48/52/fb494852w/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T17:18:53.350Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Dr Anup Basu NSERC Round Table for EG 1507.pdf	2014-07-30T21:42:08.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/nk/32/2d/42/nk322d42r	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
