Filename	Identifier	Title	Name	Role	Publication_Statement	Date_Issued	Language	Place	Extent	Description	Subject	To	From	Address	Message	Postmark_Date	On_Back	On_Front	General_Note		
13/114	PC029319	207-An Inviting Road in the Rockies	Sanborn Souvenir Co.	Publisher	Copyrighted by Sanborn Souvenir Co., Denver, Colo.		English	Canada, Unknown Province, Rocky Mountains	1 postcard : col. ; 9 x 14 cm	Illustration of a dirt road through the wilderness and into the Rocky Mountains; accompanied by a poem	Mountains ; Mountain roads ; Poetry ; Tourism						"The West is the place for the ""Vagabond Lover"" of nature and the outdoors. Highways go nearly everywhere, even to the tops of the mountains, and quiet trails lead to secluded beauty spots away from the crowd. To roam all day and camp at night beneath the pines and aspens beside a murmuring stream at the foot of a mountain makes a perfect (Rocky Mountain) day."	THE CALL OF THE TRAIL. The call of the wild is not over the sea It comes from the west, the Trail is free My automobile is the castle key That opens the western world to me. The sweep of the hills in their distant view Nor the roll of the plains I never knew Till the Call of the Trail lured me out to view The wonderful spots where the west is new.			
14/114	PC028974	I'd rather be a Hitching Post in Gull Lake Than Lord Mayor of London					English	Canada, Saskatchewan, Gull Lake	1 postcard : col. ; 9 x 13.5 cm	Illustration of blue flowers	Flowers ; Cities & towns ; Tourism	Mr. Roy McCurdy	John	Milton R. [Nol.] N. Dak.	Hallo Roy! - How is N.D. anyway? It is pretty tame around here just now. When are you coming out here, you better get a move on. It is quite a big change here since last year. Hope to hear from you soon I am your friend John	GULL LAKE PM NO 15 10 SASK					
15/114	PC016340	Your Friends in WINNIPEG Would Like a Glimpse of You					English	Canada, Manitoba, Winnipeg	1 postcard : col. ; 9 x 14 cm	Illustrated flag accompanied by a b&w photograph of two women beside a tree overhanging a body of water	Cities & towns ; Pennants ; Tourism	Miss Annie Lockhead	Ross K.	Enterprise Ontario Can.	Dear Annie; Well Annie thought I would drop you a card to let you know I am still alive and will be able to read a large letter letter from you as soon as you can get it here, Hope everything is lovely down there. how is E[ff]ie (.Ha Ha) Bye answer soon Ross K.	GRENFELL AL 24 14 SASK					
16/114	PC020227	WHY DONT YOU COME TO WINNIPEG AND RUNABOUT THE TOWN WITH ME					English	Canada, Manitoba, Winnipeg	1 postcard : col. ; 9 x 14 cm	Illustration of a woman driving a car with a flag with 'WINNIPEG' written on it	Cities & towns ; Women ; Automobiles ; Pennants ; Tourism	Miss Dagny Nilson	Christine	Clan William Man. Box 24	Dear sister got your card thank you for it, agnes is down to see us to night, how are you all at home. goodbye, Christine Write soon	WINNIPEG, MAN MAR 7 5-AM 1913	Written in ms.: Winnipeg March 6				
17/114	PC020230	YOU AUTO BE IN WINNIPEG. THE TOWN OF TOWNS					English	Canada, Manitoba, Winnipeg	1 postcard : col. ; 9 x 14 cm	"Illustration of a man driving a car with a woman and animal in the backseat; a flag with the word ""Winnipeg"" flies alongside it"	Cities & towns ; Automobiles ; Pennants ; Tourism	Miss M. A. Dewar	[J]. L.	1 Norhaw Place Jesmond Newcastle on Tyne England	Have been out tobagganing to night shooting right across the river and had one or two [shells] and bones Broken [J]. L.						
18/114	PC018046	MOOSE JAW Why don't you come and live in a real good live town like this?					English	Canada, Saskatchewan, Moose Jaw	1 postcard : col. ; 9 x 14 cm	"Illustration of a young boy in a cowboy outfit leaning against a post; an illustrated flag with the words ""Moose Jaw"" flies above him"	Cities & towns ; Children ; Cowboys ; Pennants ; Tourism ; Land settlement--Canada	Mr. A. Harbottle	Wes Oliver	Findlay Man.	Well Art, How's tricks [G]ev is up here but I cant make him stay this time. Will write letter tommorow. Hope you & your lady are both well. From Wes Oliver	MOOSE JAW 4:30 OM OCT 29 1913		Illegible writing on front in m.s.			
19/114	PC032366	ESTEVAN Chust chase your self to dis town undt make me gladt.					English	Canada, Saskatchewan, Estevan	1 postcard : col. ; 9 x 14 cm	Illustration of a child with an open mouth ; dressed in traditional Dutch clothing	Cities & towns ; Children ; Pennants ; Tourism	Mrs. A. Johnston	Lily B[ev]a[u]	R.R. No. [I]. Chilliwack, B.C.	Sep. 2, 1915. Dear Auntie + All: - just writing you for the address of those heart's tablets as a young girl up here is dying from blockage of the heart and they seem to find no ease at all. If you have a very few they would perhaps do her some good and her folks will appreciate it and pay you. As ever - Lily Bevau.	[NOR. PORT. N.M.R.P.O.] 13 SP 3 15		6509			
20/114	PC032412	Welcome to MORSE The Best Town in the Country					English	Canada, Saskatchewan, Morse	1 postcard: col. ; 9 x 14 cm	Illustration of a flag underneath a b&w photograph of a street in Morse, Saskatchewan	Cities & towns ; Streets ; Pennants ; Tourism							Written in m.s.: SASK.			
21/114	PC016988	"Brandon has some ""Peaches"" but you have them all skinned"					English	Canada, Manitoba, Brandon	1 postcard: col. ; 9 x 14 cm	"Photograph of a woman holding a stick; a flag is illustrated abover her bearing the word ""Brandon"""	Cities & towns ; Women ; Pennants ; Courtship ; Tourism	Mr. George N. [Joslew]	Ella	2038 Park Ave. Annex : Montreal, Que.	Brandon, Man. Sept. 19-12, Thurs. Dear George, I hope you like this card. It's the best I can get. (etc.) to show I miss you + still remember you. We have to wait until 2:30 a.m. for a train to go to Winnipeg  [fair] at 8 a.m. Lovely [hrs], I feel fine. Only lonesome, [Siux] me [dusnl] - yet. It is O.K. Just a nice stay + [long] enough. I guess you are sorry. L.A.L. O.K. Ella	WINNIPEG & MOOSE JAW 62 SP 20 12					
22/114	PC034932	There are many reasons why I'm staying in Neepawa This is one of them					English	Canada, Manitoba, Neepawa	1 postcard: col. ; 9 x 14 cm	"Orange felt flag with the word ""Neepawa"" is affixed to the left-hand side of the card; on the right a b&w photograph depicts a man sitting in a chair with a woman in his lap"	Cities & towns ; Couples ; Pennants ; Courtship ; Tourism										
23/114	PC031482	When You Were in CALGARY There Was Something About You I Liked					English	Canada, Alberta, Calgary	1 postcard: col. ; 9 x 14 cm	Illustrated flag is inlaid by a circular b&w photograph of a couple kissing	Cities & towns ; Couples ; Pennants ; Courtship ; Tourism							1627			
24/114	PC031483	There's a Girl in CALGARY That's Got Me Going					English	Canada, Alberta, Calgary	1 postcard: col. ; 9 x 14 cm	Illustrated flag is inlaid by a circular b&w photograph of a couple embracing	Cities & towns ; Couples ; Pennants ; Courtship ; Tourism							1627			
25/114	PC034930	I HAF A FELLER IN Baldur DOT ISS DE LUFLIEST DOT YET VOS.					English	Canada, Manitoba, Baldur	1 postcard: col. ; 9 x 14 cm	Illustrated flag and young girl in Dutch clothing	Cities & towns ; Children ; Pennants ; Courtship ; Tourism	Clara	[Irma?]		"Baldur Man. Oct. 27/15. Dearest Clara - thanks ever so much for your nice letter rec. this afternoon. We are fine + having a good time. We expect to come home the first of next  week either on Mon. or Sun. We are going to the city on Sat. Will you ask John Roblin to keep an eye on everything around the house especially the wagons on Sat. night ""Halloween"" in case the kids get mischievious around there. It drizzled all day Sun. here and a howling snow storm on mtn. until into the afternoon when it cleared up. That put a stop to the threshing for a while I'm making a bureau scarf out of embroidered hand[?] + lace. I think it's going to be pretty. I knitted a lace which I intend to have around a doily and that bag I told you about and that's all I've done. Lazy, eh? Kind regards to all from us [?] and love to you from Your loving [Irma?]"						
26/114	PC034947	When you want to forget your troubles CYPRESS RIVER MAN. is the place for you.			Series No. 809 Scenic Pennant 24 designs.		English	Canada, Manitoba, Cypress River	1 postcard: col. ; 9 x 14 cm	Colourised photograph of a country lane in Cypress River, Manitoba is set to the left of a yellow flag with the town's name on it; all sit on a background of a blue sky	Cities & towns ; Rural areas ; Pennants ; Tourism		Beno		Un baiser pour toi Et le bonjour a toute la famille		Written in m.s.: 3	Written in m.s.: 27 Oct. 1924	Rough translation: A kiss for you and hello to the whole family		
27/114	PC018640	Met a Friend of Yours in Swan Lake Guess Who-					English	Canada, Manitoba, Swan Lake	1 postcard: col. ; 9 x 14 cm	"Orange felt flag with the words ""Swan Lake"" is affixed to the left side of the postcard; the right features a b&w illustrated photograph of a couple hiding their faces behind a fan"	Cities & towns ; Couples ; Pennants ; Tourism										
28/114	PC027456	Ven Dreams Kum True in Innisfail Dere Vill be Mutch Happiness					English	Canada, Alberta, Innisfail	1 postcard: col. ; 8.7 x 14 cm	"Illustrated flag with the word ""Innisfail"" adorns the left side; an illustration of a man wearing clogs and smoking a pipe sits on the right; a vision of a woman appears in the smoke"	Cities & towns ; Smoking ; Couples ; Pipes (Smoking) ; Pennants ; Tourism										
29/114	PC027458	"The ""grizzly bear"" is quite the thing in INNISFAIL, ALTA. and ""lordy how you can hug"""					English	Canada, Alberta, Innisfail	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the words ""Innisfail, Alta."" on the left; accompanied by a b&w picture of a couple embracing on the right"	Cities & towns ; Couples ; Pennants ; Courtship ; Tourism										
30/114	PC027457	"There are all kinds of picnics in INNISFAIL, ATLA. But you would be the real ""one"" for me"					English	Canada, Alberta, Innisfail	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the words ""Innisfail, Alta."" on the left; accompanied by a b&w picture of an outdoor picnic on the right"	Cities & towns ; Courtship ; Pennants ; Tourism										
31/114	PC027893	You can be the foreman on my ranch our here in HUGHENDEN					English	Canada, Alberta, Hughenden	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the word ""Hughenden"" as well as an illustration of a child wearing a cowboy outfit on it; the bottom-right of the card features an illustration of a cowboy roping a steer"	Cities & towns ; Pennants ; Children ; Cowboys ; Tourism	Mabel Lufswol[d]		Spokane 216 South Ceder st wash. usa.		HUGHENDEN MY 8 14 ALTA					
32/114	PC028775	If You Must Love Girls, Love Blackie Girls					English	Canada, Alberta, Blackie	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the word ""Blackie"" written on it; lower half of card consists of a b&w photograph of a street in Blackie pasted onto the card itself"	Cities & towns ; Pennants ; Tourism	Mr. + Mrs James Shearer	Belle	Bogeman, Mont. R.7.U. #1	Just a line to let you know I am still on the map. I suppose you are busy with chickens and garden Why don't you write? With love, Belle.	BLACKIE AM JUN 19 14 ALTA		Written on photo: STREET SCENE BLACKIE ALTA.			
33/114	PC026246	VEN YOU KUME TO EDMONTON SHUST DON'T KICK MY DOG AROUND.					English	Canada, Alberta, Edmonton	1 postcard: col. ; 9 x 13.5 cm	"Orange felt flag with word ""Edmonton"" is affixed to the left side of the card; right side features an illustration of a sad child wearing clogs walking with her dog"	Cities & towns ; Pennants ; Children ; Dogs ; Tourism	Miss F. Francis	Eve	P.O. Box 1136 Winnipeg Man.	Dear Flo; If you did not send Mrs. G. the mirrors of Jan 17 & 24 please send them to us as we did not get those numbers yet. Read the [magazines] today. Just arrived home from a basket ball game between Varsity 2nd team & VNS. the score being 23 to 8 in favor of VNS. Eve	EDMONTON, ALTA. FEB 20 2-PM 1913	"This card may be mailed for 1c if address and greeting such as ""Yours Truly"" with signature of sender is written . If message is written also, 2c postage is required. ; Written in m.s.: Dont you think this is a good one on the card"				
34/114	PC026245	I VILL BE TICKLED TO SEE YOU IN EDMONTON ACH! SUCH A TIME, VAT?					English	Canada, Alberta, Edmonton	1 postcard: col. ; 9 x 13.5 cm	"Orange felt flag with word ""Edmonton"" is affixed to the left side of the card; right side features an illustration of a man wearing clogs and sitting on a chair"	Cities & towns ; Pennants ; Tourism	Miss F. Francis	Eve	P.O. Box 1136 Winnipeg Man.	Dear Flo: - How do you like the card? I got my exam paper from you today. Well I don't feel so discouraged for[e scratched out] we have French grammar next and I am going to try and make 100 out of 100. It is awfully cold today. I went over  to Perre[c]s' last night and I am invited to Walter's birthday party.	EDMONTON, ALTA. FEB 16 6:30 PM 1918	"This card may be mailed for 1c if address and greeting such as ""Yours Truly"" with signature of sender is written . If message is written also, 2c postage is required. ; Written in m.s.: Dont you think this is a good one on the card"				
35/114	PC034780	Haf Youse Forgotten Your Frients in EDMONTON If Not, Vy Don't Youse Write					English	Canada, Alberta, Edmonton	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the word ""Edmonton"" is printed to the left of an illustration of a young Dutch girl checking the postbox"	Cities & towns ; Children ; Pennants ; Correspondence ; Tourism										
36/114	PC022010	The country roads are chust fine around Hartney					English	Canada, Manitoba, Hartney	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the word ""Hartney"" as well as an illustration of a child wearing clogs on it; the bottom-right of the card features an illustration of a country scene"	Cities & towns ; Children ; Pennants ; Tourism	Miss Edna Sanderson		Caman Man.	Congratulations to you I think you might take a trip up now	HARTNEY JUL 30 17 MAN.		Written in m.s.: why didn't you call n try them			
37/114	PC026403	I'm Saving a Place for You in Clearwater, Man. Do Hurry Up					English	Canada, Manitoba, Clearwater	1 postcard: col. ; 9 x 14 cm	"Illustrated flag with the words ""Clearwater, Man."" written on the top half of the card; a b&w photograph of a couple in front of a house is set at the bottom"	Cities & towns ; Pennants ; Couples ; Courtship ; Tourism	Miss Abbie Hanis	Flossie	Wood Bay, O[A], Manitoba	Dear Abbie - Sunday the 15th is our Anniversary, so will look for you and whoever else can come, to come down. Would write you a letter but thought I could tell you the news better. Edna & I were in Pilot Mound sat. afternoon, didn't see anyone we knew except C. Stewart. Let us know if you can come & some of you be sure & come all if you can Your friend - Flossie	CLEARWATER NO 10 14 MAN ; WOOD BAY NO 10 14 MAN	Written in m.s.: Nov. 9, 1914				
38/114	PC021984	I'll be good when you return to Bradwardine Don't be cross.					English	Canada, Manitoba, Bradwardine	1 postcard: col. ; 9 x 14	"Illustrated flag with the word ""Bradwardine"" written on the right; b&w photograph of a couple standing against a rock wall is set on the left side of the card"	Cities & towns ; Pennants ; Couples ; Courtship ; Tourism	Mrs. James Mackie		Balmoral, Man.	Monday 2:30 Have my washing all done & my bread in the oven. Had a letter from [?]ett. Saturday & Uncle Willie had a slight stroke last Wed. has no use of his left side and his right-side pains him awful. she said he might get the use of his side back b[ut] she let us know in case any thing happened. said she would [sorte] again. we are going to Brandon Tomorrow	BRADWARDINE FE 16 15 MAN. ; BAL[DUR] FE 17 15 MAN.					
39/114	PC035413	There's a girl in Bosissevain That's got me going					English	Canada, Manitoba, Boissevain	1 postcard: col. ; 8.7 x 14 cm	"Green felt flag with the word ""Bosissevain"" written on it affixed to the card; accompanied by a b&w photograph of a couple standing together under an umbrella on the right"	Cities & towns ; Pennants ; Couples ; Courtship ; Tourism	Mrs. Annie Burns	Hes	610-6 ave. N Saskatoon, Sask	Boissevain Man Sept 12 19/13 Dear Annie Just a line hoping you are well. I received your card safely. Suppose you are having a big time out there Well I am having one time to. How do you like anyway I like it pretty well but not working for some one else. Willard and I are working together as S Browns, Well bye bye Hes	BOISSEVAIN AM SP 23 12 MAN.					
40/114	PC026860	A Wheat Field, near Edmonton, Alta. CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Alberta, Edmonton	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a field of wheat; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada	Miss Goldie Prutt		#243 w J. st Grants Pass Ore U.S.A.	Tell Frank that I will write to him this week and not to get mad as I was not able to write much Well Goldie as I have not much more to	MOOSE JAW. SASK OCT 18 11-AM 1911		Written on photograph: 105,454 J.V.			
