collection,filename,elementName,elementValue,elementOccurrence
albertagovernmentpublications,abpublegis199011_meta.xml,title,List of Alberta publications and legislation,1
albertagovernmentpublications,abpublegis199011_meta.xml,updatedate,2015-02-12 17:17:40,1
albertagovernmentpublications,abpublegis199011_meta.xml,updater,admin-andrea-mills@archive.org,1
albertagovernmentpublications,abpublegis199011_meta.xml,uploader,admin-andrea-mills@archive.org,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,addeddate,2015-02-12 17:20:15.787391,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,bookplateleaf,0004,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,cat_key,848445,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,collection,toronto,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,creator,Alberta Research Council,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,date,1986,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,description,38,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,identifier,abresearchcouncil1993,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,identifier-access,http://archive.org/details/abresearchcouncil1993,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,identifier-ark,ark:/13960/t3gx7m969,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,imagecount,58,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,invoice,1,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,language,eng,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,lccn,cn 87080343,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,mediatype,texts,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,operator,ekaitlyn@ualberta.ca,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,page-progression,lr,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,ppi,350,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,publicdate,2015-02-12 16:06:27,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,publisher,Edmonton : The Council,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,repub_seconds,567,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,repub_state,4,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,republisher,ekaitlyn@ualberta.ca,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,scandate,20150302204403,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,scanfee,200,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,shiptracking,agov10,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,sponsordate,20150228,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,subject,Geology,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,subject,Alberta Research Council,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,subject,Alberta Research Council,3
albertagovernmentpublications,abresearchcouncil1993_meta.xml,title,Publications list,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,updatedate,2015-02-12 17:20:13,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,updater,admin-andrea-mills@archive.org,1
albertagovernmentpublications,abresearchcouncil1993_meta.xml,uploader,admin-andrea-mills@archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,addeddate,2013-12-05 17:48:55.239581,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,bookplateleaf,0002,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1981qu2_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1981qu2_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1981qu2_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,date,1981,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1981qu2_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1981qu2_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,identifier,abstatrev1981qu2,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,identifier-access,http://archive.org/details/abstatrev1981qu2,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,identifier-ark,ark:/13960/t80k4ss44,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,imagecount,138,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,publicdate,2013-12-05 16:47:43,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,repub_seconds,158,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,scandate,20131210181922,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,scanfee,200,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,shiptracking,agov2,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,sponsordate,20131231,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,title,Alberta statistical review,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,updatedate,2013-12-05 17:48:52,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,updater,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,uploader,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu2_meta.xml,year,1981: 2nd quar.,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,addeddate,2013-12-05 17:48:59.898077,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,bookplateleaf,0002,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1981qu3_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1981qu3_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1981qu3_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,date,1981,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1981qu3_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1981qu3_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,identifier,abstatrev1981qu3,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,identifier-access,http://archive.org/details/abstatrev1981qu3,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,identifier-ark,ark:/13960/t71v7xr9p,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,imagecount,138,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,publicdate,2013-12-05 16:47:44,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,repub_seconds,276,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,scandate,20131210192727,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,scanfee,200,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,shiptracking,agov2,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,sponsordate,20131231,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,title,Alberta statistical review,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,updatedate,2013-12-05 17:48:57,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,updater,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,uploader,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1981qu3_meta.xml,year,1981: 3rd  quar.,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,addeddate,2013-12-05 17:49:08.49182,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,bookplateleaf,0005,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1982qu1_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1982qu1_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1982qu1_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,date,1982,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1982qu1_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1982qu1_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,identifier,abstatrev1982qu1,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,identifier-access,http://archive.org/details/abstatrev1982qu1,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,identifier-ark,ark:/13960/t4mk8rt26,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,imagecount,164,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,publicdate,2013-12-05 16:47:46,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,repub_seconds,357,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,scandate,20131219193126,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,scanfee,200,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,shiptracking,agov2,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,sponsordate,20131231,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,title,Alberta statistical review,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,updatedate,2013-12-05 17:49:06,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,updater,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,uploader,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1982qu1_meta.xml,year,1982: 1st quar.,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,addeddate,2013-12-05 17:49:27.263531,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,bookplateleaf,0002,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1983qu1_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1983qu1_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1983qu1_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,date,1983,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1983qu1_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1983qu1_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,identifier,abstatrev1983qu1,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,identifier-access,http://archive.org/details/abstatrev1983qu1,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,identifier-ark,ark:/13960/t4vh7zm5j,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,imagecount,130,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,publicdate,2013-12-05 16:47:50,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,repub_seconds,173,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,scandate,20131210213555,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,scanfee,200,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,shiptracking,agov2,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,sponsordate,20131231,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,title,Alberta statistical review,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,updatedate,2013-12-05 17:49:25,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,updater,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,uploader,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1983qu1_meta.xml,year,1983: 1st  quar.,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,addeddate,2013-12-05 17:49:52.588137,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,bookplateleaf,0006,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1984qu3_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1984qu3_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1984qu3_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,date,1984,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1984qu3_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1984qu3_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,identifier,abstatrev1984qu3,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,identifier-access,http://archive.org/details/abstatrev1984qu3,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,identifier-ark,ark:/13960/t2c84qd7g,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,imagecount,162,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,publicdate,2013-12-05 16:47:56,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,repub_seconds,292,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,scandate,20131211000611,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,scanfee,200,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,shiptracking,agov2,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,sponsordate,20131231,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,title,Alberta statistical review,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,updatedate,2013-12-05 17:49:50,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,updater,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,uploader,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1984qu3_meta.xml,year,1984: 3rd  quar.,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,addeddate,2013-12-05 17:50:09.46568,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,backup_location,ia905800_28,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,bookplateleaf,0002,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,cat_key,762565,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,collection,toronto,3
albertagovernmentpublications,abstatrev1985qu3_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abstatrev1985qu3_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abstatrev1985qu3_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,creator,Alberta. Bureau of Statistics,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,date,1985,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,description,38 43,2
albertagovernmentpublications,abstatrev1985qu3_meta.xml,description,Annual cumulation ceased with 1982 edition,2
albertagovernmentpublications,abstatrev1985qu3_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,identifier,abstatrev1985qu3,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,identifier-access,http://archive.org/details/abstatrev1985qu3,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,identifier-ark,ark:/13960/t1vd9842f,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,imagecount,166,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,language,eng,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,mediatype,texts,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,operator,associate-angie-chenier@archive.org,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,page-progression,lr,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,ppi,350,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,publicdate,2013-12-05 16:48:00,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,publisher,"Edmonton, Alta. : Bureau of Statistics",1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,repub_seconds,350,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,repub_state,4,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,scandate,20131211220706,1
albertagovernmentpublications,abstatrev1985qu3_meta.xml,scanfee,200,1
