ia id	catkey	title	subjects
soapstoneseedbea00stap_0	2127480	Soapstone and seed beads : [electronic resource] arts and crafts at the Charles Camsell Hospital, a tuberculosis sanatorium / Annalisa R. Staples and Ruth L. McConnell.	Charles Camsell Hospital.--Tuberculosis--Alberta--Edmonton.--Handicraft--Alberta--Edmonton--Therapeutic use.--Handicraft industries--Alberta--Edmonton.--Indians of North America--Canada--Costume.--Métis--Costume.--Inuit--Costume.--Occupational therapy--Alberta--Edmonton.--Art Therapy--Edmonton.--Clothing.--Inuits--Canada.--Indians, North American--Canada.--Occupational Therapy Department, Hospital--Edmonton.;
prideinalbertare04gabe	1581298	Pride in Alberta : [electronic resource] a resource book for teachers, Division 2 / by Betty Gabert.	Agriculture--Study and teaching (Elementary)--Alberta.--Agricultural education--Alberta.--Farm management--Study and teaching (Elementary)--Alberta.;
bearriverwapitil00albe	950724	Bear River-Wapiti local integrated resource plan / [electronic resource] Alberta Forestry, Lands and Wildlife, Resource Evaluation and Planning Division.	Land use--Alberta--Planning.--Conservation of natural resources--Alberta.;
youthdetoxificat00watk_2	3802132	Youth detoxification and residential treatment literature review : [electronic resource] best and promising practices in adolescent substance use treatment : final report / prepared by Alberta Alcohol and Drug Commission (AADAC), AADAC Research Services, Michele Watkins.	Youth--Drug use--Alberta.--Drug abuse--Treatment--Alberta.--Alcoholism--Treatment--Alberta.--Detoxification (Substance abuse treatment)--Alberta.;
muskegriverinter02albe_0	4422651	Muskeg River interim management framework for water quantity and quality : [electronic resource] management guidance for aquatic components of the Muskeg River watershed.	Water quality management--Alberta--Muskeg River.--Water quality--Alberta--Muskeg River.--Water-supply--Alberta--Muskeg River.--Water levels--Alberta--Muskeg River.--Watershed management--Alberta--Muskeg River.--Kearl Lake (Alta.)--Muskeg River (Alta.);
landcapabilitycl00cumu_0	3830298	Land capability classification system for forest ecosystems in the oil sands, 3rd edition. Volume 1: field manual for land capability determination / [electronic resource] prepared for Alberta Environment by the Cumulative Environmental Management Association.	Oil sands--Environmental aspects--Alberta.--Land use--Alberta--Classification.--Reclamation of land--Alberta.--Forest ecology--Alberta.;
psublockprojappr199002	1748862	PSU, block and project approvals, monthly update. [electronic resource]	Gas well drilling--Alberta--Statistics.--Oil well drilling--Alberta--Statistics.;
withinourborders00albe_94	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
watersupplyoutlook199007	658327	Water supply outlook for Alberta / [electronic resource] produced by River Forecast Centre, Hydrogeology Branch and Survey Branch.	Precipitation (Meteorology)--Alberta--Measurement--Periodicals.--Water-supply--Alberta--Periodicals.;
annualreportdipl1996albe	1393701	Annual report, Diploma Examinations Program. [electronic resource]	Education--Alberta--Evaluation--Statistics--Periodicals.--Education, Secondary--Alberta--Statistics--Periodicals.--Examinations--Alberta--Interpretation--Statistics--Periodicals.;
urbanairqualityr00jand	775813	Urban air quality research needs in Alberta : [electronic resource] a literature review and synthesis of available information / by T. Jandali and B. Hrebenyk.	Air quality--Alberta.--Air--Pollution--Research--Alberta.;
mountroyalcollege198384	1407157	Annual report / [electronic resource] Mount Royal College.	Mount Royal College--Periodicals.;
cequemonenfantap00albe_27	2126591	Ce que mon enfant apprend à l'école : [electronic resource] manuel à l'intention des parents. Troisième année.	Programmes d'études--Alberta--Guides, manuels, etc.--Français (Langue)--Étude et enseignement--Alberta--Guides, manuels, etc.--Troisième année (Éducation)--Alberta--Guides, manuels, etc.--Education--Alberta--Curricula--Handbooks, manuals, etc.--French language--Study and teaching--Alberta.--Third grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.;
albertaprovincia44albe	1831894	Alberta provincial electoral division profile. [electronic resource]	Election districts--Alberta--Statistics.--Alberta--Census, 1991.--Alberta--Statistics.--Alberta--Population--Statistics.;
fieldpoolcode1990	6342518	Field and pool codes and names, supplementary list. [electronic resource]	Oil fields--Alberta--Code numbers--Periodicals.--Oil fields--Alberta--Code names--Periodicals.--Oil fields--Alberta--Indexes.;
focusonlearningi00frid	728169	Focus on learning : [electronic resource] an integrated program model for Alberta school libraries.	School libraries--Alberta.--Libraries and education--Alberta.;
chemistry30dipl1999albe_0	797759	Chemistry 30 diploma examination results. [electronic resource]	Chemistry--Alberta--Examinations--Statistics--Periodicals.--Examinations--Alberta--Statistics--Periodicals.;
psublockprojappr199409	1748862	PSU, block and project approvals, monthly update. [electronic resource]	Gas well drilling--Alberta--Statistics.--Oil well drilling--Alberta--Statistics.;
guideforschoolbo2001albe	2678263	Guide for school board planning and results reporting. [electronic resource]	School boards--Alberta--Periodicals.--Education and state--Alberta--Periodicals.--Educational planning--Alberta--Periodicals.--Education--Aims and objectives--Alberta--Periodicals.;
generalinformati2004albe	2024480	General information bulletin, achievement testing program, grades 3, 6, and 9. [electronic resource]	Achievement tests--Alberta--Periodicals.--Educational tests and measurements--Alberta--Periodicals.;
testderendements00albe	2357661	Test de rendement. Sciences 6e année. [electronic resource]	Sciences--Alberta--Examens.--Sixième année (Éducation)--Alberta--Examens.;
peopleparksprese00swin_0	1383058	People, parks, and preservation : [electronic resource] sustaining opportunities / prepared by Guy S. Swinnerton.	Parks--Government policy--Alberta.--Recreation areas--Alberta.--Forests and forestry--Alberta--Multiple use.;
educationtrainin00albe_0	1939006	The Education and training planner. [electronic resource]	Career development.--Vocational guidance.;
upstreampetroleu00albe	2661222	Upstream petroleum industry flaring, incinerating, and venting : [electronic resource] December 2002 draft.	Gas industry--Environmental aspects--Alberta.--Flare gas systems (Chemical engineering)--Alberta.--Waste gases--Alberta--Combustion.;
finalreport00albe_0	2273694	Final report / [electronic resource] Alberta Summit on Justice.	Justice, Administration of--Alberta--Congresses.--Victims of crimes--Alberta--Congresses.--Crime prevention--Alberta--Congresses.;
gullsinalberta00wese	3074123	Gulls in Alberta. [electronic resource]	Gulls--Alberta.;
grade12diplomae993albe_13	914711	Grade 12 diploma examination. Mathematics 30. [electronic resource]	Mathematics--Alberta--Examinations, questions, etc.--Twelfth grade (Education)--Alberta--Examinations.--Examinations--Alberta.;
technologyreview00give	949851	A technology review of particle removal by water filtration / [electronic resource] prepared by UMA Engineering Ltd., Patrick W. Given.	Water--Purification--Filtration.;
guidedesparentsp03albe	2331511	Guide des parents, programme des tests de rendement provinciaux. 3e année. [electronic resource]	Tests de rendement scolaire--Alberta--Guides, manuels, etc.;
mathematics20educ_1	2064624	Mathematics 20. [electronic resource]	Mathematics--Alberta--Examinations.--Academic achievement--Alberta--Testing.--Education, Secondary--Alberta--Evaluation.;
annualreport1984priv	900954	Annual report / [electronic resource] Private Colleges Accreditation Board.	Private Colleges Accreditation Board (Alta.)--Periodicals.--Private universities and colleges--Alberta--Accreditation--Periodicals.;
grade12diplomae996albe_16	914737	Grade 12 diploma examination. Chemistry 30. [electronic resource]	Chemistry--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
sumppumpstudy00ch2m	2004504	Sump pump study / [electronic resource] prepared by CH2M Hill Engineering Ltd.	Drainage, House--Alberta.--Municipal engineering--Alberta.;
residentialpropsurvey1988	567477	Residential property survey. [electronic resource]	Real property tax--Alberta--Statistics--Periodicals.--Dwellings--Taxation--Alberta--Statistics--Periodicals.--Tax assessment--Alberta--Statistics--Periodicals.--Public utilities--Rates--Alberta--Statistics--Periodicals.;
willowcreekbasin00albe_0	966610	Willow Creek Basin, Pine Coulee Reservoir : [electronic resource] alternative 2, on-stream storage : executive summary.	Reservoirs--Alberta--Pine Coulee Region--Design and construction.--Water resources development--Alberta--Willow Creek Region.--Water--Storage--Alberta--Willow Creek Basin.--Pine Coulee Reservoir (Alta.)--Pine Coulee (Alta.)--Willow Creek Watershed (Alta.);
requirementsform00albe	1935905	Requirements for major electric transmission lines in the Edmonton area : [electronic resource] inquiry.	Electric lines--Alberta--Edmonton.;
annrptaltaforest1991	607849	Annual report / [electronic resource] Alberta Forestry, Lands and Wildlife.	Alberta.--Alberta Forestry, Lands and Wildlife--Periodicals.--Forests and forestry--Alberta--Periodicals.--Public lands--Alberta--Periodicals.--Wildlife conservation--Alberta--Periodicals.--Natural resources--Alberta--Periodicals.;
examenenvuedudip00albe_19	1794021	Examen en vue du diplôme douzième année. Etudes sociales 30. [electronic resource]	Sciences sociales--Alberta--Examens--Périodiques.--Douzième année (Éducation)--Alberta--Examens--Périodiques.--Examens--Alberta--Périodiques.--Social sciences--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
willmorewilderne00grah_0	3844388	Willmore Wilderness Park fire management plan / [electronic resource] Laura Graham, Kevin Quintilio.	Forest fires--Alberta--Willmore Wilderness Park.--Wildfires--Alberta--Willmore Wilderness Park.--Forest management--Alberta--Willmore Wilderness Park.--Fire ecology--Alberta--Willmore Wilderness Park.--Forest protection--Alberta--Willmore Wilderness Park.--Willmore Wilderness Park (Alta.);
	188304		;
departmentalexamalbe_9	639582	Departmental examinations, [grade 12], 1942. [electronic resource]	Examinations--Alberta--Questions.;
affirmingfrancop00albe	2377441	Affirming francophone education, foundations and directions : [electronic resource] a framework for French first language education in Alberta.	French language--Study and teaching--Alberta.--Education--Alberta--Francophones.;
albertansclimate00albe_2	2604141	Albertans & climate change : [electronic resource] a strategy for managing environmental and economic risks.	Climatic changes--Government policy--Alberta.--Climatic changes--Environmental aspects--Alberta.--Climatic changes--Economic aspects--Alberta.--Environmental policy--Alberta.;
informationbull1996albe_7	1603666	Information bulletin. Grade 6 English language arts. [electronic resource]	English language--Alberta--Examinations--Periodicals.--Sixth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
puremathematics32001albe	2568099	Pure mathematics 30, information bulletin, diploma examinations program. [electronic resource]	Mathematics--Alberta--Examinations, questions, etc.--Twelfth grade (Education)--Alberta--Examinations.;
actsadministered00albe	875036	Acts administered by Alberta Municipal Affairs. [electronic resource]	Alberta.--Laws, etc.--Municipal corporations--Alberta.--Law--Alberta.;
nitricacidperoxy00peak	774980	Nitric acid, peroxyacetyl nitrate (PAN), and particulate nitrate in the atmosphere of the City of Edmonton / [electronic resource] by Eric Peake and M.A. Maclean and Peter F. Lester.	Nitrogen oxides--Measurement.--Nitric acid--Measurement.--Air--Pollution--Alberta--Edmonton--Measurement.--Atmospheric ozone--Alberta--Edmonton.--Peroxyacetyl nitrate--Measurement.--Photochemical smog--Alberta--Edmonton.--Edmonton (Alta.);
consumeredmaterial1987	788841	Consumer education materials. [electronic resource]	Consumer education--Alberta--Bibliography--Catalogs--Periodicals.;
generalfamilylaw00fami	2427781	General family law application. [electronic resource]	Domestic relations--Alberta.--Domestic relations courts--Alberta.;
usingthreeaxletr00chau	1576927	Using three-axle trucks for transporting agricultural produce / [electronic resource] by G. Nabi Chaudhary	Farm produce--Transportation.;
sulphurrecoverya00albe	956740	Sulphur recovery at Alberta gas plants : [electronic resource] phase 1 of a review of the guidelines : task force report / by staff of Alberta Environment, ERCB.	Petroleum--Sulfur content--Law and legislation--Alberta.--Sulfur--Environmental aspects--Alberta.--Natural gas--Alberta--Sweetening.;
townofbarrheadge00barr	793890	Town of Barrhead General Municipal Plan, 1980 / [electronic resource] prepared by the Barrhead Planning Committee.	City planning--Alberta.;
towardsnewvision00albe	650609	Towards a new vision of abilities in Alberta / [electronic resource] The Premier's Council on the Status of Persons with Disabilities.	People with disabilities--Alberta.--People with disabilities--Services for--Alberta.;
occupationalinju2003albe	2831990	Occupational injuries and diseases in Alberta. Alberta Motor Transport Association Industries. [electronic resource]	Trucking--Alberta--Statistics.--Motor vehicle driving--Alberta--Statistics.--Transportation--Alberta--Statistics.;
generalenergy1985	6349339	General publications of Alberta Energy and Natural Resources. [electronic resource]	Alberta.--Alberta Energy and Natural Resources--Catalogs.--Natural resources--Alberta--Periodicals.--Energy industries--Alberta--Periodicals.;
oldmanriverdammu00horn	2354077	Oldman River Dam mule deer : [electronic resource] adult female ecology in a changing landscape / prepared for Alberta Environmental Protection, Natural Resources Service, Prairie Region, Water Management; prepared by Garry E. Hornbeck.	Mule deer--Alberta--Oldman River Dam Region.--Mule deer--Effect of habitat modification on.--Wildlife management--Alberta--Oldman River Dam Region.--Wildlife habitat improvement--Alberta--Oldman River Dam Region.--Oldman River Dam (Alta.)--Oldman River Reservoir (Alta.);
boarddeci1981	777307	Board decisions. [electronic resource]	Petroleum law and legislation--Alberta--Cases.--Natural gas--Law and legislation--Alberta--Cases.--Natural resources--Law and legislation--Alberta--Cases.;
grade12diplomae2000albe_3	1761209	Grade 12 diploma examination. English 33. Part B, Reading (Multiple choice). [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
cequemonenfantap00albe_98	2663611	Ce que mon enfant apprend à l'école : [electronic resource] manuel à l'intention des parents. 10e, 11e et 12e années.	Programmes d'études--Alberta--Guides, manuels, etc.--Français (Langue)--Étude et enseignement--Alberta--Guides, manuels, etc.--Dixième année (Education)--Alberta--Guides, manuels, etc.--Onzième année (Education)--Alberta--Guides, manuels, etc.--Douzième année (Éducation)--Alberta--Guides, manuels, etc.--Education--Alberta--Curricula--Handbooks, manuals, etc.--French language--Study and teaching--Alberta.--Tenth grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.--Eleventh grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.--Twelfth grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.;
southernheadwate02blou_0	3045187	The Southern headwaters at risk project : [electronic resource] a multi-species conservation strategy for the headwaters of the Oldman River.	Wildlife management--Alberta--Oldman River Basin.--Wildlife conservation--Alberta--Oldman River Basin.--Endangered species--Alberta--Oldman River Basin.--Habitat (Ecology)--Alberta--Oldman River Basin.--Oldman River (Alta.);
reddeerdistricts00albe_0	2406498	Red Deer and district safe community project. [electronic resource]	Bicycles--Safety measures--Alberta--Red Deer.--Safety education--Alberta--Red Deer.;
obtainingcgsbapp00cana	640509	Obtaining CGSB approval for a new standard paint test method : [electronic resource] an industry perspective / prepared by Canadian Home Builders' Association.	Canadian General Standards Board.--Drywall--Permeability--Standards.--Paint--Permeability--Standards.--Permeability--Standards.;
resrepalbagwinter1994	1709165	Research report / [electronic resource] Alberta Agricultural Research Institute.	Agriculture--Research--Alberta--Periodicals.;
consumertips2002	6346032	Consumer tips. [electronic resource]	Consumer education--Alberta--Periodicals.--Advertising--Alberta--Periodicals.;
albertanorth198706	806936	Alberta north. [electronic resource]	Alberta, Northern--Economic conditions--Periodicals.--Alberta, Northern--Social conditions--Periodicals.--Alberta, Northern--Description and travel--Periodicals.;
statusreportalb2000albe_0	000008808355	The status report / [electronic resource] the Premier's Council on the Status of Persons with Disabilities, Alberta.	;
albertatransport199394	583501	Annual report / [electronic resource] Alberta Transportation and Utilities.	Alberta.--Alberta Transportation and Utilities--Periodicals.--Roads--Alberta--Periodicals.--Transportation, Automotive--Alberta--Periodicals.--Transportation, Automotive--Alberta--Statistics--Periodicals.--Public utilities--Alberta--Periodicals.;
donnetoiducrditp00albe_0	7319848	Donne-toi du crédit : [electronic resource] planification de ton programme au secondaire 2e cycle / Alberta Education.	High schools--Alberta--Curricula.--Junior high school students--Alberta.--Counseling in secondary education--Alberta.--High schools--Alberta--Entrance requirements.--Écoles secondaires--Alberta--Programmes d'études.--Élèves du secondaire--Alberta.--Services personnels aux élèves du secondaire--Alberta.--Écoles secondaires--Alberta--Conditions d'admission.;
understandinglan00albe_0	3893989	Understanding land use in Alberta. [electronic resource]	Land use--Government policy--Alberta.--Land use--Alberta--Planning.--Land use--Alberta--Management.--Sustainable development--Alberta.--Sustainable development--Government policy--Alberta.;
grade12diplomae985albe_17	914768	Grade 12 diploma examination. Biology 30. [electronic resource]	Biology--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
annualreport1992priv	900954	Annual report / [electronic resource] Private Colleges Accreditation Board.	Private Colleges Accreditation Board (Alta.)--Periodicals.--Private universities and colleges--Alberta--Accreditation--Periodicals.;
newcomersguideto00albe_4	768516	A newcomer's guide to learning in Alberta = [electronic resource] Chih nan, ya po ta shêng chung tê chiu hsüeh chih nun = Poradnik dla nowoprzybyłych, nauka w Albercie = Una guia para los recién llegados sobre, aprender en Alberta = Sách hương dân cho ngươi mơi dên vê, học hành tại Alberta.	Education--Alberta.;
waterhaulersbulletin53	667338	The Water hauler's bulletin. [electronic resource]	Irrigation--Alberta--Periodicals.--Irrigation farming--Alberta--Periodicals.;
albertacoordinat1990albe	1341892	Alberta Coordinated Home Care Program directory. [electronic resource]	Home care services--Alberta--Directories.;
enviroviews3n2	541520	Environment views. [electronic resource]	Environmental protection--Alberta--Periodicals.--Pollution--Environmental aspects--Alberta--Periodicals.;
cequemonenfantap00albe_90	2126642	Ce que mon enfant apprend à l'école : [electronic resource] manuel à l'intention des parents. Neuvième année.	Programmes d'études--Alberta--Guides, manuels, etc.--Français (Langue)--Étude et enseignement--Alberta--Guides, manuels, etc.--Neuvième année (Éducation)--Alberta--Guides, manuels, etc.--Education--Alberta--Curricula--Handbooks, manuals, etc.--French language--Study and teaching--Alberta.--Ninth grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.;
waterforlifealbe00albe_1	2841420	Water for life : [electronic resource] Alberta's strategy for sustainability.	Water-supply--Alberta.--Water quality--Alberta.--Water--Alberta--Management.--Water--Government policy--Alberta.;
arecciethicsdeci00albe_0	4249301	ARECCI ethics decision-support tools for projects. [electronic resource]	Research--Moral and ethical aspects--Alberta.--Evaluation--Moral and ethical aspects--Alberta.--Medical care--Research--Alberta--Moral and ethical aspects.;
proposalforperfo00albe	3084528	A proposal for performance-based funding promoting excellence in Alberta's public adult learning system. [electronic resource]	Universities and colleges--Alberta--Finance.--Higher education and state--Alberta.;
gasutilityoperat00albe_0	2825755	Gas utility operator certificate program : [electronic resource] occupation competency profile..	Gas-fitting--Study and teaching--Alberta.--Gas industry--Alberta.--Apprentices--Alberta.--Occupational training--Alberta.;
requirementsfors00albe	3506059	Requirements for special education in accredited-funded private schools. [electronic resource]	Special education--Alberta.--Private schools--Alberta.--School choice--Alberta.--Educational accountability--Alberta.--Educational equalization--Alberta.;
withinourborders00albe_37	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
internationaltrade2009	642442	Alberta international trade review. [electronic resource]	Export sales contracts--Alberta--Statistics--Periodicals.--International trade--Alberta--Periodicals.--Export sales contracts--Alberta--Periodicals--Alberta--Commerce--Statistics--Periodicals.--Canada--Commerce--Statistics--Periodicals.;
interimreportofa00albe	2085710	Interim report of the Agricultural Lease Review Committee. [electronic resource]	Public lands--Management--Public opinion.--Land tenure--Alberta.--Public lands--Government policy--Alberta.--Land use--Alberta--Management--Public opinion.--Alberta--Public lands.;
morphologicalobs00albe	560414	Morphological observations in rats exposed for six hours to an atmosphere of 0, 56 or 420 mg m-3 hydrogen sulphide / [electronic resource] Alberta Environmental Centre.	Hydrogen sulfide--Environmental aspects.--Gases, Asphyxiating and poisonous--Toxicology.;
zootcapriwinter1991_92	6493523	Zoot capri. [electronic resource]	Youth--Alberta--Social life and customs--Periodicals.--Youth--Substance use--Alberta--Prevention--Periodicals.--Youths' writings, Canadian (English)--Alberta--Periodicals.--Youth in development--Alberta--Periodicals.;
employmentstanda00albe	559809	Employment standards : [electronic resource] regulations and excerpts from the Employment Standards Act.	Employment agencies--Law and legislation--Alberta.--Life skills--Handbooks, manuals, etc.;
transearchresear22albe	000008934473	Transearch : [electronic resource] a Research and Development technical publication.	;
satisfactionwith00albe_1	4188834	Satisfaction with education in Alberta survey, ... : [electronic resource] summary report.	Education--Alberta--Evaluation--Periodicals.--Educational surveys--Alberta--Periodicals.--Educational accountability--Alberta--Periodicals.--Education and state--Alberta--Periodicals.;
environmentcounc00free_0	1332451	The Environment Council and its advisory committees : [electronic resource] responses to questionnaires sent to advisory committee members and their constituent organizations / compiled by Brian Free.	Environment Council of Alberta.--Environmental protection--Alberta.--Environmental policy--Alberta.;
bulletinduprogra1991albe	7089768	Bulletin du programme des examens en vue du diplôme. Mathématiques 30. [electronic resource]	Mathématiques--Alberta--Examens--Périodiques.--Douzième année (Éducation)--Alberta--Examens--Périodiques.--Examens--Alberta--Périodiques.--Mathematics--Alberta--Examinations--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
careersinrecreat00albe	2250819	Careers in recreation. [electronic resource]	Recreation--Vocational guidance.;
parentguidetopro00albe_4	1724381	Parent guide to provincial achievement testing. Grade 6. [electronic resource]	Achievement tests--Alberta--Handbooks, manuals, etc.;
environmentaledu00bram	1944580	Environmental education in Alberta : [electronic resource] the last fifteen years / by Susan Bramm ; prepared for Environmental Education Branch, Alberta Environment.	Environmental education--Alberta.;
permno89no186_192	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
permitno1986no3	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
albertaspeciesat2008albe	2543381	Alberta species at risk program and projects. [electronic resource]	Endangered species--Alberta.--Wildlife conservation--Alberta.--Endangered species--Research--Alberta.--Wildlife management--Alberta.;
protocolformonit00pret_0	2593498	Protocol for monitoring long-toed salamander (Ambystoma macrodactylum) populations in Alberta / [electronic resource] Troy Pretzlaw ... [et al.].	Ambystoma macrodactylum--Alberta.--Ambystoma macrodactylum--Monitoring--Alberta.--Wildlife management--Alberta.;
newslinealbertar1211albe	3447122	Newsline. [electronic resource]	Alberta Research Council--Periodicals.;
generalinformati1997albe	2024480	General information bulletin, achievement testing program, grades 3, 6, and 9. [electronic resource]	Achievement tests--Alberta--Periodicals.--Educational tests and measurements--Alberta--Periodicals.;
albertasreserves29	479682	Alberta's reserves of crude oil, oil sands, gas, natural gas liquids, and sulphur. [electronic resource]	Petroleum reserves--Alberta--Statistics--Periodicals.--Natural gas reserves--Alberta--Statistics--Periodicals.--Sulfur industry--Alberta--Statistics--Periodicals.--Oil sands industry--Alberta--Reserves.;
economicimpactof00albe_3	4180562	Economic impact of the Alberta forest industry / [electronic resource] Alberta Forest Products Association.	Forest products industry--Alberta.--Forests and forestry--Economic aspects--Alberta.--Forest products industry--Economic aspects--Alberta.;
annrepalbopp1990	444617	Annual report. [electronic resource]	Alberta Opportunity Company--Periodicals.--Economic assistance, Domestic--Alberta--Periodicals.;
albertasactionpl00albe_0	4155538	Alberta's action plan : [electronic resource] bringing technology to market.	Entrepreneurship--Technology--Alberta.--Venture capital--Alberta.--Technological innovations--Alberta.;
withinourborders00albe_47	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
foresthealthvide00albe	2454394	The forest health video series : [electronic resource] print resource for dwarf mistletoe.	Dwarf mistletoes.--Dwarf mistletoes--Control.--Lodgepole pine--Diseases and pests--Control.;
transearchresear62albe	000008934473	Transearch : [electronic resource] a Research and Development technical publication.	;
sportdevelopment00albe	745024	Sport development strategy into the 1990's : [electronic resource] executive summary / Alberta Sport Council.	Alberta Sport Council.--Sports and state--Alberta.--Sports--Alberta.;
efficacyofsuicid00guob	2585300	Efficacy of suicide prevention programs for children and youth / [electronic resource] Bing Guo, Christa Harstall.	Suicide--prevention & control.--Risk Factors.--Treatment Outcome.--Suicide--Prevention.--Children--Suicidal behavior--Prevention.--Youth--Suicidal behavior--Prevention.;
statusreportalbe1992albe	000008808355	The status report / [electronic resource] the Premier's Council on the Status of Persons with Disabilities, Alberta.	;
albertainternati00albe_0	1710891	Alberta international export strategy : [electronic resource] marketing the Alberta advantage.	Foreign trade promotion--Alberta--Periodicals.--Export marketing--Alberta--Periodicals.--Exports--Alberta--Periodicals.--Industrial policy--Alberta--Periodicals.--Competition, International--Alberta--Periodicals.--Tourism--Alberta--Periodicals.--Technology--Alberta--Periodicals.--International trade--Alberta--Periodicals.--Alberta--Commercial policy--Periodicals.;
annrepalbopp1996	444617	Annual report. [electronic resource]	Alberta Opportunity Company--Periodicals.--Economic assistance, Domestic--Alberta--Periodicals.;
applicationofcri00albe	2359903	Application of critical, target, and monitoring loads for the evaluation and management of acid deposition. [electronic resource]	Acid deposition--Alberta--Monitoring.--Acid deposition--Alberta--Management.--Air--Pollution--Alberta--Measurement.--Air quality management--Alberta.;
withinourborders00albe_43	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
buildingeducatin00albe	4058600	Building and educating tomorrow's workforce : [electronic resource] Alberta's 10-year strategy. Performance update 2006-07.	Labor supply--Alberta--Forecasting.--Manpower policy--Alberta--Forecasting.--Skill shortages Alberta.--Labour strategy Alberta.;
governmentestima1998albe	3478179	Government estimates, general revenue fund, lottery fund. [electronic resource]	Lotteries--Alberta--Finance--Periodicals.--Finance, Public--Alberta--Periodicals.--Alberta--Appropriations and expenditures--Periodicals.;
departmentalexam81albe_0	710895	Departmental examinations, 1928. [electronic resource]	Examinations--Alberta--Questions.;
