typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Corporate body	Alberta Agricultural Alumni Association	1942 - 1958	The Alberta Agricultural Alumni Association consisted of graduates of the Faculty of Agriculture at the University of Alberta. It organized social events and published a newsletter, the 4A News.	
Corporate body	Alberta Biological Station			
Corporate body	Alberta Centre for Well-Being			
Corporate body	Alberta College North			
Corporate body	Alberta College South			
Corporate body	Alberta Council on Admissions and Transfers			
Corporate body	Alberta Culture			
Corporate body	Alberta Dance Theatre			
Corporate body	Alberta Fitness Leadership Certification Association	1984 -		
Corporate body	Alberta Gaming Research Institute			
Corporate body	Alberta Geographical Society			
Corporate body	Alberta Government Telephones			
Corporate body	Alberta Hail Project			
Corporate body	Alberta Heritage Foundation			
Corporate body	Alberta Heritage Foundation for Medical Research			
Corporate body	Alberta Heritage STF Cardiology Project			
Corporate body	Alberta Historic Sites			
Corporate body	Alberta Housing and Public Works Library			
Corporate body	Alberta Institute of Agrologists	1947 -	The AIA began in 1920 as the Northern and Southern Locals of the Canadian Society of Technical Agriculturalists. The national organization became the Agricultural Institute of Canada in 1945, and in 1947 the Alberta Government passed the Agrologists Act, which conferred professional status on agrologists under the regulation of the new Alberta Institute of Agrologists. The AIA's mandate is to maintain professional standards for agrology and to communicate to the government and to the public its concerns regarding its profession, agriculture and agrology in the community.	
Corporate body	Alberta Institute of Pedology	1968 -	The institute of Pedology, with headquarters at the University, was organized in 1968. The institute consists of all pedologists in the Soil Science Department of the University, the Terrain Sciences Department of the Alberta Research council and the Alberta Pedology Unit of the Land Resources Research Centre, Agriculture Canada.  The Institute is involved in coordinating work in the following fields; soil survey in Alberta, research in pedology, interpretation of basic data on Alberta soils and assistance and/or cooperation from other institutions concerned with pedological data (Calendar, 1990/91).  The Institute is directed by the Technical Coordinating Committee. The Chair of the Soil Science Department of the University of the University is ex offico Chair of the Technical Coordinating Committee.	
Corporate body	Alberta International			
Corporate body	Alberta International and Office of the Associate Vice-President (International affairs)			
Corporate body	Alberta Journal of Educational Research			
Corporate body	Alberta Law Reform Institute	11.15.1967 -	Known as the Institute of Law Research and Reform until 1989, the Alberta Law Reform Institute was established by an agreement between the provincial government, the Law society of Alberta and the University of Alberta. Its principal objective is to promote law reform, particularly on the provincial level, and to conduct research in conjunction with its reform activities. Many of the Institute's reports have been or are the process of being enacted for legislation. Staff periodically publish papers prompted directly or indirectly by the law reform projects.	
Corporate body	Alberta Legislative Library			
Corporate body	Alberta Medical Association	1906 -	The Alberta Medical Association (AMA) is a voluntary organization for Alberta physician that offers personal benefits to its members as well as communicating their professional benefits to its members as well as communicating their professional interests and health care concerns to the government and the public. In 1986 it was authorized by the provincial government and the public. In 1986 it was authorized by the provincial government as the official bargaining agent for Alberta doctors.	
Corporate body	Alberta Medical Foundation			
Corporate body	Alberta Military Institute			
Corporate body	Alberta Oil Sands Information Centre			
Corporate body	Alberta Oil Sands Technology and Research Authority			
Corporate body	Alberta Opera Touring Company			
Corporate body	Alberta Pacific Forest Industries			
Corporate body	Alberta Poetry Festival Society			
Corporate body	Alberta Public Research Group			
Corporate body	Alberta Research Council	1921 -	"In October , 1919 a committee was convened by the Provincial Secretary to advise on matters relating to industrial research. A preliminary survey of resources was conducted, with encouraging results, and in 1921 the Scientific and Industrial Research Council of Alberta was formally established by Order-in-Council. Research was to be conducted in cooperation with the University for laboratory and other facilities. The President of the University was a member of the Council; the Provincial Secretary and the Premiers of the Province have acted as Chair.    In 1930, under new legislation, the Council was reorganized to be an advisory body to the Cabinet. A Cabinet minister was Chair of the Council; the President of the University was Chair to the Technical Advisory committee and Director of Research. At this time the Councils name was Shortened to the ""Research Council of Alberta""; it is now known as the Alberta Research Council.  With the onset of the Great Depression the work of the Council halted. The University took over its funding, work, and staff in 1933; the Council itself did not meet from 1934 to1942. In 1943, the Research Council Act was amended to include ten members, of which two were from the cabinet (one to act as chair); the President of the university; the director of Research, and members at large. Until 1950 the President of the University was Director of Research. Dr. N. H Grace was appointed the Council's first full-time Director in October, 1951.  The Council was the first provincially funded, scientific research agency in Canada. it undertakes, promotes, and funds research which might not otherwise be undertaken."	
Corporate body	Alberta School of Business	2000 -		
Corporate body	Alberta Teachers' Association			
Corporate body	Alberta Treasury Branch			
Corporate body	Alberta Universities Commission			
Corporate body	Alberta Women's Bureau	1970 -	The Women's Bureau was established in 1966 by an Act of the Government of Alberta as the Women's Cultural and Information Bureau. It became the Women's Bureau in 1970, and in 1984 it was succeeded by the Women's Secretariat. Under the directorship of Phyllis Ellis, the Bureau compiled information on women's issues and made it available to individual women, women's groups and other interested parties through newsletters and other publications.	
Corporate body	Alberta. Post-war Reconstruction Committee	1943 - 1945	The post-war reconstruction committee was established in 1943 by an act of the government of Alberta (Statutes of Alberta, Chapter 8). Its purpose was to study how the province could make the transition from wartime to a peacetime economy and re-absorb the population absent from the economy during World War II. The general committee was chaired by Nathan Eldon Tanner and (after September 1944) Alfred John Hooke, Members of the Legislative Assembly. Robert Newton President of the University of Alberta, was a Committee member and chair of the on Educational and Vocational Training. The Committee and its subcommittees issued their final reports in March 1945, and subsequently the Post-War Reconstruction Act was repealed and the Committee dissolved.	
Corporate body	Alberta. Provincial Normal Schools	1906 - 1945	These schools trained elementary and secondary teachers for service in the Alberta school system. They included the Calgary Normal School (1906-1945), Camrose Normal School (1912-1938), and Edmonton Normal School (1920-1923, 1928-1933, 1935-1945). In 1945 the Faculty of Education at the University of Alberta absorbed the normal school system of teacher training into the University's educational system.	
Corporate body	Alberta. Public Affairs Bureau		In 1948, the Government of Alberta's Department of Economic Affairs created a Film and Photography branch, the purpose of which was to maintain a photographic record of Alberta's economic, cultural and social development. In 1959, the Branch was transferred to the Provincial Secretary and, after several more transfers, was taken under the Bureau of Public Affairs.	
Corporate body	Alberta. University Survey Committee	1941 - 1944	The University Survey Committee was created in August 1941 by an Order-in-Council of the Government of Alberta to conduct a comprehensive review of the University' affairs. In particular, the Committee examined the cultural, economic and educational needs of Albertans.   Chaired by Harold H. Parlee, then chair of the University's Board of Governors, the Committee submitted its interim report on January 30, 1942. Committees internal to the University were established to act on the report's recommendations, thus the Survey Committee dissolved with no further formal reports. Many of the Survey Committee's recommendations were inCorporate bodyd into the 1042 revisions of the University Act, while others, such as the creation of an affiliated campus in Calgary, were adopted later.	
Person	Alderman, D.			
Person	Alexander, E.			
Person	Alexander, Luther Herbert			
Person	Alexander, N.E.			
Person	Alexander, William Hardy			
Person	Alfred, A.			
Person	Allan, John A.			
Person	Allen, John A.			
Person	Allen, Willard Finlay		Dr.Willard Allen joined the staff of the Department of Chemistry in 1948. He Served as president of the Canadian Association of University Teachers, 1969-1970. In 1971 he was appointed associate Vice-President (Academic), to assist in the office's responsibility for faculties, schools, research institutes and ancillary services, as well as the research and Student Awards offices. Dr. Allen retired in 1984	
Person	Alloway, Barry			
Person	Almon, Bert	1943 -	Bert Almon was born in Port Arthur, Texas in 1943 during a hurricane. He has lived a fairly quiet life since. He completed a B.A. at the University of Texas at El Paso in 1965 and a Ph.D. at the University of New Mexico in 1971 having written the first dissertation on the Beat poet, Gary Snyder. He came to Canada to teach at the University of Alberta in 1968 and has become a Canadian citizen. He is married to the poet Olga Costopoulos and has four children.  He began writing poetry in 1967. He teaches creative writing, modern literature and autobiography. More than thirty of his poetry students have gone on to publish books. He won the Writers' Guild of Alberta Award for poetry in 1998 for Earth Prime (Brick Books). He has been a Hawthornden Fellow in Poetry and a finalist in the Blackwell's / Times Literary Supplement Poetry Competition. His critical works include a study of the Southern novelist, William Humphrey (University of North Texas Press), and a book on autobiographies, This Stubborn Self, (TCU Press, 2002).	
Corporate body	Alumni Association	1915 -	The Alumni Association, formed in 1915, confers automatic lifetime membership, without fee, on every graduate of the University. It reviews programs, provides advice and support to the University and is represented on the Board of Governors and the Senate. A president is elected each year to head the Council; the President of the University is an honorary member, and the presidents of the Students' Union and the Graduate Studemts' Association are ex officio members of the Council. Branches of the Association have been formed throughout the world and their representatives also sit on the Council.	
Corporate body	Alumni Secretary			
Corporate body	American Society for Information Sciences			
Corporate body	Ancillary Services			
Person	Anderson, Anne P.			
Person	Anderson, D.T.			
Person	Anderson, Ethel Cameron		"Ethel C. Anderson was one of seven women who enrolled at the University of Alberta when it first opened in 1908. They called themselves the ""SIS"" (Society of Independent spinsters), which became the Wauneita Club the following year. Miss Anderson was student head of the women's athletics program before she graduated in 1912 as a member of the University's first graduating class. She subsequently received her teaching certificate in Calgary and taught in Edson and Edmonton, where she retired in 1953."	
Person	Anderson, Roland			
Person	Andrekson, Margaret			
Person	Antrobus, Kay			
Person	Aoki, Ted Tetsuo			
Corporate body	Apparel Studies Association of Canada	1973 - 1988	Founded in 1972 as the Clothing Studies Association of Canada, the Apparel Studies Association of Canada Inc. was inCorporate bodyd in 1973 and received its national charter in 1974. Its aim was to support research and facilitate professional communication among clothing researchers and users of research through newsletters and general meetings. Its head office was located in the Department of Clothing and Textiles at the university of Alberta. The Association was dissolved in 1988.	
Person	Archer, Violet	4.24.1913 - 2.12.2000		
Person	Archibald, Eugene		Chief Librarian, 1908 - 1911	
Person	Architecture and Fine Arts Librarian, University of Manitoba.			
Corporate body	Archives Committee			
Corporate body	Arctic Institute of North America			
Person	Argue, Lois W.	[ 19-- ] -	Lois Argue was Clerk/Secretary, Office of the Registrar, 1947-1960 and secretary, Office of the Superintendent of Buildings, 1960-1964.	
Person	Armstrong, Herbert Stoker			
Corporate body	Art Collection Museums and Collections Services			
Person	Asch, Michael			
Person	Ashdown, Chris			
Person	Assheton-Smith, Marilyn		Marilyn Assheton-Smith was raised in Olds, Calgary and Ferintosh, and has lived and worked in Alberta from Medicine Hat to Lac La Biche, as well as travelling to work in northern Alberta, the Yukon and Northwest Territories. Ms. Assheton-Smith's first career was in nursing, nursing education, and health education, and then community development. After working with the Dene around Yellowknife, she returned to University to study sociology. She completed a PhD at the University of Alberta and moved into teaching Sociology of Education, International and Intercultural Education, and Gender and Education courses at the University of Alberta. Much of her early work was with First Nations men and women studying to become school teachers, or with other student teachers who wished to better understand the lives of their aboriginal pupils. Outside of her career, Marilyn Assheton-Smith worked on executive boards of a variety of community organizations. She is now Professor Emeritus of Educational Policy Studies at the Univesity of Alberta, and actively works with the New Democratic Party of Alberta.	
Corporate body	Assiniboia Community Housing Cooperative		The Assiniboia Community Housing Cooperative (ACHC) began its existence known as Campus Co-operative Association in March of 1967. Its initiative at that time was to provide low-cost housing to students at the University of Alberta, in a time before HUB, Lister Hall, or Michener Park were completed.     In September of 1967, the University’s Board of Governors, whose task it was to oversee University-owned properties, rented six houses to the fledgling organization in the North Garneau area. By the early 1970’s, the Co-op reached its membership peak of about 65 members, and purchased their first house in the Strathcona area. A second home was purchased in 1973 in Parkallen. Using a ‘capital loan’ system where members ‘loaned’ the Co-op $25 each upon taking out membership, monies were collected for initial down payments on homes. A ‘capital levy’ plan was later introduced whereby the Co-op charged a capital levy per member, on top of the monthly housing charge, as a means of raising capital for the expansion of the Co-op and for meeting maintenance costs on existing properties. In the early 1970’s, as well, the Co-op obtained a further four rented houses from the City of Edmonton. Original University-owned houses were occasionally demolished in the North Garneau neighbourhood, and the Co-op received other houses in replacement. A few other houses were rented from private landlords and by the summer of 1973, there were twelve houses in the Campus Co-operative Association.     In 1977 the Campus Co-operative Association was dissolved by the Co-op Development Branch of the Alberta Department of Consumer and Corporate body Affairs for failing to submit an audit form on time. A new set of by-laws and a policy manual were developed and the Co-op was reinCorporate bodyd on September 27, 1978 as the Campus Co-operative Association (1977). By 1981, the new name of Assiniboia Community Housing Cooperative was chosen to reflect a shift away from a majority student membership which prevailed at its inception in 1967.     Membership in the houses was open to anyone accepted by the members of a Co-op household, and subsequently approved by the Board of Directors. The Board of Directors consisted of four executive members elected at semi-annual general meetings, and of one house representative from each house; board meetings were held monthly, and were open to the general membership to attend. Various committees were established to deal with specific matters, and members were expected to work on a committee or do some other specified work for the Cooperative. Members also shared cooking and other house chores. Membership criteria evolved over time to accept both student and non-student membership, and houses were co-ed. In 1986, the AHCC owned five houses and ceased leasing property from the University.     While the records in the fonds go only to 1990, the Assiniboia Community Housing Cooperative continues to function. They are a listed entry in the University of Alberta’s Student Union Housing Registry (as of 2006), and advertise three houses available in the Cooperative.	
Corporate body	Assistant Dean of Men			
Corporate body	Assistant Dean of Women (residences)			
Corporate body	Assistant Deans in Residence			
	Assistant to the President			
	Assistant to the Registrar			
Corporate body	Assistant to the Vice-President (Finance and Administration)			
Corporate body	Assistant to the Vice-President (Planning and Development)			
Corporate body	Assistant to the Vice-President, Planning and Development			
Corporate body	Associate Dean of Arts (Student Programs and Curriculum)			
Corporate body	Associate Vice President Learning Systems (Provost/Academic)			
Corporate body	Associate Vice-President			
Corporate body	Associate Vice-President (Academic - Information Systems)			
Corporate body	Associate Vice-President (Human Resource Services)			
Corporate body	Associate Vice-President (Research)			
Corporate body	Associate Vice-President Learning Systems (Provost/Academic)			
Corporate body	Association of Academic Staff University of Alberta	1945 -	In 1936 the President created a Faculty Relations Council to act as a liaison between the University administration and the academic staff. Its members were appointed. In 1945 the Association of Teaching Staff of the University of Alberta was established, with the Faculty Relations Council remaining as its executive. In 1950 the ATSUA approved a new constitution by which it initiated the election of the executive and discontinued the Faculty Relations Council. The ATSUA revised its constitution in 1959 and changed its name to AASUA.    The organization underwent another name change in 1961 to AASUAE (Edmonton) to distinguish it from the Calgary campus branch, the AASUAC(Calgary). When the University of Calgary became autonomous in 1966, the Edmonton association reassumed the name AASUA. The AASUA's aim is to represent academic staff at the University of Alberta through collective bargaining, grievance representation and expression of opinion.	
Corporate body	Association of Professional Librarians of the University of Alberta	1966 -	The University Professional Liberians' Group, founded in 1960, was succeeded in 1966 by APLUA which, unlike its predecessor, has a formal constitution. its mandate includes the promotion and advancement of the interests and welfare of professional librarians to provide the best possible professional service. APLUA also promotes continuing education and encourages an interest in and knowledge of the profession at all levels of libraries.	
Corporate body	Association of Professors Emeriti			
Corporate body	Association of Teaching Staff of the University of Alberta	1945 - 1959	In 1936 the President created a Faulty Relations Council to act as a liaison between the Univeersity administration and the academic staff. Its members were appointed. In 1945 the Association of Teaching Staff of the University of Alberta was established, with the Faculty Relations Council remaining as its executive. In 1950 the ATSUA approved a new constitution by which it initiated the election of the executive and discontinued the Faculty Relations Council. The ATSUA revised its constitution in 1959 and changed its name to AASUA.	
Corporate body	Association of the Academic Staff of the University of Alberta			
Corporate body	Association of Universities and Colleges of Canada			
Person	Atamanenko, Boris			
Corporate body	Atelier Tukiko			
Corporate body	Athabasca University			
Corporate body	Augustana Faculty			
Corporate body	Augustana University			
Person	Augustine, Amy			
Person	Augustson, Twylla			
Person	Austin, Patricia Louise	1922 - 1978	Patricia Austin was an internationally known physical education professor at the University of Alberta from 1947-1978. Her special interest was work with the mentally handicapped, including involvement in the Special Olympics program. Dr. Austin was also an avid golfer who won awards locally and nationally for her ability.	
Person	Avison, Donald J.			
Person	Ayer, Dorothy K.			
Person	Aytenfisu, Kathy Maureen	1956 -	Kathy Maureen (Riddell) Aytenfisu graduated from the University of Alberta with BA (1977) and MA (1982) degrees in history. The material in this collection was compiled in preparation for her honours thesis which concerns the predecessor of the Alberta Research Council from 1921 to 1930.	
Person	Aytenfisu, Maureen Riddell			
Person	Bacchus, M. Kazim			
Person	Bachynsky, John A.			
Person	Bailey, Gwyn			
Person	Bain, W.A.			
Person	Baker, Frances Lovella	1897 - 1978	As a student Frances Stubbs was active in University life, serving as a reporter for the Gateway and president of the Debating Club. She worked as a secretary for the University Registrar Cecil E.Race before marrying Roy Baker in 1924. Her photograph collection offers a view of campus life during its first decade of existence.	
Person	Baker, Harold			
Person	Balcita, Dolly 			
Person	Baldwin, Charles O.			
Person	Baldwin, Douglas			
Person	Baldwin, George R.			
Person	Ball, George Eugene			
Person	Ball, Goron A.			
Corporate body	Bamfield Research Station			
Person	Bancroft, Eldred			
Person	Bancroft, Hugh	1904 - 1988	Hugh Bancroft served as choir master and organist for All Saints Cathedral in Edmonton from 1958 to 1980 after holding similar positions at churches ion Winnipeg, Vancouver, Australia and the Bahamas. From 1968 to 1977 he taught for the Department of music at the University of Alberta as a Sessional Instructor. A composer as well as a recitalist, he was awarded the Lambeth Doctorate of Music in 1977.	
Corporate body	Banff Centre			
Corporate body	Banff Centre for Continuing Education	1954 - 1970	"The Banff School of Fine Arts developed a ""management wing,"" patterned on the Banff School of Advanced Management, in 1954. The Centre offered facilities for conferences, and Fall and Winter short courses. Until 1966 it was under the jurisdiction of the Faculty of Extension; under the new Universities Act the Banff Schools reported to the University of Calgary until 1970 when the independent Banff Centre was formed."	
Corporate body	Banff School			
Corporate body	Banff School of Advanced Management	1952 -	The Banff school of Advanced Management was established in 1952 by the University of Alberta and from 1953 has been sponsored as a cooperative undertaking by the Universities of Alberta, British Columbia, Manitoba and Saskatchewan. By pooling the teaching resources of the four Universities and supplementing these with a selection of instructors from other universities, government and private businesses in Canada and the United States, the Banff School of Advanced Management has been able to offer a course which has met with an enthusiastic response from business institutions in North America and abroad.	
Corporate body	Banff School of Fine Arts	1933 -	The Banff School of Fine Arts was established by the Department of extension in 1933, under a grant from the Carnegie Foundation, to provide training in theatre arts. It expanded its mandate to include fine, applied and performing arts: painting, music, ballet, modern languages, writing, handicrafts, photography and figure skating as well as theatre. Courses were taken for the University credit, Banff School certificates, or for recreation and pleasure. The School operated every summer until 1954, when, under the title Banff School of Fine Arts and Centre for Continuing Education, it began to offer year - round facilities for all types of courses, seminars, workshops, conferences and meetings. For its services to adult education, in 1951 the School received the Henry Marshall Tory Award from the Canadian association for Adult Education.    Under the Universities Act of 1966, the School was placed under the administration of the university of Calgary. In 1970 all of the units at Banff were combined into the independent Banff Centre, which received its own legislative Act in 1978.	
Person	Banks, R.			
Person	Bar, Ms.			
Person	Barbour, Douglas			
Person	Barclay, Harold			
Person	Bard, Forrest			
Person	Bareham, Dean			
Person	Barnet, David			
Person	Barnet, John			
Person	Barr, William			
Person	Barringer, Robert			
Person	Barrington, James	1911 - 1992	James Barrington, a former Burmese Ambassador to the United States and Canada and delegate to the United Nations, died on Monday in a hospital in Edmonton, Alberta. He was 80 years old and lived in Edmonton.	
Person	Bates, Patricia D.			
Person	Bauer, Marina			
Person	Bauer, Milton Frank	1926 - 1980	Dr. Milton Bauer joined the University staff in 1956. He taught the Department of Economics, supervised graduate studies in money and finance, and researched Canadian monetary institutions with particular reference to the credit union movement.	
Person	Bay, Christian			
Person	Beach, Arloa			
Person	Beamont, E.			
Person	Beasely, H.E.			
Person	Beauchamp, Elizabeth Joan	[ 19-- ] -	Elizabeth Joan Beauchamp graduated from the University in 1983 with a Masters in art and design. In preparation for her thesis, between 1980 and 1981 she recorded her interviews with Norman Yates, professor of art (1954-1989) and landscape painter known for his unique representation of space. Ms. Beauchamp's thesis is entitled Norman Yates: Toward Landscape; a Study of the Development of His Landscape Paintings.	
Person	Beauchamp, Erma			
Person	Beavers, A.E.			
Person	Beck		Justice	
Person	Beck, David			
Person	Beck, James A.			
Person	Beck, Nicholas Dubois Dominic			
Person	Becker, Cy			
Person	Becker, Jane			
Person	Beckett, Samuel			
Person	Beckwith, D.			
Person	Bedford, Spencer			
Person	Bednarski, H.			
Person	Bell, Alan			
Person	Bell, C.N.			
Person	Bell, N.F.			
Person	Bellow, Donald			
Person	Bellow, Donald Grant			
Person	Beltrametti, Monica			
Person	Bennett, G.A.			
Person	Bentley, C. Fred			
Person	Bentley, Elinor			
Person	Bentz, Bruce			
Person	Bercov, Ronald D.			
Person	Berg, Roy Torgny			
Person	Berg, Wesley			
Person	Bernier, Joseph-Elzéar			
Person	Berry, Gerald L.			
Person	Bertalanffy, Ludwig von			
Person	Bessai, Diane			
Person	Bessai, Frank			
Person	Bhatia, Avadh Behari	1921 - 1964	Born in India, Dr.Bhatia received advanced degrees from the University of Allahabad and Liverpool. He was a researcher under Max Born at the University of Edinburgh. He came to Canada on a National Research Council fellowship, and in 1954 joined the Department of Physics at the University. From 1964 to 1969 he was director of the Theoretical Physics Institute. He was a pioneer in electronic transport theory and the study of diffraction of light by ultrasonic waves.	
Person	Bhatia, June			
Person	Bhatia, Robert			
Corporate body	Bibliographic Services Unit			
Corporate body	Bibliotheque Saint-Jean			
Person	Bidwell, Charles			
Person	Bilash, Olenka			
Person	Bilsland, John Winstanley	1922 -	Professor Bilsland was a member of the Department of English, 1955-1957 and 1959-1985. His publications include essays on writers of the Romantic period, on Canadian literature, and on the teaching of English . For several years he was a theatre critic for the Edmonton Journal and for CBC and CKUA radio stations.	
Person	Bilsland, Rhona			
Corporate body	Biomira Inc.			
Corporate body	Biosafety Division			
Person	Birdsall, D. L.			
Person	Black-Rogers, Mary	1922 - 1.27.2011	Dr. Mary Black Rogers is an ethnographer and ethnohistorian, and a major contributor to Algonquian studies. She combined intensive fieldwork, linguistic analysis, and archival research as a scholar of the Ojibwa people. With her husband, Edward Sylvester Rogers, they collected data, both contemporary in the Round Lake community, and historical in repositories such as the Hudson's Bay Archives, to produce orignal ethnographic research for a core area of Northwestern Ontario. The Rogers/Black research team produced a unique record of a cultural pattern moving rapidly to extinction. Edward Rogers died in 1988, and Mary Black-Rogers continued her research through the mid-1990s. She is retired and now residing (as of 2007) in Minneapolis.	
Person	Black, F.M.			
Family	Blackberg family		"Andrew Luther ""Blackie"" Blackberg(1898-ca.1967) was employed in highway and airport construction for the governments of British Columbia and Canada between 1921 and 1947. From 1947 to 1963 he was Airport Maintenance Foreman for the federal Department of Transport in Yellowknife. Anna Regina (Hole) Blackberg (1904-1983 or 1984) was a registered pharmacist (University of Alberta, 1930) who worked in the northern towns where her husband was also employed."	
Person	Blackberg, A.L.			
Person	Blackberg, Anna			
Person	Blackburn, Robert H.			
Person	Blackley, F.D.			
Person	Blair, S Robert			
