typeOfEntity	authorizedFormOfName	nameEntry-part	datesOfExistence	history	biogHist	XML file
Corporate body	General Faculties Council	University of Alberta General Faculties Council	1908 -	The Council (GFC) has the authority to direct the academic policies of the University, to provide a forum for the academic staff and to have general supervision over all student affairs, including discipline. The General Faculties Council consists of the President, the Vice-President, the deans, the Librarian, the Registrar, elected members representing the Faculties and appointed members, including students. GFC, subject to the authority of the Board of Governors, is the senior academic body of the University. It provides for the granting and conferring of degrees, for the approvial of courses and programs of study, and for the hearing of apeals by students and others from descisionsof faculity management and conduct of the Library and determines standards and policies respecting admission of students. it may make recommendations to the Board on affiliation of other institutions, on academic planning, campus planning, the budget, procedures regarding the appointment, promotion and dismissial of academic staff, and any other matter which it considers to be of interest to the University.	As defined in the Universities Act, the Council (GFC) has the authority to direct the academic policies of the University, to provide a forum for the academic staff and to have general supervision over all student affairs, including discipline.  The General Faculties Council consists of the President (ex officio chair of the GFC), the Vice-Presidents, the Deans, the Librarian, the Registrar, elected members representing the Faculties and appointed members, including students.  GFC, subject to the authority of the Board of Governors, is the senior academic body of the University.  It provides for the granting and conferring of degrees, for the approval of courses and programs of study, and for the hearing of appeals by students and others from decisions of faculty councils.  GFC makes rules and regulations for the management and conduct of the Library and determines standards and policies respecting admission of students.  It may make recommendations to the Board on affiliation of other institutions, on academic planning, campus planning, the budget, procedures regarding the appointment, promotion and dismissal of academic staff, and any other matter which it considers to be of interest to the University  (Calendar 1990/91).	university-of-alberta-general-faculties-council.xml
Person	Williams, Rupert Jabez Duncan	Williams Rupert Jabez Duncan	[ 1893 ] - 1973	Rupert Williams, deaf since the age of five, graduated from the Manitoba School for the Deaf in Winnipeg and established a successful career in the printing trade. He moved to Saskatchewan in 1927 to work as a printer and to campaign for a provincial school for the deaf similar to the one in Manitoba. When the school was finally established in Saskatoon he was offered a position which he thought would be temporary. He stayed for 30 years as chief supervisor of resident students. He served frequently on the executive of the Western Canada Association of the Deaf, as well as on the board of its journal.	Educator, [1893]-1973.  Rupert Williams, deaf since the age of five, graduated from the Manitoba School for the Deaf in Winnipeg and established a successful career in the printing trade.  He moved to Saskatchewan in 1927 to work as a printer and to campaign for a provincial school for the deaf similar to the one in Manitoba.  When the school was finally established in Saskatoon he was offered a position which he thought would be temporary.  He stayed for 30 years as chief supervisor of resident students.  He served frequently on the executive of the Western Canada Association of the Deaf, as well as on the board of its journal.	williams-rupert-jabez-duncan.xml
Corporate body	Canadian Institute of Ukrainian Studies	Canadian Institute of Ukrainian Studies	1976 -	The Institute was established in 1976 to encourage research and publications in Ukrainian studies; to serve as a resource centre for English- Ukrainian bilingual education; and to encourage contacts among scholars and students in Ukrainian studies through seminars and conferences. The institute offers no course or degree programs (Calendar, 1990/91).    At the time of its formation the Institute reported to the Dean of interdisciplinary Studies; it now is under the Vice-President (research). The following units and projects are supported: the Archive on Contemporary Ukraine, the Canadian Institute of Ukrainian Studies Press, the Encyclopedia of Ukraine. the Journal of Ukrainian studies, the Peter Jacyk Centre for Ukrainian Historical Research, the Stasiuk Programme for the Study of Contemporary Ukraine, and the Ukrainian Language Education Centre.	The Institute was established in 1976 to encourage research and publications in Ukrainian studies;  to serve as a resource centre for English-Ukrainian bilingual education; and to encourage contacts  among scholars and students in Ukrainian studies through seminars and conferences.  The Institute  offers no courses or degree programs (Calendar, 1990/91).  At the time of its formation the Institute  reported to the Dean of Interdisciplinary Studies; it now is under the Vice-President (Research).  The following units and projects are supported:  the Archive on Contemporary Ukraine, the  Canadian Institute of Ukrainian Studies Press, the Encyclopedia of Ukraine, the Journal of Ukrainian Studies, the Peter Jacyk Centre for Ukrainian Historical Research, the Stasiuk Programme  for the Study of Contemporary Ukraine, and the Ukrainian Language Education Centre. Directors: 1976-1986 Manoly R. Lupul; 1986-  Bohdan Krawchenko; 1991-1992 Frank E. Sysyn  (Acting).	canadian-institute-of-ukrainian-studies.xml
Corporate body	Department of Zoology	University of Alberta Department of Zoology	1921 -	The Department is a centre of work in northern ecology and physiology, and has contributed to the study of teleost fish, reproductive physiology and behavior, and the ecology of Parasites. Research facilities include a departmental museum, biological stations throughout Alberta, biological stations and the Bamfield Marine Station on Vancouver Island in association with the Western Canadian Universities Marine Biological Society. The Department offers a program in palaeontology jointly with the Department of Geology.	The Department is a centre of work in northern ecology and physiology, and has contributed to  the study of teleost fish, reproductive physiology and behaviour, and the ecology of parasites.  Research facilities include a departmental museum, biological stations throughout Alberta, biological stations and the Bamfield Marine Station on Vancouver Island in association with the Western  Canadian Universities Marine Biological Society.  The Department offers a program in  palaeontology jointly with the Department of Geology. Heads: 1921-1956 William Rowan; 1956-1959 Richard Birnie Miller; 1958-1960 John Ralph Nursall  (Acting); 1961-1964 Donald Murray Ross; 1964-1969 John Ralph Nursall.   Chairs: 1969 John  Ralph Nursall; [1970-1974] William A. Fuller; 1974-1978 John Ralph Nursall; 1978-1983 Fu-shiang  Chia; 1983- Richard E. Peter.	university-of-alberta-department-of-zoology.xml
Person	Hynam, Charles A.S	Hynam Charles AS	1909 - 1979	C.A.S Hynam joined the University as assistant professor of sociology in 1962 after holding various public service positions in agriculture and education in the Caribbean. He became a full professor in 1973. From 1965-1972 he held a joint appointment with the Department of Agricultural Economics. He continued to teach part-time after his retirement in1974. A specialist in rural sociology he conducted research and acted as a consultant on community development and agricultural education.	Agronomist, Sociologist, 1909-1979.  C.A.S. Hynam joined the University as assistant professor  of sociology in 1962 after holding various public service positions in agriculture and education in  the Caribbean.  He became a full professor in 1973.  From 1965 to 1972 he held a joint  appointment with the Department of Agricultural Economics.  He continued to teach part-time after his retirement in 1974.  A specialist in rural sociology, he conducted research and acted as a  consultant on community development and agricultural education.	hynam-charles-s.xml
Corporate body	Project 2005	Project 2005	1988 - [ 19-- ]	In the year 2005 Alberta will celebrate one hundred years as a Canadian Province. In order to determine the potential for a centennial history project, scholars from across Canada met at Red Deer College from May 12th to 14th, 1988. The Steering Committee for this workshop consisted of Professors David Hall, Rod Macleod, and John Foster of the University of Alberta, Professors Howard Palmer and David Jones of the University of Calgary, Professor Bill Baker of the University of Lethbridge, and John Tobias, Dean of Arts and Education at Red Deer College. Funding for the workshop came from the Alberta Historical Resources Foundation, Red Deer College, and the Universities of Alberta and Calgary and Lethbridge. This is the first document in planing process for a comprehensive centennial project. (Summary report of the Project 2005 Workshop, edited by David R. Elliott, Red Deer College, 1988). Copies of the report have been deposited in the Provincial Archives of Alberta, the Glenbow Alberta Institute, and the Archives of the Universities of Lethbridge, Calgary and Alberta	In the year 2005 Alberta will celebrate one hundred years as a Canadian Province.  In order to determine the potential for a centennial history project, scholars from across Canada met at Red Deer College from May 12th to 14th, 1988.  The Steering Committee for this workshop consisted of Professors David Hall, Rod Macleod, and John Foster of the University of Alberta, Professors Howard Palmer and David Jones of the University of Calgary, Professor Bill Baker of the University of Lethbridge, and John Tobias, Dean of Arts and Education at Red Deer College.  Funding for the workshop came from the Alberta Historical Resources Foundation, Red Deer College, and the Universities of Alberta, Calgary, and Lethbridge.  This is the first document in the planning process for a comprehensive centennial project.  (Summary report of the Project 2005 Workshop, edited by David R. Elliott, Red Deer College, 1988).  Copies of the report have been deposited in the Provincial Archives of Alberta, the Glenbow-Alberta Institute, and the Archives of the Universities of Lethbridge, Calgary and Alberta.	project-2005.xml
Corporate body	University of Alberta in Calgary	University of Alberta in Calgary	1945 - 1966	The forerunner to the University of Calgary was a branch of the University of Alberta, administered from   Edmonton by the President under the Board of Governors. The branch became an Independent University with the passing of the Universitis Act, 1966.	The forerunner of the University of Calgary was a branch campus  of the University of Alberta, administered from Edmonton by the  President under the Board of Governors.  The branch became an  independent university with the passing of the Universities Act,  1966.  Directors: 1947-1960 Andrew Leo Doucette.  Principals:  1960-1963 Malcolm Gordon Taylor.  Presidents: 1963-1966 Herbert  Stoker Armstrong.	university-of-alberta-in-calgary.xml
Corporate body	Division of Field Experiences	University of Alberta Division of Field Experiences	[ 1945 ] -	Known as the Division of Student Teaching until [1968], this agency within the Faculty of Education organizes the practicum (work experience) component of the undergraduate teacher-training program, acting as a liaison between participating schools and the University. Under the direction of the Assistant Dean (Field Experiences), the division administers a three- phrase practicum program for all elementary, secondary, and vocational/ industrial educational students.	Known as the Division of Student Teaching until [1968], this  agency within the Faculty of Education organizes the practicum  (work experience) component of the undergraduate teacher-training  program, acting as a liaison between participating schools and the  University.  Under the direction of the Assistant Dean (Field  Experiences), the division administers a three-phase practicum  program for all elementary, secondary, and vocational/industrial education students. Directors/Supervisors of Student Teaching: 1959-1968 Samuel  Aubrey Earl. Coordinators: 1968-1971 Lorne Duncan Stewart; 1971-  1973 John W. Chalmers; 1973-1976 Thomas Page Atkinson; 1976-  1977 Robert K. Jackson.   Assistant Deans of Practicum: 1977-  1981 Robert K. Jackson; 1981-1985 Allen T. Pearson; 1985-1988 John  E. Oster; 1988-  Andrea H. Borys.	university-of-alberta-division-of-field-experiences.xml
Person	Nitecki, Andre	Nitecki Andre	1925 -	Andre Nitecki came to the University in 1975 as associate of the Library and Information Studies, gaining his full professorship in 1981. A specialist in library classification, he also taught African art at the University of Lagos, Ibadan and Ghana, and participated in the Thai Royal Household Library Project. He has been active in Canadian University services Overseas (CUSO) and assisted in organizing the Conference of Africanists, held at the University in 1986.	Librarian. 1925-.  Andre Nitecki came to the University in 1975 as associate professor of Library  and Information Studies, gaining his full professorship in 1981.  A specialist in library classification,  he has also taught African art at the Universities of Lagos, Ibadan and Ghana, and participated in  the Thai Royal Household Library Project.  He has been active in Canadian University Services  Overseas (CUSO) and assisted in organizing the Conference of Africanists, held at the University in  1986.	nitecki-andre.xml
Person	Wilson, Harry Jackson	Wilson Harry Jackson	1896 - 1983	A graduate of the University in 1915 and President of the Alumni Association in 1936, Harry J. Wilson served as Deputy Attorney of Alberta from 1930s until 1961, when he was appointed provincial court judge, retiring in 1971. During World War I he served in France with the Tank Corps.	Lawyer, Judge, Civil servant, 1896-1983.  A graduate of the University in 1915 and President of the Alumni Association in 1936, Harry J. Wilson served as Deputy Attorney General of Alberta from the 1930s until 1961, when he was appointed provincial court judge, retiring in 1971.  During World War I he served in France with the Tank Corps.	wilson-harry-jackson.xml
Corporate body	Department of Anatomy and Cell Biology	University of Alberta Department of Anatomy and Cell Biology	1914 -	The Department of Anatomy originated with the establishment of the Faculty of Medicine, initially teaching all aspects of anatomy to undergraduate medical students, then participating in post-graduate medical education, and gradually accepting responsibility for teaching in other faculties, mainly in a service role (PACCR, 1981).    In 1986, the Department's name was changed to the Department of Anatomy and Cell Biology to reflect changes in the teaching and scientific programs, and to indicate its objective to increase research in the field of cell biology.	The Department of Anatomy originated with the establishment of the Faculty of Medicine, initially  teaching all aspects of anatomy to undergraduate medical  students, then participating in post-  graduate medical education, and gradually accepting responsibility for teaching in other faculties, mainly in a service role (PACCR, 1981). In 1986, the Department's name was changed to the  Department of Anatomy and Cell Biology to reflect changes in the teaching and scientific programs,  and to indicate its objective to increase research in the field of cell biology. Heads: 1914-1938 Daniel Graisberry Revell; 1938-1959 Ralph Faust Shaner; 1959-1962 Herbert  Edward Rawlinson; 1962-1963 Walter Raymond 'Ray' Salt (Acting); 1963-1969 Thomas S. Leeson.     Chairs: 1969-1983 Thomas S. Leeson; 1984-1987 Kenneth David McFadden; 1987-  Richard A.  Murphy.	university-of-alberta-department-of-anatomy-and-cell-biology.xml
Person	Allen, Willard Finlay	Allen Willard Finlay		Dr.Willard Allen joined the staff of the Department of Chemistry in 1948. He Served as president of the Canadian Association of University Teachers, 1969-1970. In 1971 he was appointed associate Vice-President (Academic), to assist in the office's responsibility for faculties, schools, research institutes and ancillary services, as well as the research and Student Awards offices. Dr. Allen retired in 1984	Chemist, Administrator, 1924- .  Dr. Willard Allen joined the staff of the Department of  Chemistry in 1948.  He served as president of the Canadian Association of University Teachers,  1969-1970.  In 1971 he was appointed Associate Vice-President (Academic), to assist in the office's  responsibility for faculties, schools, research institutes and ancillary services, as well as the research  and Student Awards offices.  Dr. Allen retired in 1984.	allen-willard-finlay.xml
Corporate body	Faculty of Engineering	University of Alberta Faculty of Engineering	1913 -	Engineering has been offered since the University's inception in 1908, at first as the Department of applied Science in the Faculty of Arts and Science. In 1913 it was separated from Arts and Science into its own Faculty of Applied Science, which was renamed the Faculty of Engineering in 1948. The Faculty Administers undergraduate and graduate programs leading to BSc, MEng, MSc and PhD degrees in chemical, civil, computer, electrical, mechanical, metallurgical, mineral, and petroleum engineering, and engineering physics. In addition, it administers a cooperative program, which alternates coursework with periods of paid, discipline related work experience with cooperating companies.	Engineering has been offered since the University's inception in  1908, at first as the Department of Applied Science in the Faculty  of Arts and Science.  In 1913 it was separated from Arts and  Science into its own Faculty of Applied Science, which was renamed  the Faculty of Engineering in 1948. The Faculty administers  undergraduate and graduate programs leading to BSc, MEng, MSc and  PhD degrees in chemical, civil, computer, electrical, mechanical, metallurgical, mineral, and petroleum engineering, and engineering  physics. In addition, it administers a cooperative program, which  alternates coursework with periods of paid, discipline-related  work experience with cooperating companies. Professors: 1908-1918 William Muir Edwards; 1919-1921 Robert  William Boyle. Deans 1921-1929 Robert William Boyle; 1929-  1946 Robert Starr Leigh Wilson; 1946-1959 Robert Macdonald Hardy;  1959-1963 George Wheeler Govier; 1963-1971 Robert Macdonald Hardy;  1971-1976 George Ford; 1976-1984 Peter Frederick Gordon Adams;  1984-1985 George Ford; 1985-  Frederick Douglas Otto.	university-of-alberta-faculty-of-engineering.xml
Corporate body	Canadian Library Association. Conference (33rd: 1978: Edmonton). Local Arrangements Committee	Canadian Library Association Conference 33rd  1978  Edmonton Local Arrangements Committee	1977 - 1979	The Committee was an ad hoc group formed to oversee program coordination, facilities, tours, promotion and entertainment for the 1978 annual conference of the Canadian Library Association in Edmonton.	The Committee was an ad hoc group formed to oversee program coordination, facilities, tours, promotion and entertainment for the 1978 Annual Conference of the Canadian Library Association in Edmonton.	canadian-library-association-conference-33rd-1978-edmonton-local-arrangements-committee.xml
Corporate body	Friends of the University of Alberta	Friends of the University of Alberta	1943 -	The aim of the Friends of the University of Alberta is to promote good relations between the University and the citizens of the province and to raise money for University programs not covered by normal funding sources like government grants and students' fees. Its fundraising support services such as special library acquisitions, scholarships and bursaries, and sponsorship of the Henry Marshall Tory Lecture Series, which was instituted by the Friends in 1956.	The aim of the Friends of the University of Alberta is to promote good relations between the University and the citizens of the province and to raise money for University programs not covered by normal funding sources like government grants and students' fees.  Its fundraising supports services such as special library acquisitions, scholarships and bursaries, and sponsorship of the Henry Marshall Tory Lecture Series, which was instituted by the Friends in 1956.	friends-of-university-of-alberta.xml
