typeOfEntity	authorizedFormOfName	datesOfExistence	history	biogHist	XML file
Person	Thomas, Lewis Herbert	4.13.1917 - 11.17.1982	"Lewis Herbert Thomas was born April 13, 1917, in Saskatoon, Saskatchewan. The son of Reverend Robert and Margaret Thomas, he received his elementary education in Nova Scotia, and took his high school at Nutana Collegiate, Saskatoon. He entered the University of Saskatchewan and graduated in 1940 with high honors in history and economics (BA). In 1941, he completed his MA thesis, ""Constitutional Development of the North-West Territories, 1870-1888"".     In 1946, he married Margaret E. Telford, and they had two children, Jean and Robert.    Following a period of research employment in the Department of History, University of Saskatchewan, he was appointed in 1946 Assistant Provincial Archivist for the Province of Saskatchewan. During this time he also lectured in history at Regina College. In 1948, he was appointed Provincial Archivist of Saskatchewan, a position which he held until 1957. His work with the Saskatchewan Archives Board involved drafting the first archival legislation for the Province of Saskatchewan, and establishing the policies and procedures governing the two provincial archives offices in Regina and Saskatoon. It was in this period of time that Dr. Thomas completed his doctoral studies under Professor A.L. Burt at the University of Minnesota (1953). His thesis was later published as The Struggle for Responsible Government in the North-West Territories, 1870-97, and became a classic reference for this period of government development in Western Canada.     Between 1957 and 1964 Dr. Thomas served as Associate Professor of History at the Regina campus. His history, The University of Saskatchewan, 1909-1959, was complemented by a number of articles related to archival development in Canada; exploration; and Saskatchewan history.     In 1964, Dr. Thomas joined the Department of History at the University of Alberta in Edmonton. Recognized as Professor of History in 1965, he also became departmental chairman, 1965-1968. In 1975, his The Renaissance of Canadian History: A biography of A.L. Burt was published.     During his career, Dr. Thomas contributed six scholarly books, and numerous articles to the understanding of Canada's past. As editor of Saskatchewan History, 1949-1957, he established an outstanding journal of regional history. In 1968 he was appointed to a three-year term as Alberta's representative on the National Historic Sites and Monuments Board of Canada. This appointment was renewed for five years in 1971. His leadership in the profession and in linking the world of scholarship to the Canadian public was recognized on many occasions.     In 1972, the University of Saskatchewan awarded Dr. Thomas an honorary doctorate of laws, which was followed by the American Association for State and Local History's Award of Merit. In 1975, he received, ""for outstanding contribution to Alberta history"", the award of the Historical Society of Alberta. During the Learned Societies Conference in Saskatoon, June 1979, the Saskatchewan Archives Board honored Dr. Thomas at a special dinner. Following the dinner, the Canadian Historical Association made him an honorary life member. In 1982, Dr. Thomas was also awarded honorary life membership in the Archives Society of Alberta, and in October of 1982, he received the Order of Canada.     Upon his retirement from the University of Alberta in 1982, Dr. Thomas donated his papers to the University's archives. Post-retirement activity saw Dr. Thomas research and prepare for publication, studies on socialism in Western Canada. A book about William Aberhart and Social Credit in Alberta was published in 1977, and his last completed project was editing tape transcripts resulting in the publishing of: The Making of a Socialist, The Recollections of T.C. Douglas in 1982. Dr. and Mrs., Thomas retired to Regina, Saskatchewan, and Dr. Thomas died there on November 17, 1982."	Lewis H. Thomas was born April 13, 1917 in Saskatoon, Saskatchewan.  A graduate of the University of Saskatchewan with high honours in history and economics, Dr. Thomas obtained his PhD from the University of Minnesota.  His thesis, The Struggle for Responsible Government in the North-West Territories, was first published by the University of Toronto Press in 1956 and confirmed his reputation as a leading figure in the developing field of Western Canadian history. Dr. Thomas was Provincial Archivist of Saskatchewan from 1948 to 1957. He joined the University of Alberta in 1964, and assumed the Chairmanship of the Department o of History the following year.  He presided over a period of rapid growth in the department until illness forced him to give up his administrative duties in 1968.  Dr. Thomas continued to write and teach at the University, and was Chairman of the Archives and Documents Committee from 1964 to 1976.  Following his retirement in 1982 from the University of Alberta, Dr. Thomas returned to Regina to live.  He was awarded the Order of Canada in October 1982, and passed away there in November 1983.	thomas-lewis-herbert.xml
Person	Smith, Douglas Elstow	1912 -	Douglas E. Smith began lecturing in psychology at the University in 1937. He left (1941-1946) to serve in the Canadian Army as personnel officer. Appointed full professorship in 1949, he chaired the Department of Philosophy and Psychology between 1952 to 1972, retiring as Professor Emeritus in 1975.	Psychologist, Administrator, 1912-  .  Douglas E. Smith began lecturing in psychology at the University in 1937.  He left (1941- 1946) to serve in the Canadian Army as personnel officer. Appointed full professor in 1949, he chaired the Department of Philosophy and Psychology between 1952 and 1958. Dr. Smith served as Dean of Arts from 1959 to 1972, retiring as Professor Emeritus in 1975.	smith-douglas-elstow-001.xml
Person	Stuart, Duncan			Lawyer, Civil Servant, Author, [1865]-1946.  A witness to the driving of the last spike for the trans-Canada railway line, Duncan Stuart was a major with the Royal Canadian Regiment of Infantry during the Boer War from 1899 to 1900. He was then employed as a civil servant for Great Britain in the Transvaal, 1900-1908.  Returning to Canada, he studied soil and water management and wrote several books that proposed solutions to problems of soil erosion in Western Canada during the 1930s.	stuart-duncan.xml
Person	Stuart, Duncan			Lawyer, Civil Servant, Author, [1865]-1946.  A witness to the driving of the last spike for the trans-Canada railway line, Duncan Stuart was a major with the Royal Canadian Regiment of Infantry during the Boer War from 1899 to 1900. He was then employed as a civil servant for Great Britain in the Transvaal, 1900-1908.  Returning to Canada, he studied soil and water management and wrote several books that proposed solutions to problems of soil erosion in Western Canada during the 1930s.	stuart-duncan.xml
Corporate body	Assiniboia Community Housing Cooperative		The Assiniboia Community Housing Cooperative (ACHC) began its existence known as Campus Co-operative Association in March of 1967. Its initiative at that time was to provide low-cost housing to students at the University of Alberta, in a time before HUB, Lister Hall, or Michener Park were completed.     In September of 1967, the University’s Board of Governors, whose task it was to oversee University-owned properties, rented six houses to the fledgling organization in the North Garneau area. By the early 1970’s, the Co-op reached its membership peak of about 65 members, and purchased their first house in the Strathcona area. A second home was purchased in 1973 in Parkallen. Using a ‘capital loan’ system where members ‘loaned’ the Co-op $25 each upon taking out membership, monies were collected for initial down payments on homes. A ‘capital levy’ plan was later introduced whereby the Co-op charged a capital levy per member, on top of the monthly housing charge, as a means of raising capital for the expansion of the Co-op and for meeting maintenance costs on existing properties. In the early 1970’s, as well, the Co-op obtained a further four rented houses from the City of Edmonton. Original University-owned houses were occasionally demolished in the North Garneau neighbourhood, and the Co-op received other houses in replacement. A few other houses were rented from private landlords and by the summer of 1973, there were twelve houses in the Campus Co-operative Association.     In 1977 the Campus Co-operative Association was dissolved by the Co-op Development Branch of the Alberta Department of Consumer and Corporate body Affairs for failing to submit an audit form on time. A new set of by-laws and a policy manual were developed and the Co-op was reinCorporate bodyd on September 27, 1978 as the Campus Co-operative Association (1977). By 1981, the new name of Assiniboia Community Housing Cooperative was chosen to reflect a shift away from a majority student membership which prevailed at its inception in 1967.     Membership in the houses was open to anyone accepted by the members of a Co-op household, and subsequently approved by the Board of Directors. The Board of Directors consisted of four executive members elected at semi-annual general meetings, and of one house representative from each house; board meetings were held monthly, and were open to the general membership to attend. Various committees were established to deal with specific matters, and members were expected to work on a committee or do some other specified work for the Cooperative. Members also shared cooking and other house chores. Membership criteria evolved over time to accept both student and non-student membership, and houses were co-ed. In 1986, the AHCC owned five houses and ceased leasing property from the University.     While the records in the fonds go only to 1990, the Assiniboia Community Housing Cooperative continues to function. They are a listed entry in the University of Alberta’s Student Union Housing Registry (as of 2006), and advertise three houses available in the Cooperative.	The central aim of the cooperative housing associations at the University is to provide low cost housing to students.  The Campus Co-operative Association was founded in 1967.  It was dissolved and amalgamated with Campus Co-operative Association (1977), which changed its name to Assiniboia Housing Community Cooperative in 1981.  In 1986 the AHCC owned five houses and ceased leasing property from the University.	assiniboia-community-housing-cooperative.xml
Person	Peel, Bruce Braden	1916 -	Bruce Peel came to the University Library as chief catalouger in 1951. From 1955 until 1982 he served as Liberian to the University. During this period the Library's collection became the second largest in Canada. Mr. Peel has published the definitive bibliography of Western Canadian imprints, and during his career was an active participant in academic and professional associations. On his retirement the rare books room was named in his honour, and in 1991 the University awarded him an honorary doctorate of laws.	Librarian, Author, 1916- .  Bruce Peel came to the University Library as chief cataloguer in 1951.  From 1955 until 1982 he served as Librarian to the University.  During this period the Library's  collection became the second largest in Canada.  Mr. Peel has published the definitive bibliography  of Western Canadian imprints, and during his career was an active participant in academic and  professional associations.  On his retirement the rare books room was named the Bruce Peel Special  Collections Library in his honour, and in 1991 the University awarded him an honorary doctorate of laws.	peel-bruce-braden.xml
Person	Nursall, John Ralph	1925 -	J.R. Nursall joined the University in 1953 as a lecturer in zoology; he was granted full professorship in 1964. He has chaired the Department of Zoology for three terms, in 1958-1960, 1964-1969 and 1974-1978, retiring in 1988. A specialist in freshwater biology and the anatomy of fish, he was president of the Edmonton Zoological Society and Chair of the panel on hazardous waste for the Environmental Council of Alberta.	Marine biologist, Administrator, 1925-  .  J.R. Nursall joined the University in 1953 as a lecturer  in zoology; he was granted full professorship in 1964.  He has chaired the Department of Zoology  for three terms, 1958-1960, 1964-1969 and 1974-1978, retiring in 1988.  A specialist in freshwater  biology and the anatomy of fish, he was president of the Edmonton Zoological Society and Chair of  the panel on hazardous waste for the Environmental Council of Alberta.	nursall-john-ralph.xml
Person	Holubnychy, Vsevolod	1928 - 1977	Born in eastern Ukraine, Vsevolod Holubnychy fled with his family to Bavaria in 1943 to escape the Red Army. In 1951 he moved to New York City where he attended Columbia University. He was a professor at the City University of New York from 1962 until his death. A specialist in Soviet- type economies, he was active in Ukrainian nationalist organizations and at the time of his death was making arrangements with the Canadian Institute of Ukrainian Studies at the University of Alberta to work on an English language Ukrainian Encyclopedia. The Institute published a small section of his papers as Soviet Regional Economies: Selected Works of Vsevolod Holubnychy, in 1982.	Economist, 1928-1977.  Born in eastern Ukraine, Vsevolod Holubnychy fled with his family to  Bavaria in 1943 to escape the Red Army.  In 1951 he moved to New York City where he attended  Columbia University.  He was a professor at the City University of New York from 1962 until his  death.  A specialist in Soviet-type economies, he was active in Ukrainian nationalist organizations and at the time of his death was making arrangements with the Canadian Institute of Ukrainian  Studies at the University to work on an English-language Ukrainian Encyclopedia.  The Institute  published a small selection of his papers as Soviet Regional Economies: Selected Works of Vsevolod  Holubnychy, in 1982.	holubnychy-vsevolod.xml
Person	Pagliaro, Louis A	1950 -	Louis A. Pagliaro joined the University in 1977 as an assistant professor of pharmacy and pharmaceutical sciences. He was granted full professorship in 1988; he also holds an honorary professorship in Educational Psychology. Dr. Pagliaro's chief research fields have been in clinical pharmacology, drug abuse and computer-assisted learning. From 1982 to 1986 he coordinated the University's Master of Pharmacy program; he has written five textbooks and numerous articles.	Pharmacologist, 1950-  .  Louis A. Pagliaro joined the University in 1977 as an assistant professor  of pharmacy and pharmaceutical sciences.  He was granted full professorship in 1988; he also holds  an honorary professorship in Educational Psychology.  Dr. Pagliaro's chief research fields have  been in clinical pharmacology, drug abuse and computer-assisted learning.  From 1982 to 1986 he  coordinated the University's Master of Pharmacy program; he has written five textbooks and  numerous articles.	pagliaro-louis.xml
Person	Rutherford, Alexander Cameron	1857- 02-02 - 7.12.1941	Alexander Cameron Rutherford was born in Osgoode, Carleton County, Ontario, on February 2, 1857. His parents emigrated to Canada from Aberfeldy, Scotland in 1855. Educated in Ontario's public schools, and Woodstock College, he taught school for a year and then attended McGill University in Montreal where he graduated with a B.A. and B.C.L. in 1881. He articled with Sir Ricarhd Scott in Ottawa, was admitted to the Bar of Ontario in 1885 and immediately went into the partnership of Hodgins, Kidd and Rutherford with offices in Ottawa and Kempville.     In 1888 he married M. Birkett and two children, Cecil, and Hazel, were born to them. He came west to Strathcona, Northwest Territories, and was elected to the North West Territories Assembly serving from 1902-1905. During this period he was Deputy Speaker. In 1905, he was called to lead the first government of Alberta. Dr. Rutherford also held the portfolios of Provincial Treaseuer and Minister of Education. He introduced, in 1906, a bill which founded the University of Ablerta. In recognition of his efforts to establish higher education in the new prairie province, the Univerwsity of Toronto awarded him an LL.D. in 1907.     Although Dr. Rutherford resigned as Premier in 1910, he continued to take an interest in the Univesrity. He was elected its Chancellor in 1927 and continued in that position until his death on June 12, 1941.	Lawyer, Politician, Chancellor, 1857-1941.  Alexander Cameron Rutherford came west to the Northwest Territories (now Alberta and Saskatchewan) to practise law.  He was Deputy Speaker of the N.W.T. Assembly from 1902 to 1905; from 1905 to 1910 he served as the first premier of the new province of Alberta.  It was he who in 1906 introduced the bill for the establishment of the University of Alberta.  He was elected Chancellor of the University in 1927, an office he held until his death.  The Rutherford Library is named for him, in recognition of his services to the University and his gift of books which established the first Library.	rutherford-alexander-cameron-002.xml
Person	Greg, Walter Wilson	1875 - 1959	Sir Walter was a British medieval scholar, textual critic and editor of international stature. His professional friendship with Dr. F.M Salter of the Department of English , led a friend, Professor F.P. Wilson, to present this manuscript to the University in memory of two outstanding scholars.	English scholar, 1875-1959.  Sir Walter was a British medieval scholar, textual critic and editor of international stature.  His professional friendship with Dr. F.M. Salter of the Department of English, led a friend, Professor F.P. Wilson, to present this manuscript to the University in memory of two outstanding scholars.	greg-walter-wilson.xml
Person	Ferrier, R. Douglas	[ 18-- ] -	R. Douglas Ferrier was employed with Lamson and Hubbard Canadian Ltd. in Fort Vermilion, Alberta, from 1922 until the company's fur-trading rival, the Hudson's Bay Company, took over in 1924. Mr. Ferrier then worked for the HBC for seventeen years in the Athabasca, Fort Mc Murray and Fort Simpson regions of northern Alberta and the Northwest Territories before being transferred to Edmonton. This photographic collection depicts the riverways and transports used in the areas he visited, particularly those to the fur trade.	Fur trader, [18þ]- .  R. Douglas Ferrier was employed with Lamson and Hubbard Canadian Ltd. in Fort Vermilion, Alberta, from 1922 until the company's fur-trading rival, the Hudson's Bay Company, took it over in 1924. Mr. Ferrier then worked for the HBC for seventeen years in the Lake Athabasca, Fort McMurray and Fort Simpson regions of northern Alberta and the Northwest Territories before being transferred to Edmonton.  This photographic collection depicts the riverways and transports used in the areas he visited, particularly those related to the fur trade.	ferrier-r-douglas.xml
Person	Ford, Michael David	[ 19-- ] -	Michael David Ford holds a BComm (1981) and a LLB (1985) from the University. This collection of documents results from his interest and participation in the Students' Union and General Faculties Council Committees. Mr.Ford was one of the founders of the Evergreen and Gold Foundation, formed to document student activities during the University's 75th anniversary, 1982-1983.	Lawyer, [19þ]- .  Michael D. Ford holds a BComm (1981) and an LLB (1985) from the University. This collection of documents results from his interest and participation in the Studentsþ Union and General Faculties Council Committees.  Mr. Ford was one of the founders of the Evergreen and Gold Foundation, formed to document student activities during the Universityþs 75th anniversary, 1982- 1983.	ford-michael-david.xml
