Column 1	LCSH	Column 2	Column 3	blank
Nineteen sixty-five, A.D	http://id.loc.gov/authorities/subjects/sh2003004179	lcsh	http://example.org/6815465#Topic650-32	
Musique populaire--1961-1970--Histoire et critique		rvm	http://example.org/6815465#Topic650-33	
Mil neuf cent soixante-cinq		rvm	http://example.org/6815465#Topic650-34	
Medical records--Management--United States		lcsh	http://example.org/6861337#Topic650-22	
Diseases--United States--Code numbers		lcsh	http://example.org/6861337#Topic650-23	
Medical records--United States--Code numbers		lcsh	http://example.org/6861337#Topic650-24	
Health insurance claims--United States--Code numbers		lcsh	http://example.org/6861337#Topic650-25	
Financial statements--Standards	http://id.loc.gov/authorities/subjects/sh2009124338	lcsh	http://example.org/6797111#Topic650-31	
Photographers--History--20th century--Interviews		lcsh	http://example.org/6784467#Topic650-30	
Photography--History--20th century	http://id.loc.gov/authorities/subjects/sh2010106176	lcsh	http://example.org/6784467#Topic650-31	
C (Computer program language)	http://id.loc.gov/authorities/subjects/sh85018532	lcsh	http://example.org/6752591#Topic650-29	
Application software--Development	http://id.loc.gov/authorities/subjects/sh95009362	lcsh	http://example.org/6752591#Topic650-30	
Democratization--Latin America	http://id.loc.gov/authorities/subjects/sh2008117505	lcsh	http://example.org/6773611#Topic650-35	
Democracy--Latin America	http://id.loc.gov/authorities/subjects/sh2008102147	lcsh	http://example.org/6773611#Topic650-36	
Internal medicine--Examinations, questions, etc	http://id.loc.gov/authorities/subjects/sh2008104806	lcsh	http://example.org/6766249#Topic650-30	
Clinical Medicine--methods--Examination Questions		mesh	http://example.org/6766249#Topic650-31	
Church history--Miscellanea		lcsh	http://example.org/6815374#Topic650-26	
Meteorites--Catalogs and collections		lcsh	http://example.org/6720301#Topic650-34	
Meteorites--Antarctica		lcsh	http://example.org/6720301#Topic650-35	
Meteorites--United States		lcsh	http://example.org/6720301#Topic650-36	
Computer animation--Amateurs' manuals		lcsh	http://example.org/6809086#Topic650-37	
Three-dimensional display systems	http://id.loc.gov/authorities/subjects/sh85135021	lcsh	http://example.org/6809086#Topic650-38	
Hostages--Philippines--Biography		lcsh	http://example.org/6775553#Topic650-38	
Terrorism--Philippines		lcsh	http://example.org/6775553#Topic650-39	
Victims of terrorism--Philippines--Biography		lcsh	http://example.org/6775553#Topic650-40	
Man-woman relationships--Miscellanea	http://id.loc.gov/authorities/subjects/sh2008107262	lcsh	http://example.org/6797112#Topic650-33	
Sex customs--Miscellanea		lcsh	http://example.org/6797112#Topic650-34	
Sex--Miscellanea	http://id.loc.gov/authorities/subjects/sh2008111592	lcsh	http://example.org/6797112#Topic650-35	
Social sciences--Study and teaching (Elementary)--United States--Handbooks, manuals, etc		lcsh	http://example.org/6520899#Topic650-27	
Social sciences--Study and teaching (Middle school)--United States--Handbooks, manuals, etc		lcsh	http://example.org/6520899#Topic650-28	
Alloys--Congresses	http://id.loc.gov/authorities/subjects/sh2007101009	lcsh	http://example.org/6855804#Topic650-36	
High temperature superconductors	http://id.loc.gov/authorities/subjects/sh88004641	lcsh	http://example.org/6855804#Topic650-37	
Light metals--Metallurgy--Congresses		lcsh	http://example.org/6855804#Topic650-38	
Materials at high temperatures--Congresses	http://id.loc.gov/authorities/subjects/sh2008107534	lcsh	http://example.org/6855804#Topic650-39	
Metals--Effect of high temperatures on--Congresses	http://id.loc.gov/authorities/subjects/sh2010101558	lcsh	http://example.org/6855804#Topic650-40	
Project management	http://id.loc.gov/authorities/subjects/sh85065919	lcsh	http://example.org/6812765#Topic650-27	
Afghan War, 2001---Campaigns	http://id.loc.gov/authorities/subjects/sh2004009393	lcsh	http://example.org/6815424#Topic650-34	
Afghan War, 2001---Personal narratives, American	http://id.loc.gov/authorities/subjects/sh2009113924	lcsh	http://example.org/6815424#Topic650-35	
Afghan War, 2001---Secret service		lcsh	http://example.org/6815424#Topic650-36	
Intelligence officers--United States--Biography	http://id.loc.gov/authorities/subjects/sh2008104315	lcsh	http://example.org/6815424#Topic650-37	
Taliban		lcsh	http://example.org/6815424#Topic650-38	
United States--Relations--Pakistan		lcsh	http://example.org/6815424#Topic650-39	
Terrorism--Study and teaching--United States		lcsh	http://example.org/6783898#Topic650-41	
September 11 Terrorist Attacks, 2001--Influence	http://id.loc.gov/authorities/subjects/sh2004005513	lcsh	http://example.org/6783898#Topic650-42	
Collective memory	http://id.loc.gov/authorities/subjects/sh2006002444	lcsh	http://example.org/6783898#Topic650-43	
Peace--Study and teaching--Case studies		lcsh	http://example.org/6783898#Topic650-44	
Critical care medicine	http://id.loc.gov/authorities/subjects/sh85034133	lcsh	http://example.org/6774241#Topic650-29	
Transport of sick and wounded	http://id.loc.gov/authorities/subjects/sh85137017	lcsh	http://example.org/6774241#Topic650-30	
Critical Care--methods		mesh	http://example.org/6774241#Topic650-31	
Transportation of Patients		mesh	http://example.org/6774241#Topic650-32	
Monitoring, Physiologic		mesh	http://example.org/6774241#Topic650-33	
Patient Care Team		mesh	http://example.org/6774241#Topic650-34	
Patient Transfer		mesh	http://example.org/6774241#Topic650-35	
Creative ability in business	http://id.loc.gov/authorities/subjects/sh85033838	lcsh	http://example.org/6802859#Topic650-32	
Success in business	http://id.loc.gov/authorities/subjects/sh85129589	lcsh	http://example.org/6802859#Topic650-33	
Success	http://id.loc.gov/authorities/subjects/sh85129587	lcsh	http://example.org/6802859#Topic650-34	
Cell phone advertising	http://id.loc.gov/authorities/subjects/sh2008005918	lcsh	http://example.org/6813098#Topic650-31	
Internet marketing	http://id.loc.gov/authorities/subjects/sh95005028	lcsh	http://example.org/6813098#Topic650-32	
Delusions	http://id.loc.gov/authorities/subjects/sh87005620	lcsh	http://example.org/6710554#Topic650-29	
Reasoning (Psychology)	http://id.loc.gov/authorities/subjects/sh85111791	lcsh	http://example.org/6710554#Topic650-30	
Child psychiatry	http://id.loc.gov/authorities/subjects/sh85023378	lcsh	http://example.org/6799397#Topic650-24	
Child psychopathology	http://id.loc.gov/authorities/subjects/sh85023384	lcsh	http://example.org/6799397#Topic650-25	
Psychology, Pathological	http://id.loc.gov/authorities/subjects/sh85108479	lcsh	http://example.org/6799397#Topic650-26	
Psychology, Pathological--Textbooks		lcsh	http://example.org/6638281#Topic650-27	
Mental illness--Textbooks		lcsh	http://example.org/6638281#Topic650-28	
Psychology, Pathological	http://id.loc.gov/authorities/subjects/sh85108479	lcsh	http://example.org/6799091#Topic650-32	
Mental Disorders		mesh	http://example.org/6799091#Topic650-33	
Biological Evolution		mesh	http://example.org/6799091#Topic650-34	
Neurosciences	http://id.loc.gov/authorities/subjects/sh91006099	mesh	http://example.org/6799091#Topic650-35	
Psychopathology		mesh	http://example.org/6799091#Topic650-36	
Aboriginal Australians--Legal status, laws, etc	http://id.loc.gov/authorities/subjects/sh2007100477	lcsh	http://example.org/6755896#Topic650-34	
Aboriginal Australians--Legal status, laws, etc.--Social aspects		lcsh	http://example.org/6755896#Topic650-35	
Indigenous peoples (International law)	http://id.loc.gov/authorities/subjects/sh2005000672	lcsh	http://example.org/6755896#Topic650-36	
Law, Aboriginal Australian	http://id.loc.gov/authorities/subjects/sh2014001251	lcsh	http://example.org/6755896#Topic650-37	
Philosophy, Aboriginal Australian	http://id.loc.gov/authorities/subjects/sh85100868	lcsh	http://example.org/6755896#Topic650-38	
Abortion--Political aspects--United States	http://id.loc.gov/authorities/subjects/sh2009113358	lcsh	http://example.org/6785999#Topic650-39	
Social media--Political aspects--United States		lcsh	http://example.org/6785999#Topic650-40	
Mass media--Political aspects--United States	http://id.loc.gov/authorities/subjects/sh2008107507	lcsh	http://example.org/6785999#Topic650-41	
Painters--Canada--Biography--Juvenile literature		lcsh	http://example.org/6803068#Topic650-34	
Landscape painting, Canadian--Juvenile literature		lcsh	http://example.org/6803068#Topic650-35	
Internet in higher education--Scandinavia		lcsh	http://example.org/6808463#Topic650-27	
Professional education--Web-based instruction--Scandinavia		lcsh	http://example.org/6808463#Topic650-28	
Universities and colleges--United States--Administration	http://id.loc.gov/authorities/subjects/sh85141150	lcsh	http://example.org/6804063#Topic650-26	
Educational leadership--United States	http://id.loc.gov/authorities/subjects/sh2008102491	lcsh	http://example.org/6804063#Topic650-27	
Study skills	http://id.loc.gov/authorities/subjects/sh85129331	lcsh	http://example.org/6697636#Topic650-26	
Learning, Psychology of	http://id.loc.gov/authorities/subjects/sh85075526	lcsh	http://example.org/6697636#Topic650-27	
College student orientation	http://id.loc.gov/authorities/subjects/sh85028353	lcsh	http://example.org/6697636#Topic650-28	
Authorship	http://id.loc.gov/authorities/subjects/sh00006049	lcsh	http://example.org/6804836#Topic650-33	
Academic writing	http://id.loc.gov/authorities/subjects/sh93009381	lcsh	http://example.org/6804836#Topic650-34	
Business writing	http://id.loc.gov/authorities/subjects/sh86007835	lcsh	http://example.org/6804836#Topic650-35	
Academic writing	http://id.loc.gov/authorities/subjects/sh93009381	lcsh	http://example.org/6665217#Topic650-29	
Technical writing	http://id.loc.gov/authorities/subjects/sh85133137	lcsh	http://example.org/6665217#Topic650-30	
English language--Textbooks for foreign speakers	http://id.loc.gov/authorities/subjects/sh85043745	lcsh	http://example.org/6665217#Topic650-31	
English language--Study and teaching--Foreign speakers	http://id.loc.gov/authorities/subjects/sh85043710	lcsh	http://example.org/6665217#Topic650-32	
English language--Technical English	http://id.loc.gov/authorities/subjects/sh85043739	lcsh	http://example.org/6665217#Topic650-33	
Counseling	http://id.loc.gov/authorities/subjects/sh85033421	lcsh	http://example.org/6679338#Topic650-30	
Counseling--standards--United States--Practice Guideline		mesh	http://example.org/6679338#Topic650-31	
Ethics, Professional--United States--Practice Guideline		mesh	http://example.org/6679338#Topic650-32	
English language--Rhetoric	http://id.loc.gov/authorities/subjects/sh85043678	lcsh	http://example.org/6356389#Topic650-24	
English language--Grammar	http://id.loc.gov/authorities/subjects/sh85043556	lcsh	http://example.org/6356389#Topic650-25	
Numerical analysis--Data processing	http://id.loc.gov/authorities/subjects/sh2008108514	lcsh	http://example.org/6786234#Topic650-29	
Medical radiology	http://id.loc.gov/authorities/subjects/sh85110777	lcsh	http://example.org/6622213#Topic650-31	
Emergency medicine	http://id.loc.gov/authorities/subjects/sh85042755	lcsh	http://example.org/6622213#Topic650-32	
Diagnosis, Radioscopic--Handbooks, manuals, etc		lcsh	http://example.org/6622213#Topic650-33	
Medical emergencies--Handbooks, manuals, etc	http://id.loc.gov/authorities/subjects/sh2008107629	lcsh	http://example.org/6622213#Topic650-34	
Diagnostic Imaging--Handbooks		mesh	http://example.org/6622213#Topic650-35	
Emergencies--Handbooks		mesh	http://example.org/6622213#Topic650-36	
Radiography--Handbooks		mesh	http://example.org/6622213#Topic650-37	
Trade regulation	http://id.loc.gov/authorities/subjects/sh85136505	lcsh	http://example.org/6813498#Topic650-31	
Government accountability	http://id.loc.gov/authorities/subjects/sh2007008050	lcsh	http://example.org/6813498#Topic650-32	
Greenhouse gases--Measurement		lcsh	http://example.org/6849309#Topic650-22	
Environmental monitoring	http://id.loc.gov/authorities/subjects/sh85044194	lcsh	http://example.org/6849309#Topic650-23	
Pollutants--Reporting	http://id.loc.gov/authorities/subjects/sh97003852	lcsh	http://example.org/6849309#Topic650-24	
Greenhouse gases--Government policy		lcsh	http://example.org/6849309#Topic650-25	
Emissions trading	http://id.loc.gov/authorities/subjects/sh92006049	lcsh	http://example.org/6849309#Topic650-26	
Climatic changes--Economic aspects	http://id.loc.gov/authorities/subjects/sh2008117648	lcsh	http://example.org/6849309#Topic650-27	
Financial instruments--Accounting--Standards		lcsh	http://example.org/6812149#Topic650-41	
Derivative securities--Accounting		lcsh	http://example.org/6812149#Topic650-42	
Hedging (Finance)--Accounting		lcsh	http://example.org/6812149#Topic650-43	
Derivative securities--Accounting		fast	http://example.org/6812149#Topic650-44	
Financial instruments--Accounting--Standards		fast	http://example.org/6812149#Topic650-45	
Hedging (Finance)--Accounting		fast	http://example.org/6812149#Topic650-46	
Food additives	http://id.loc.gov/authorities/subjects/sh85050253	lcsh	http://example.org/6749006#Topic650-25	
Compulsive gambling	http://id.loc.gov/authorities/subjects/sh85029466	lcsh	http://example.org/6813477#Topic650-34	
Compulsive gambling--Treatment		lcsh	http://example.org/6813477#Topic650-35	
Compulsive gambling--Psychological aspects		lcsh	http://example.org/6813477#Topic650-36	
Acne--Diagnosis		lcsh	http://example.org/6797127#Topic650-30	
Acne--Treatment		lcsh	http://example.org/6797127#Topic650-31	
Acne	http://id.loc.gov/authorities/subjects/sh85000560	lcsh	http://example.org/6797127#Topic650-32	
Science--Experiments--Juvenile fiction		lcsh	http://example.org/6808121#Topic650-27	
Identity (Psychology)--Juvenile fiction	http://id.loc.gov/authorities/subjects/sh2008122995	lcsh	http://example.org/6808121#Topic650-28	
Characters and characteristics in literature--Juvenile fiction		lcsh	http://example.org/6808121#Topic650-29	
Art, American	http://id.loc.gov/authorities/subjects/sh85007537	lcsh	http://example.org/6797101#Topic650-36	
Art, Egyptian	http://id.loc.gov/authorities/subjects/sh85007638	lcsh	http://example.org/6774274#Topic650-32	
Art, Ancient--Egypt	http://id.loc.gov/authorities/subjects/sh2009115653	lcsh	http://example.org/6774274#Topic650-33	
Documentary films--History and criticism	http://id.loc.gov/authorities/subjects/sh2008117526	lcsh	http://example.org/6810977#Topic650-26	
Physicians' assistants--Examinations, questions, etc	http://id.loc.gov/authorities/subjects/sh2010106261	lcsh	http://example.org/6709732#Topic650-31	
Physicians' assistants--Examinations, questions, etc	http://id.loc.gov/authorities/subjects/sh2010106261	mesh	http://example.org/6709732#Topic650-32	
Certification--Examination Questions		mesh	http://example.org/6709732#Topic650-33	
Organizational change--Computer simulation		lcsh	http://example.org/6802958#Topic650-35	
Industries--Computer simulation		lcsh	http://example.org/6802958#Topic650-36	
Medical care--Evaluation--Handbooks, manuals, etc		lcsh	http://example.org/6797135#Topic650-29	
Medicine--Research--Handbooks, manuals, etc		lcsh	http://example.org/6797135#Topic650-30	
Mixed methods research	http://id.loc.gov/authorities/subjects/sh2010001158	lcsh	http://example.org/6740958#Topic650-29	
Social sciences--Research--Methodology	http://id.loc.gov/authorities/subjects/sh2008111864	lcsh	http://example.org/6740958#Topic650-30	
Research--Methodology	http://id.loc.gov/authorities/subjects/sh2002009792	lcsh	http://example.org/6740958#Topic650-31	
Public speaking--Handbooks, manuals, etc	http://id.loc.gov/authorities/subjects/sh2008110246	lcsh	http://example.org/6698066#Topic650-28	
Amusement parks--New York (State)--Coney Island--History		lcsh	http://example.org/6803154#Topic650-31	
Cognitive therapy	http://id.loc.gov/authorities/subjects/sh85027756	lcsh	http://example.org/6812939#Topic650-30	
Psychology, Pathological	http://id.loc.gov/authorities/subjects/sh85108479	lcsh	http://example.org/6812939#Topic650-31	
Acoustical engineering--Mathematics		lcsh	http://example.org/6786242#Topic650-30	
Finite element method--Data processing	http://id.loc.gov/authorities/subjects/sh88000927	lcsh	http://example.org/6786242#Topic650-31	
ANSYS (Computer system)	http://id.loc.gov/authorities/subjects/sh85005477	lcsh	http://example.org/6786242#Topic650-32	
Food habits--Social aspects--Canada		lcsh	http://example.org/6803037#Topic650-31	
Food habits--Social aspects--Canada		lcsh	http://example.org/6795707#Topic650-32	
Discourse analysis--Social aspects	http://id.loc.gov/authorities/subjects/sh2008102300	lcsh	http://example.org/6774181#Topic650-30	
Pragmatics--Social aspects		lcsh	http://example.org/6774181#Topic650-31	
Speech acts (Linguistics)	http://id.loc.gov/authorities/subjects/sh85126441	lcsh	http://example.org/6774181#Topic650-32	
Cognitive grammar	http://id.loc.gov/authorities/subjects/sh86004349	lcsh	http://example.org/6774181#Topic650-33	
Language acquisition	http://id.loc.gov/authorities/subjects/sh85074511	lcsh	http://example.org/6774181#Topic650-34	
Cree Indians--Biography		lcsh	http://example.org/6694250#Topic650-32	
Shamans--Alberta--Biography		lcsh	http://example.org/6694250#Topic650-33	
Medicinal plants--Alberta		lcsh	http://example.org/6694250#Topic650-34	
Cree Indians--Medicine		lcsh	http://example.org/6694250#Topic650-35	
Alternative medicine--Alberta		lcsh	http://example.org/6694250#Topic650-36	
Climate change mitigation--Case studies		lcsh	http://example.org/6807496#Topic650-33	
Climatic changes--Government policy--Case studies		lcsh	http://example.org/6807496#Topic650-34	
Toleration--Study and teaching--United States		lcsh	http://example.org/6795648#Topic650-33	
Social justice--Study and teaching--United States	http://id.loc.gov/authorities/subjects/sh2010113574	lcsh	http://example.org/6795648#Topic650-34	
Social change--United States	http://id.loc.gov/authorities/subjects/sh2008111171	lcsh	http://example.org/6795648#Topic650-35	
Social action--United States	http://id.loc.gov/authorities/subjects/sh2008111776	lcsh	http://example.org/6795648#Topic650-36	
Political participation--United States	http://id.loc.gov/authorities/subjects/sh2008109399	lcsh	http://example.org/6795648#Topic650-37	
Active learning--Data processing		lcsh	http://example.org/6855794#Topic650-36	
Detectors--Data processing		lcsh	http://example.org/6855794#Topic650-37	
Multisensor data fusion	http://id.loc.gov/authorities/subjects/sh90003105	lcsh	http://example.org/6855794#Topic650-38	
Movement (Acting)	http://id.loc.gov/authorities/subjects/sh85088015	lcsh	http://example.org/6775504#Topic650-27	
Women in the theater--England--History--18th century		lcsh	http://example.org/6774095#Topic650-30	
Acting--History--18th century		lcsh	http://example.org/6774095#Topic650-31	
Translating and interpreting--Japan--History		lcsh	http://example.org/6849271#Topic650-24	
English language--Study and teaching--Japan		lcsh	http://example.org/6849271#Topic650-25	
Languge and culture		lcsh	http://example.org/6849271#Topic650-26	
Female Urogenital Diseases		mesh	http://example.org/6850064#Topic650-25	
Emergency Treatment		mesh	http://example.org/6850064#Topic650-26	
Critical Care		mesh	http://example.org/6850064#Topic650-27	
Insurgency	http://id.loc.gov/authorities/subjects/sh85067073	lcsh	http://example.org/6774208#Topic650-30	
Insurgency--Case studies		lcsh	http://example.org/6774208#Topic650-31	
Asymmetric warfare	http://id.loc.gov/authorities/subjects/sh2001001771	lcsh	http://example.org/6774208#Topic650-32	
Asymmetric warfare--Case studies		lcsh	http://example.org/6774208#Topic650-33	
Guerrilla warfare	http://id.loc.gov/authorities/subjects/sh85057695	lcsh	http://example.org/6774208#Topic650-34	
Guerrilla warfare--Case studies		lcsh	http://example.org/6774208#Topic650-35	
Non-state actors (International relations)	http://id.loc.gov/authorities/subjects/sh2007010917	lcsh	http://example.org/6774208#Topic650-36	
Non-state actors (International relations)--Case studies		lcsh	http://example.org/6774208#Topic650-37	
Strategy	http://id.loc.gov/authorities/subjects/sh85128514	lcsh	http://example.org/6774208#Topic650-38	
Insurgency	http://id.loc.gov/authorities/subjects/sh85067073	lcsh	http://example.org/6758290#Topic650-21	
Insurgency--Case studies		lcsh	http://example.org/6758290#Topic650-22	
Asymmetric warfare	http://id.loc.gov/authorities/subjects/sh2001001771	lcsh	http://example.org/6758290#Topic650-23	
Asymmetric warfare--Case studies		lcsh	http://example.org/6758290#Topic650-24	
Guerrilla warfare	http://id.loc.gov/authorities/subjects/sh85057695	lcsh	http://example.org/6758290#Topic650-25	
Guerrilla warfare--Case studies		lcsh	http://example.org/6758290#Topic650-26	
Non-state actors (International relations)	http://id.loc.gov/authorities/subjects/sh2007010917	lcsh	http://example.org/6758290#Topic650-27	
Non-state actors (International relations)--Case studies		lcsh	http://example.org/6758290#Topic650-28	
Strategy	http://id.loc.gov/authorities/subjects/sh85128514	lcsh	http://example.org/6758290#Topic650-29	
Clinical trials--Statistical methods	http://id.loc.gov/authorities/subjects/sh2009120433	lcsh	http://example.org/6786272#Topic650-28	
Adaptive sampling (Statistics)	http://id.loc.gov/authorities/subjects/sh95009239	lcsh	http://example.org/6786272#Topic650-29	
SAS (Computer file)		lcsh	http://example.org/6786272#Topic650-30	
R (Computer program language)	http://id.loc.gov/authorities/subjects/sh2002004407	lcsh	http://example.org/6786272#Topic650-31	
Adaptive filters--Mathematical models		lcsh	http://example.org/6808971#Topic650-32	
Adaptive signal processing--Mathematics		lcsh	http://example.org/6808971#Topic650-33	
Least squares--Data processing		lcsh	http://example.org/6808971#Topic650-34	
Minorities--United States--History	http://id.loc.gov/authorities/subjects/sh2008107844	lcsh	http://example.org/6786568#Topic650-31	
Liquid crystal displays--Automatic control		lcsh	http://example.org/6773971#Topic650-36	
Device drivers (Computer programs)	http://id.loc.gov/authorities/subjects/sh93009551	lcsh	http://example.org/6773971#Topic650-37	
Psychology--Dictionaries	http://id.loc.gov/authorities/subjects/sh2008109235	lcsh	http://example.org/6849475#Topic650-26	
Criminal psychology--United States	http://id.loc.gov/authorities/subjects/sh2009122367	lcsh	http://example.org/6799148#Topic650-25	
Criminal justice, Administration of--United States	http://id.loc.gov/authorities/subjects/sh86006644	lcsh	http://example.org/6799148#Topic650-26	
Criminal justice, Administration of--United States--Psychological aspects		lcsh	http://example.org/6799148#Topic650-27	
Police--United States--Psychology		lcsh	http://example.org/6799148#Topic650-28	
Love	http://id.loc.gov/authorities/subjects/sh85078519	lcsh	http://example.org/6799148#Topic650-29	
Image processing--Digital techniques	http://id.loc.gov/authorities/subjects/sh85064447	lcsh	http://example.org/6784393#Topic650-34	
Cinematography--Special effects--Data processing	http://id.loc.gov/authorities/subjects/sh2009119731	lcsh	http://example.org/6784393#Topic650-35	
Web sites--Authoring programs	http://id.loc.gov/authorities/subjects/sh98000036	lcsh	http://example.org/6809132#Topic650-33	
HTML editors (Computer programs)	http://id.loc.gov/authorities/subjects/sh99013979	lcsh	http://example.org/6809132#Topic650-34	
Web site development	http://id.loc.gov/authorities/subjects/sh98004795	lcsh	http://example.org/6809132#Topic650-35	
Web sites--Design	http://id.loc.gov/authorities/subjects/sh98000035	lcsh	http://example.org/6809132#Topic650-36	
Computer graphics	http://id.loc.gov/authorities/subjects/sh85029500	lcsh	http://example.org/6808783#Topic650-33	
Computer graphics	http://id.loc.gov/authorities/subjects/sh85029500	lcsh	http://example.org/6786435#Topic650-29	
Desktop publishing	http://id.loc.gov/authorities/subjects/sh87001097	lcsh	http://example.org/6659415#Topic650-34	
Desktop publishing	http://id.loc.gov/authorities/subjects/sh87001097	lcsh	http://example.org/6786432#Topic650-26	
Web sites--Design	http://id.loc.gov/authorities/subjects/sh98000035	lcsh	http://example.org/6659560#Topic650-30	
Web site development	http://id.loc.gov/authorities/subjects/sh98004795	lcsh	http://example.org/6659560#Topic650-31	
Image processing--Digital techniques	http://id.loc.gov/authorities/subjects/sh85064447	lcsh	http://example.org/6786422#Topic650-30	
Image processing--Digital techniques	http://id.loc.gov/authorities/subjects/sh85064447	lcsh	http://example.org/6659416#Topic650-30	
Computer graphics	http://id.loc.gov/authorities/subjects/sh85029500	lcsh	http://example.org/6659416#Topic650-31	
Photography--Digital techniques	http://id.loc.gov/authorities/subjects/sh90001789	lcsh	http://example.org/6773928#Topic650-31	
Computer graphics	http://id.loc.gov/authorities/subjects/sh85029500	lcsh	http://example.org/6773928#Topic650-32	
Image processing--Digital techniques	http://id.loc.gov/authorities/subjects/sh85064447	lcsh	http://example.org/6784443#Topic650-33	
Cinematography--Special effects--Data processing	http://id.loc.gov/authorities/subjects/sh2009119731	lcsh	http://example.org/6784443#Topic650-34	
Internet marketing	http://id.loc.gov/authorities/subjects/sh95005028	lcsh	http://example.org/6659395#Topic650-31	
Web site development	http://id.loc.gov/authorities/subjects/sh98004795	lcsh	http://example.org/6659395#Topic650-32	
Adolescence--Textbooks		lcsh	http://example.org/6675253#Topic650-25	
Youth and violence	http://id.loc.gov/authorities/subjects/sh99000309	lcsh	http://example.org/6702108#Topic650-31	
Families	http://id.loc.gov/authorities/subjects/sh85047009	lcsh	http://example.org/6702108#Topic650-32	
Interpersonal relations	http://id.loc.gov/authorities/subjects/sh85067484	lcsh	http://example.org/6702108#Topic650-33	
Accounting--China	http://id.loc.gov/authorities/subjects/sh2007100506	lcsh	http://example.org/6808729#Topic650-29	
Financial statements--China		lcsh	http://example.org/6808729#Topic650-30	
Auditing--China	http://id.loc.gov/authorities/subjects/sh2009116191	lcsh	http://example.org/6808729#Topic650-31	
Anxiety	http://id.loc.gov/authorities/subjects/sh85005835	lcsh	http://example.org/6809321#Topic650-30	
Anxiety disorders	http://id.loc.gov/authorities/subjects/sh2005006293	lcsh	http://example.org/6809321#Topic650-31	
Self-help techniques	http://id.loc.gov/authorities/subjects/sh85119759	lcsh	http://example.org/6809321#Topic650-32	
Attachment behavior	http://id.loc.gov/authorities/subjects/sh85009379	lcsh	http://example.org/6704099#Topic650-33	
Adulthood--Psychological aspects	http://id.loc.gov/authorities/subjects/sh2007100673	lcsh	http://example.org/6704099#Topic650-34	
Attachment behavior	http://id.loc.gov/authorities/subjects/sh85009379	lcsh	http://example.org/6799208#Topic650-28	
Adulthood--Psychological aspects	http://id.loc.gov/authorities/subjects/sh2007100673	lcsh	http://example.org/6799208#Topic650-29	
Practical nursing	http://id.loc.gov/authorities/subjects/sh85106046	lcsh	http://example.org/6755332#Topic650-35	
Nursing care		mesh	http://example.org/6755332#Topic650-36	
ActionScript (Computer program language)	http://id.loc.gov/authorities/subjects/sh00000011	lcsh	http://example.org/6809179#Topic650-32	
Computer animation	http://id.loc.gov/authorities/subjects/sh85029478	lcsh	http://example.org/6809179#Topic650-33	
Application software--Development	http://id.loc.gov/authorities/subjects/sh95009362	lcsh	http://example.org/6752405#Topic650-31	
Mobile computing	http://id.loc.gov/authorities/subjects/sh95004596	lcsh	http://example.org/6752405#Topic650-32	
Wireless communication systems	http://id.loc.gov/authorities/subjects/sh92006740	lcsh	http://example.org/6752405#Topic650-33	
Nursing Assessment--methods		mesh	http://example.org/6790622#Topic650-24	
Diagnosis, Differential	http://id.loc.gov/authorities/subjects/sh85037493	mesh	http://example.org/6790622#Topic650-25	
Nurse practitioners	http://id.loc.gov/authorities/subjects/sh85093316	mesh	http://example.org/6790622#Topic650-26	
Composite materials--Congresses	http://id.loc.gov/authorities/subjects/sh2008100282	lcsh	http://example.org/6855798#Topic650-29	
