Column 1	matched_ID	ID	score (0.8)	Column 2	Column 3	Column 4	blank
Kaftarian, Shakeh J	7556531	75565317	0.95	Person		http://example.org/6803178#Agent700-31	
Wandersman, Abraham	1040192	10401923	0.95	Person		http://example.org/6803178#Agent700-32	
Bijlefeld, Marjolijn, 1960-	4357737	43577370	1	Person		http://example.org/6802350#Agent100-18	
Zoumbaris, Sharon K., 1955-	6523991	65239919	1	Person		http://example.org/6802350#Agent700-33	
Platt, Charles	130943717		1	Person		http://example.org/6784470#Agent100-16	
Jansson, Fredrik				Person		http://example.org/6784470#Agent700-30	
Leszczak, Bob, 1959-	27005297	270052970	1	Person		http://example.org/6789285#Agent100-20	
Jones, Mari C	2228377	22283772	0.9285714286	Person		http://example.org/6803123#Agent700-33	
Torabinejad, Mahmoud	422514894791306000000	4.22514894791306E+021	1	Person		http://example.org/6658906#Agent100-13	
Fouad, Ashraf F	26546727	26546727;86122590;313512636	0.9375	Person		http://example.org/6658906#Agent700-27	
Walton, Richard E., 1939-	11087602	110876025	1	Person		http://example.org/6658906#Agent700-28	
Lu, Xing				Person		http://example.org/6786221#Agent700-26	
Echegoyen, Luis	31260188		1	Person		http://example.org/6786221#Agent700-27	
Balch, Alan L	43025357	43025357;202801534	0.9285714286	Person		http://example.org/6786221#Agent700-28	
Nagase, Shigeru	27359772	27359772;	0.9375	Person		http://example.org/6786221#Agent700-29	
Akasaka, Takeshi	5223907	5223907;;	0.9411764706	Person		http://example.org/6786221#Agent700-30	
Hawes, Robert H	23854957	23854957;;81802191	0.9375	Person		http://example.org/6665381#Agent700-34	
Fockens, Paul	26612628	266126289	1	Person		http://example.org/6665381#Agent700-35	
Varadarajulu, Shyam	311793144	311793144;306359954	1	Person		http://example.org/6665381#Agent700-36	
Meléndez Herrera, Esperanza	30983019	309830190	1	Person		http://example.org/6812763#Agent700-28	
Phillips-Farfán, Bryan V	30983019	309830191	0.96	Person		http://example.org/6812763#Agent700-29	
Gutiérrez Ospina, Gabriel	30983019	309830192	1	Person		http://example.org/6812763#Agent700-30	
Smith, W. Rand, 1947-	742808	7428080	0.84	Person		http://example.org/6758323#Agent100-14	
Müller, Rolf-Dieter, 1948-	11040770	110407705	1	Person		http://example.org/6810993#Agent100-19	
Hitler, Adolf, 1889-1945	38190770		0.96	Person		http://example.org/6810993#Agent600-32	
Banks, Ferdinand E	10952680	109526800	0.9473684211	Person		http://example.org/6076037#Agent100-16	
Boeri, Andrea	6868549	68685493;215897767	1	Person		http://example.org/6775520#Agent100-22	
Antonini, Ernesto	4950931	49509312;;	1	Person		http://example.org/6775520#Agent700-36	
Gaspari, Jacopo	2703148947905850000000	2703148947905854950009;114147422858144880510	1	Person		http://example.org/6775520#Agent700-37	
Longo, Danila	25742664	257426648;305691571	1	Person		http://example.org/6775520#Agent700-38	
Khalil, Heba Allah Essam E	315183421	315183421;200145541775696600390	0.962962963	Person		http://example.org/6812781#Agent100-14	
Khalil, E. E				Person		http://example.org/6812781#Agent700-31	
Sheng, Zhengguo	30495838	304958384	0.9375	Person		http://example.org/6808965#Agent700-32	
Liu, Chi Harold	31519894	315198943	1	Person		http://example.org/6808965#Agent700-33	
Sørensen, Bent, 1941-	4182196	41821963	0.84	Person		http://example.org/6748921#Agent100-14	
Halff, Antoine	31350503	313505037;207075271;316805845	1	Person		http://example.org/6799739#Agent700-29	
Sovacool, Benjamin K	49009264	49009264;;4938149068538265730006	0.9523809524	Person		http://example.org/6799739#Agent700-30	
Rozhon, Jon	31350501	313505014;316805846;315097126	1	Person		http://example.org/6799739#Agent700-31	
Prentiss, Mara Goff	5898733	58987337;264149366556785602877	1	Person		http://example.org/6812440#Agent100-18	
Kularantna, Nihal				Person		http://example.org/6809386#Agent100-18	
Du, Pengwei, 1975-	31070950	310709503	0.8181818182	Person		http://example.org/6784431#Agent100-18	
Lu, Ning, 1972 February-	31070950	310709504	1	Person		http://example.org/6784431#Agent700-33	
Energy Technology and CO₂ Management (Symposium) (2015 : Orlando, Florida)				Meeting		http://example.org/6855799#Agent111-19	
Energy Committee of the Extraction &amp; Processing Division				Organization		http://example.org/6855799#Agent710-33	
Light Metals Division				Organization		http://example.org/6855799#Agent710-34	
Batsell, Jake	28127845	281278453;317060540	1	Person		http://example.org/6812937#Agent100-18	
Garfield, Jay L., 1955-	10925040	109250406	0.8518518519	Person		http://example.org/6799308#Agent100-16	
Wages, Michele, 1965-	31071083	310710831	1	Person		http://example.org/6775981#Agent100-18	
Braithwaite, Dawn O	78108643	78108643;107483758	0.95	Person		http://example.org/6785825#Agent700-34	
Schrodt, Paul	794601	7946011	1	Person		http://example.org/6785825#Agent700-35	
Dowd, Alicia C	311769367	311769367;144144647644559873946	0.9333333333	Person		http://example.org/6815364#Agent100-19	
Bensimon, Estela Mara	9141226	91412269	1	Person		http://example.org/6815364#Agent700-38	
Iwi, Kate, 1967-	12808740	128087405	1	Person		http://example.org/6802816#Agent100-21	
Newman, Chris, 1956-	12340071	123400712	1	Person		http://example.org/6802816#Agent700-34	
Cohen, Rina, 1947-	10498005	104980053	1	Person		http://example.org/6849948#Agent700-37	
Man, Guida, 1957-	31489432	314894323	1	Person		http://example.org/6849948#Agent700-38	
Pourhashemi, Ali	30419771	304197710	0.9411764706	Person		http://example.org/6786271#Agent700-26	
Zaikov, G. E. (Gennadiĭ Efremovich), 1935-	4691137	46911375	1	Person		http://example.org/6786271#Agent700-27	
Haghi, A. K	8624526	86245265	0.8181818182	Person		http://example.org/6786271#Agent700-28	
Gupta, K. M				Person		http://example.org/6802721#Agent100-19	
Gupta, K. M				Person		http://example.org/6748998#Agent100-14	
International Conference on Engineering Optimization (ENGOPT) (2014 : Lisbon, Portugal)				Meeting		http://example.org/6748896#Agent111-14	
Rodrigues, H. C				Person		http://example.org/6748896#Agent700-27	
Herskovits, Janet L	5865476	58654764	0.95	Person		http://example.org/6748896#Agent700-28	
Soares, C. M. Mota				Person		http://example.org/6748896#Agent700-29	
Guedes, J. M				Person		http://example.org/6748896#Agent700-30	
Araújo, A. L				Person		http://example.org/6748896#Agent700-31	
Folgado, J. O				Person		http://example.org/6748896#Agent700-32	
Moleiro, F				Person		http://example.org/6748896#Agent700-33	
Madeira, J. F. A				Person		http://example.org/6748896#Agent700-34	
International Conference on Engineering Optimization (ENGOPT)				Meeting		http://example.org/6748896#Agent711-35	
Spoerri, Marlene	30746309	307463092	1	Person		http://example.org/6758297#Agent100-17	
Mo, John P. T	5348986	53489868	0.8461538462	Person		http://example.org/6809419#Agent100-18	
Bil, Cees	28155647	281556471	1	Person		http://example.org/6809419#Agent700-33	
Sinha, Arvind	5442450	54424502;;	1	Person		http://example.org/6809419#Agent700-34	
Fasano, Anthony	308753615		1	Person		http://example.org/6797166#Agent100-25	
Ellsworth, Blanche, 1902-1997	377618	3776184	1	Person		http://example.org/6804876#Agent100-17	
Higgins, John A	4564516		0.9375	Person		http://example.org/6804876#Agent700-31	
Keller, Arnold, 1943-	2384792	23847922	1	Person		http://example.org/6804876#Agent700-32	
Ivancevic, Tijana	14214699850251900000	1.42146998502519E+020	0.8947368421	Person		http://example.org/6711686#Agent100-13	
Greenberg, Helen				Person		http://example.org/6711686#Agent700-25	
Greenberg, Ronald	28642927		0.85	Person		http://example.org/6711686#Agent700-26	
Brier, Norman M	70820410	70820410;315198552	0.8666666667	Person		http://example.org/6813518#Agent100-26	
West, Emily, 1971-	16094475	160944759	0.8181818182	Person		http://example.org/6815602#Agent100-18	
Srivastava, Sanjay, 1960-	7155336	71553368	0.8620689655	Person		http://example.org/6799317#Agent100-16	
Ballantyne, Tony, 1972-	11761998	117619983	0.8518518519	Person		http://example.org/6813059#Agent100-19	
Simon, Alan R				Person		http://example.org/6784702#Agent100-18	
Xu, Li D	47937553		0.8888888889	Person		http://example.org/6808919#Agent100-20	
Lauras, Matthieu	17331550	173315503;;107817482	1	Person		http://example.org/6797120#Agent700-38	
Van Wyk, Kenneth R	62448370	62448370;313511652	0.9473684211	Person		http://example.org/6784356#Agent100-18	
Graff, Mark G	55091377	55091377;313511650	0.8461538462	Person		http://example.org/6784356#Agent700-33	
Peters, Dan S	31350498	313504983	0.9285714286	Person		http://example.org/6784356#Agent700-34	
Burley, Diana L	8144782935221870000	8144782935221868587;313504984	0.9375	Person		http://example.org/6784356#Agent700-35	
Timm Knudsen, Britta	4649107	46491079	1	Person		http://example.org/6711058#Agent700-30	
Christensen, Dorthe Refslund	1950246	19502463;;312603555	1	Person		http://example.org/6711058#Agent700-31	
Blenker, Per	30743114	307431148;307221788;191803013	1	Person		http://example.org/6711058#Agent700-32	
Sapsis, Bill	30875241	308752412	1	Person		http://example.org/6713383#Agent700-30	
Andrus, Jennifer	31518723	315187239;313553207;7546149368856085980003	1	Person		http://example.org/6799779#Agent100-15	
Ritter, Archibald R. M	45448263	45448263;290145857879423020114	0.9565217391	Person		http://example.org/6804832#Agent100-17	
Henken, Ted	30975563	309755637	1	Person		http://example.org/6804832#Agent700-32	
Gibbons, Gary E	30982214		0.9375	Person		http://example.org/6774379#Agent100-12	
Hisrich, Robert D	55405024	55405024;315205583;	0.9444444444	Person		http://example.org/6774379#Agent700-24	
DaSilva, Carlos M	313438522	313438522;309822139	0.9444444444	Person		http://example.org/6774379#Agent700-25	
Rae, David, 1960-	2903616	29036160	1	Person		http://example.org/6796972#Agent700-30	
Wang, Catherine L	63956531	63956531;311348606;251928343	0.9444444444	Person		http://example.org/6796972#Agent700-31	
Brown, Paul B	10032553		0.9285714286	Person		http://example.org/6849490#Agent100-18	
Zou, Shaoming	16891007	168910073;;18435398	1	Person		http://example.org/6811116#Agent700-36	
Xu, Hui				Person		http://example.org/6811116#Agent700-37	
Shi, Linda Hui	31594447	315944476	1	Person		http://example.org/6811116#Agent700-38	
Bygrave, William D., 1937-	9409133	94091332	0.8965517241	Person		http://example.org/6768817#Agent100-12	
Zacharakis, Andrew	287146997390219000000	287146997390218892556;193344107	1	Person		http://example.org/6768817#Agent700-25	
Wise, Sean, 1970-	16904435	169044351	1	Person		http://example.org/6768817#Agent700-26	
Barsky, Eugene, 1974-	8626521	86265217	0.84	Person		http://example.org/6752364#Agent100-18	
Croft, Cindy	1664051	16640511;316009056	1	Person		http://example.org/6812798#Agent700-26	
Spellman, Frank R	24774307	24774307;117262387	0.9444444444	Person		http://example.org/6786261#Agent100-15	
Dupont, Jairton	26599174	26599174;	0.9375	Person		http://example.org/6748929#Agent700-28	
Itoh, Toshiyuki, 1954-	31061558	310615588	1	Person		http://example.org/6748929#Agent700-29	
Lozano, Pedro (Biochemistry professor)	31061558	310615589	1	Person		http://example.org/6748929#Agent700-30	
Malhotra, Sanjay V	923240	9232406	0.9473684211	Person		http://example.org/6748929#Agent700-31	
Bryliakov, Konstantin	22514591106292700000	225145911062927060927;308756855	1	Person		http://example.org/6798607#Agent100-18	
Belcham, Adrian	30982892	309828927	1	Person		http://example.org/6802736#Agent100-19	
Nilsson, Mats, 1964-	30984770	309847707	1	Person		http://example.org/6749005#Agent700-31	
Bengtsson, Jörgen	309847754	309847754;	0.8888888889	Person		http://example.org/6749005#Agent700-32	
Klæboe, Ronny	2914597148433230000	2.91459714843323E+019	1	Person		http://example.org/6749005#Agent700-33	
Pepper, Ian L	44415850	44415850;311794906;114736374	0.9285714286	Person		http://example.org/6734302#Agent100-14	
Gerba, Charles P., 1945- 	1238248	12382488	0.8571428571	Person		http://example.org/6734302#Agent700-31	
Gentry, Terry J	308729684	308729684;314915559;311794908	0.9375	Person		http://example.org/6734302#Agent700-32	
Below, Amy	31061244	310612442;	1	Person		http://example.org/6807486#Agent100-19	
Pandian, T. J	4457828	44578287	0.9285714286	Person		http://example.org/6786268#Agent100-14	
Pandian, T. J	4457828	44578287	0.9285714286	Person		http://example.org/6786268#Agent800-33	
Pandian, T. J	4457828	44578287	0.9285714286	Person		http://example.org/6798648#Agent100-18	
Winstanley-Chesters, Robert, 1975-	31071270	310712700	0.9189189189	Person		http://example.org/6815640#Agent100-17	
Sutton, Roy				Person		http://example.org/6809311#Agent100-16	
EPD Congress (2015 : Orlando, Florida)				Meeting		http://example.org/6855808#Agent111-17	
Yurko, James	16996284		0.8	Person		http://example.org/6855808#Agent700-33	
Meyer, Stephen C., 1963-	6669312	66693121	1	Person		http://example.org/6799224#Agent100-20	
LeHoullier, Craig	30985635	309856357	1	Person		http://example.org/6774257#Agent100-16	
Moshman, David	4210037	42100371;305755118;108838709	1	Person		http://example.org/6798481#Agent100-24	
Southwood, Louise L	27845519	278455194	0.95	Person		http://example.org/6789440#Agent700-31	
Wilkins, Pamela	3827145856965720000000	3827145856965722920341;309829782	0.8333333333	Person		http://example.org/6789440#Agent700-32	
Fielding, C. Langdon	31487012	314870129	1	Person		http://example.org/6797177#Agent700-41	
Magdesian, K. Gary	15014554242679700000	150145542426796640761;	1	Person		http://example.org/6797177#Agent700-42	
Bentz, Bradford G	4367003	43670036	0.9444444444	Person		http://example.org/6706337#Agent700-33	
Cole, Cynthia (Cynthia Ann), 1961-	30983068	309830684	1	Person		http://example.org/6706337#Agent700-34	
Maxwell, Lara (Lara K.)	30983062	309830626	1	Person		http://example.org/6706337#Agent700-35	
Bentovim, Arnon	4073428	40734288	0.9375	Person		http://example.org/6709787#Agent700-27	
Gray, Jenny	14314916		1	Person		http://example.org/6709787#Agent700-28	
Cotton, Peter B	9971811		0.9375	Person		http://example.org/6797152#Agent700-44	
Leung, J. W. C	905074	9050740	0.9333333333	Person		http://example.org/6797152#Agent700-45	
Laclau, Ernesto, 1935-2014	5665849	56658491	1	Person		http://example.org/6773614#Agent100-22	
Howarth, David R	11723150		0.9411764706	Person		http://example.org/6773614#Agent700-37	
Norton, Sarah				Person		http://example.org/6799403#Agent100-17	
Green, Brian, 1950-	94500749		1	Person		http://example.org/6799403#Agent700-48	
Dynes, Rhonda	30637851	306378511	1	Person		http://example.org/6799403#Agent700-49	
Lackey, Jennifer	1506684	15066846	1	Person		http://example.org/6799300#Agent700-30	
Lim, Boon Keng, 1869-1957	968823	9688235	1	Person		http://example.org/6755034#Agent100-18	
Lim, Boon Keng, 1869-1957	968823	9688235	1	Person		http://example.org/6755034#Agent600-30	
Lim, Boon Keng, 1869-1957	968823	9688235	1	Person		http://example.org/6755034#Agent700-34	
Yan, Chunbao	18366061	183660616;	1	Person		http://example.org/6755034#Agent700-35	
Germak, Andrew J	30981829	309818298	0.9411764706	Person		http://example.org/6789401#Agent100-22	
Moore, Keith L	73929927		0.9333333333	Person		http://example.org/6796392#Agent100-19	
Agur, A. M. R	10081480	10081480;;	0.8461538462	Person		http://example.org/6796392#Agent700-35	
Dalley, Arthur F., II	3212115	32121151	1	Person		http://example.org/6796392#Agent700-36	
Moore, Keith L	73929927		0.9333333333	Person		http://example.org/6796392#Agent700-37	
Morin, Jean-Frédéric	224114018		1	Person		http://example.org/6658086#Agent700-36	
Orsini, Amandine	4462149368889590000000	4462149368889585980006;311455990	1	Person		http://example.org/6658086#Agent700-37	
Sullivan, Nancy, 1949-	8846502	88465028;	1	Person		http://example.org/6805367#Agent100-18	
Clark, Randy	1405217	14052172;;	1	Person		http://example.org/6859084#Agent100-12	
Kuroda, Takao	29492680		1	Person		http://example.org/6808954#Agent100-18	
Kuroda, Takao	29492680		1	Person		http://example.org/6798601#Agent100-18	
Potter, Patricia Ann	94925808	94925808;;	0.9523809524	Person		http://example.org/6742680#Agent700-35	
Perry, Anne Griffin	108442790	108442790;172051701	1	Person		http://example.org/6742680#Agent700-36	
Stockert, Patricia A	46201269	46201269;	0.9523809524	Person		http://example.org/6742680#Agent700-37	
Hall, Amy (Amy M.)	16374808	163748089;	1	Person		http://example.org/6742680#Agent700-38	
Nevid, Jeffrey S	2978177	29781774	0.9411764706	Person		http://example.org/6771823#Agent100-15	
Greene, Beverly	8614646255242780000	8.61464625524278E+019	1	Person		http://example.org/6771823#Agent700-31	
Johnson, Paul A				Person		http://example.org/6771823#Agent700-32	
Taylor, Steven, 1960-	266247119	266247119;	0.875	Person		http://example.org/6771823#Agent700-33	
MacNab, Melanie	30981699	309816996	1	Person		http://example.org/6771823#Agent700-34	
Carr, Tracey				Person		http://example.org/6771823#Agent700-35	
Wilmshurst, Linda	2806326	2806326;	0.9444444444	Person		http://example.org/6798559#Agent100-19	
Chandrasekaran, K	38235181	38235181;;	0.85	Person		http://example.org/6786229#Agent100-14	
Edberg, Mark Cameron, 1955-	8525696	85256962	1	Person		http://example.org/6503553#Agent100-19	
Green, Michelle A	65780587	65780587;	0.9444444444	Person		http://example.org/6861336#Agent100-15	
Bowie, Mary Jo	2154180	21541809	1	Person		http://example.org/6861336#Agent700-36	
Balgrosky, Jean A	30743520	307435205	0.9444444444	Person		http://example.org/6713737#Agent100-20	
Marieb, Elaine Nicpon, 1936-	6162772	61627721	0.875	Person		http://example.org/6466380#Agent100-13	
Tyson, S. (Shaun)	9783	97833;109271268	1	Person		http://example.org/6773350#Agent100-19	
Strohfeldt-Venables, Katja	309818162	309818162;	0.962962963	Person		http://example.org/6802835#Agent100-22	
Strohfeldt-Venables, Katja	309818162	309818162;	0.962962963	Person		http://example.org/6812123#Agent100-25	
Laudon, Kenneth C., 1944-	8540248	85402487	0.8620689655	Person		http://example.org/6628641#Agent100-11	
Laudon, Jane Price.	29643448			Person		http://example.org/6628641#Agent700-25	
Malhotra, Naresh K	180684	180684;103291036;	0.9473684211	Person		http://example.org/6668389#Agent100-13	
Woodrow, Ruth	11415943	114159430	1	Person		http://example.org/6700689#Agent100-20	
Colbert, Bruce J	7063614	70636147	0.9411764706	Person		http://example.org/6700689#Agent700-38	
Smith, David M. (Pharmacist)	23257167	232571672	1	Person		http://example.org/6700689#Agent700-39	
Frontera, Walter R., 1955-	8449458	84494587	1	Person		http://example.org/6676978#Agent700-35	
Silver, J. K. (Julie K.), 1965-	11611065	116110651	1	Person		http://example.org/6676978#Agent700-36	
Rizzo, Thomas D., 1959-	5115011	51150110	1	Person		http://example.org/6676978#Agent700-37	
Pauwelussen, J. P. (Joop P.)	27825391	278253917;115083893	1	Person		http://example.org/6784453#Agent100-18	
Hogan, Cormac	15414464769499300000	1.54144647694993E+020	1	Person		http://example.org/6659385#Agent100-18	
Epping, Duncan	29688548	296885488	0.9333333333	Person		http://example.org/6659385#Agent700-33	
Engelhardt, Diane	23286372	232863726;305320550	1	Person		http://example.org/6859017#Agent100-21	
Aschheim, Kenneth W	77878558	77878558;305287324;112836493	0.95	Person		http://example.org/6811248#Agent700-40	
Nanda, Ravindra	61838493	61838493;	0.9375	Person		http://example.org/6606836#Agent700-39	
Nanda, Ravindra	61838493	61838493;	0.9375	Person		http://example.org/6606836#Agent700-40	
Baloch, Rafay	30742910	307429106	1	Person		http://example.org/6798823#Agent100-19	
Fromm, Megan	30742960	307429609	1	Person		http://example.org/6789574#Agent100-21	
Allen, Nicholas				Person		http://example.org/6801968#Agent100-24	
Birch, Sarah	10311953	103119531;;	1	Person		http://example.org/6801968#Agent700-38	
Knight, S. Patricia	10665854	106658549	1	Person		http://example.org/6858926#Agent100-19	
Zion, Lawrie	309821325	309821325;	0.9230769231	Person		http://example.org/6709997#Agent700-32	
Craig, David				Person		http://example.org/6709997#Agent700-33	
LeCompte, Margaret Diane	10852611	108526115	1	Person		http://example.org/6083923#Agent100-19	
Schensul, Jean J	16186194	161861945	0.9411764706	Person		http://example.org/6083923#Agent700-33	
Holbrook, J. Britt	12145192839070400000	12145192839070410243;9146513485132212769	1	Person		http://example.org/6752991#Agent700-37	
Mitcham, Carl	248824959	248824959;279178260	1	Person		http://example.org/6752991#Agent700-38	
Jakobsen, Michael (Economist)	1290576	12905763;130149366009785600591	1	Person		http://example.org/6802749#Agent100-23	
Nanda, Aparajita	15999828	159998282	1	Person		http://example.org/6807505#Agent700-35	
Pires, Guilherme D	10136648	10136648;118890139	0.9473684211	Person		http://example.org/6774251#Agent100-18	
Stanton, John L	3474455		0.9375	Person		http://example.org/6774251#Agent700-32	
Cooper, Elizabeth, 1976-	25862853	258628537	1	Person		http://example.org/6735592#Agent700-44	
Pratten, David	56450754		0.9333333333	Person		http://example.org/6735592#Agent700-45	
Hine, Christine	305665673	305665673;316605027	1	Person		http://example.org/6774611#Agent100-21	
Eurasian Union				Organization		http://example.org/6807503#Agent610-44	
Dutkiewicz, Piotr	56708600		1	Person		http://example.org/6807503#Agent700-49	
Sakwa, Richard	27546518	275465180	1	Person		http://example.org/6807503#Agent700-50	
Glazyev, Sergei				Person		http://example.org/6807503#Agent700-51	
Lukyanov, Fyodor	841614727048363000000		1	Person		http://example.org/6807503#Agent700-52	
Shaolei, Feng				Person		http://example.org/6807503#Agent700-53	
Sultanov, Bulat, 				Person		http://example.org/6807503#Agent700-54	
Andreev, Pavel	29769437		1	Person		http://example.org/6807503#Agent700-55	
Rabasa, Angel	11913964	119139645	1	Person		http://example.org/6786648#Agent100-18	
Benard, Cheryl, 1953-	11083346	110833460	0.84	Person		http://example.org/6786648#Agent700-35	
Van Der Merwe, Cornelius	7843546		0.9583333333	Person		http://example.org/6849294#Agent700-24	
European Union				Organization		http://example.org/6861476#Agent610-32	
Vollaard, Hans	315565630	315565630;7209149368854585980002	1	Person		http://example.org/6861476#Agent700-37	
Beyers, Jan	166720653		0.9166666667	Person		http://example.org/6861476#Agent700-38	
Dumont, Patrick	4972973		1	Person		http://example.org/6861476#Agent700-39	
Jikeli, Günther	29394830	293948307;	1	Person		http://example.org/6849839#Agent100-19	
Dølvik, Jon Erik	16570364	165703644;305074015;211192463	1	Person		http://example.org/6799838#Agent700-31	
Martin, Andrew, 1929-	116762382		0.84	Person		http://example.org/6799838#Agent700-32	
European Union				Organization		http://example.org/6769149#Agent610-28	
Niţoiu, Cristian	317190930	317190930;;	0.9375	Person		http://example.org/6769149#Agent700-31	
Tomić, Nikola				Person		http://example.org/6769149#Agent700-32	
Studer, Roman	5614280	56142809	1	Person		http://example.org/6807476#Agent100-25	
Lunt, Ingrid	1993075	19930758	0.9230769231	Person		http://example.org/6678465#Agent100-21	
Poortinga, Ype H., 1939- 	27969740	279697407	0.8571428571	Person		http://example.org/6678465#Agent700-36	
Roe, R. A. (Robert A.)	233327575		1	Person		http://example.org/6678465#Agent700-37	
Peiró, José M. (José María)	11482825		1	Person		http://example.org/6678465#Agent700-38	
Lunt, Ingrid	1993075	19930758	0.9230769231	Person		http://example.org/6679177#Agent100-17	
Poortinga, Ype H., 1939- 	27969740	279697407	0.8571428571	Person		http://example.org/6679177#Agent700-30	
Roe, R. A. (Robert A.)	233327575		1	Person		http://example.org/6679177#Agent700-31	
Peiró, José M. (José María)	11482825		1	Person		http://example.org/6679177#Agent700-32	
Haerens, Margaret	16707623	167076233	0.9444444444	Person		http://example.org/6804878#Agent700-36	
Orlikoff, Robert F	27671761	276717618	0.9473684211	Person		http://example.org/6571158#Agent100-20	
Schiavetti, Nicholas, 1943-	127696	1276965	1	Person		http://example.org/6571158#Agent700-40	
Metz, Dale Evan	3373278	33732789	1	Person		http://example.org/6571158#Agent700-41	
Dennison, Robin	171035	1710352;;	1	Person		http://example.org/6796479#Agent100-20	
Rosselli, John (John Gary), 1970-	30823362	308233625	1	Person		http://example.org/6796479#Agent700-33	
Dempsey, Anita	30823348	308233486	1	Person		http://example.org/6796479#Agent700-34	
Secrétariat canadien de consultation scientifique				Organization		http://example.org/6810838#Agent710-32	
Canada. Ministère des pêches et des océans. Région de Terre-Neuve et du Labrador				Jurisdiction		http://example.org/6810838#Agent710-33	
Fink, Arlene	3949099	39490992	0.9230769231	Person		http://example.org/6543998#Agent100-17	
Désérable, François-Henri	7662843	76628431;3147602538057641913	1	Person		http://example.org/6811374#Agent100-12	
Liu, Shih-Chii	27328928	273289282;947145858286823022805;309732351	1	Person		http://example.org/6797176#Agent700-33	
Levine, David M., 1946-	6772788	67727882	1	Person		http://example.org/6784658#Agent100-18	
Stephan, David				Person		http://example.org/6784658#Agent700-34	
Fleming, Noah	30823160	308231609	1	Person		http://example.org/6805621#Agent100-18	
Mills, Nicolaus	310666034	310666034;108925242	1	Person		http://example.org/6803103#Agent100-17	
United States Military Academy				Organization		http://example.org/6803103#Agent610-26	
United States Naval Academy				Organization		http://example.org/6803103#Agent610-27	
Army-Navy Football Game				Meeting		http://example.org/6803103#Agent611-28	
Wilson, Kevin (Kevin Peter)	30824440		1	Person		http://example.org/6809271#Agent100-16	
Blatterer, Harry	190316	1903164	0.9411764706	Person		http://example.org/6807454#Agent100-18	
Gross, Andrew, 1952-	1992592	19925927;	1	Person		http://example.org/6815214#Agent100-8	
Schmidt, Nola A	27412236	274122364	0.9375	Person		http://example.org/6803449#Agent700-34	
Brown, Janet M. (Janet Marie), 1947-	2899267	28992679	1	Person		http://example.org/6803449#Agent700-35	
Melnyk, Bernadette Mazurek	26973191	269731914	1	Person		http://example.org/6707560#Agent100-20	
Fineout-Overholt, Ellen	27981414	279814140	1	Person		http://example.org/6707560#Agent700-36	
O'Hare, Thomas	14174374	14174374;	1	Person		http://example.org/6789336#Agent100-16	
European Conference on Product and Process Modelling (10th : 2014 : Vienna, Austria)				Meeting		http://example.org/6712240#Agent111-14	
Mahdavi, A. (Ardeshir)	16962051	169620518;	1	Person		http://example.org/6712240#Agent700-28	
Martens, Bob	3509607	35096073;;	1	Person		http://example.org/6712240#Agent700-29	
Scherer, R. J. (Raimar J.)	5517506	5517506;	0.9615384615	Person		http://example.org/6712240#Agent700-30	
European Conference on Product and Process Modelling				Meeting		http://example.org/6712240#Agent711-31	
Thill, John V	1127363	11273631	0.9285714286	Person		http://example.org/6696892#Agent100-15	
Bovée, Courtland L	62472460	62472460;;110876311	0.9473684211	Person		http://example.org/6696892#Agent700-27	
Cross, Ava, 1951-	10611120	106111209	1	Person		http://example.org/6696892#Agent700-28	
Giroux, Gary A	94342883	94342883;772145858086923021865;192650139	0.9333333333	Person		http://example.org/6800019#Agent100-16	
Nolan, Richard L	5538723	55387232	0.9411764706	Person		http://example.org/6813463#Agent100-25	
McArdle, William D	12486246	12486246;85579597	0.9473684211	Person		http://example.org/6709715#Agent100-24	
Katch, Frank I	44479345	44479345;172563718;24145424144486791052	0.9333333333	Person		http://example.org/6709715#Agent700-40	
Katch, Victor L	1002804	10028044	0.9375	Person		http://example.org/6709715#Agent700-41	
Redhead, Robin	30982562	309825620;184144782701772736994;6535149368807385980004	1	Person		http://example.org/6755995#Agent100-16	
Westra, Richard, 1954-	2891344	28913442	0.8461538462	Person		http://example.org/6773900#Agent100-19	
Granfield, Robert, 1955-	10374856	103748569;;	1	Person		http://example.org/6773360#Agent700-31	
Reinarman, Craig	4945616	49456163;113144814446045734316;109741991	1	Person		http://example.org/6773360#Agent700-32	
El-Kogali, Safaa	31071412	310714126;;257149366211685601196	1	Person		http://example.org/6849324#Agent100-17	
Krafft, Carolyn				Person		http://example.org/6849324#Agent700-33	
Brunsma, David L	76428658	76428658;;115599917	0.9411764706	Person		http://example.org/6803417#Agent700-31	
Iyall Smith, Keri E., 1973-	305514585700942000000	3.05514585700942E+021	0.962962963	Person		http://example.org/6803417#Agent700-32	
Gran, Brian, 1963-	43771498	43771498;	0.8181818182	Person		http://example.org/6803417#Agent700-33	
Ratcliffe, Matthew, 1973-	8046696	80466966	0.8620689655	Person		http://example.org/6768916#Agent100-19	
LaFave, Kenneth	7561992	75619923	1	Person		http://example.org/6799181#Agent100-16	
Bernstein, Leonard, 1918-1990	7157711		0.9666666667	Person		http://example.org/6799181#Agent600-27	
Honig, Alice S	112319674	112319674;309718230;425146998509718941849	0.9333333333	Person		http://example.org/6758218#Agent100-11	
Schroeder, David P., 1946-	11587242	115872428	1	Person		http://example.org/6855933#Agent100-21	
Tchaikovsky, Peter Ilich, 1840-1893	9925815	99258155;;	1	Person		http://example.org/6855933#Agent600-33	
