LC	LC-ID	ID	Value	ID1	LC-P	LCP-ID	Column 2	Column 3	Column 4	blank
Ghanem, Waddah	http://id.loc.gov/authorities/names/n2011077599	http://id.loc.gov/authorities/names/n2011077599	Ghanem, Waddah	http://id.loc.gov/authorities/names/n2011077599	Ghanem, Waddah,		Person		http://example.org/6812765#Agent700-30	
Maharaj, Rohanie	http://id.loc.gov/authorities/names/n2011077598	http://id.loc.gov/authorities/names/n2011077598	Maharaj, Rohanie	http://id.loc.gov/authorities/names/n2011077598	Maharaj, Rohanie	n2011077598	Person		http://example.org/6812765#Agent700-31	
Grenier, Robert (Robert L.)	http://id.loc.gov/authorities/names/no2012097936	http://id.loc.gov/authorities/names/no2012097936	Grenier, Robert (Robert L.)	http://id.loc.gov/authorities/names/no2012097936	Grenier, Robert (Robert L.)	no2012097936	Person		http://example.org/6815424#Agent100-19	
Grenier, Robert (Robert L.)	http://id.loc.gov/authorities/names/no2012097936	http://id.loc.gov/authorities/names/no2012097936	Grenier, Robert (Robert L.)	http://id.loc.gov/authorities/names/no2012097936	Grenier, Robert (Robert L.)	no2012097936	Person		http://example.org/6815424#Agent600-32	
United States. Central Intelligence Agency	http://id.loc.gov/authorities/names/n79099301	http://id.loc.gov/authorities/names/n79099301	United States. Central Intelligence Agency	http://id.loc.gov/authorities/names/n79099301	United States. Central Intelligence Agency		Jurisdiction		http://example.org/6815424#Agent610-33	
Duckworth, Cheryl Lynn	http://id.loc.gov/authorities/names/n2010052707	http://id.loc.gov/authorities/names/n2010052707	Duckworth, Cheryl Lynn	http://id.loc.gov/authorities/names/n2010052707	Duckworth, Cheryl Lynn	n2010052707	Person		http://example.org/6783898#Agent100-29	
Low, Adam, 1982-	http://id.loc.gov/authorities/names/n2014184974	http://id.loc.gov/authorities/names/n2014184974	Low, Adam, 1982-	http://id.loc.gov/authorities/names/n2014184974	Low, Adam, 1982-	n2014184974	Person		http://example.org/6774241#Agent700-36	
Hulme, Jonathan, 1974-	http://id.loc.gov/authorities/names/n2014184975	http://id.loc.gov/authorities/names/n2014184975	Hulme, Jonathan, 1974-	http://id.loc.gov/authorities/names/n2014184975	Hulme, Jonathan, 1974-	n2014184975	Person		http://example.org/6774241#Agent700-37	
Morgan, Adam.		http://id.loc.gov/authorities/names/n2011036726	Morgan, Adam	http://id.loc.gov/authorities/names/n2011036726	Morgan, Adam.		Person		http://example.org/6802859#Agent100-20	
Barden, Mark	http://id.loc.gov/authorities/names/no2003096206	http://id.loc.gov/authorities/names/no2003096206	Barden, Mark	http://id.loc.gov/authorities/names/no2003096206	Barden, Mark	no2003096206	Person		http://example.org/6802859#Agent700-35	
Garris Molly			Garris, Molly		Garris, Molly.,		Person		http://example.org/6813098#Agent100-16	
Mishra, Karen E.	http://id.loc.gov/authorities/names/n2012048642	http://id.loc.gov/authorities/names/n2012048642	Mishra, Karen E.	http://id.loc.gov/authorities/names/n2012048642	Mishra, Karen E.	n2012048642	Person		http://example.org/6813098#Agent700-33	
Galbraith, Niall	http://id.loc.gov/authorities/names/nb2012010717	http://id.loc.gov/authorities/names/nb2012010717	Galbraith, Niall	http://id.loc.gov/authorities/names/nb2012010717	Galbraith, Niall	nb2012010717	Person		http://example.org/6710554#Agent700-31	
Mash, Eric J.	http://id.loc.gov/authorities/names/n50043656	http://id.loc.gov/authorities/names/n50043656	Mash, Eric J.	http://id.loc.gov/authorities/names/n50043656	Mash, Eric J.	n50043656	Person		http://example.org/6799397#Agent100-12	
Wolfe, David A. (David Allen), 1951-	http://id.loc.gov/authorities/names/n85273001	http://id.loc.gov/authorities/names/n85273001	Wolfe, David A. (David Allen), 1951-	http://id.loc.gov/authorities/names/n85273001	Wolfe, David A. (David Allen), 1951-	n85273001	Person		http://example.org/6799397#Agent700-27	
Barlow, David H.	http://id.loc.gov/authorities/names/n80079770	http://id.loc.gov/authorities/names/n80079770	Barlow, David H.	http://id.loc.gov/authorities/names/n80079770	Barlow, David H.	n80079770	Person		http://example.org/6638281#Agent100-15	
Durand, Vincent Mark	http://id.loc.gov/authorities/names/n86808430	http://id.loc.gov/authorities/names/n86808430	Durand, Vincent Mark	http://id.loc.gov/authorities/names/n86808430	Durand, Vincent Mark	n86808430	Person		http://example.org/6638281#Agent700-29	
Lalumiere, Martin L.	http://id.loc.gov/authorities/names/n95085289	http://id.loc.gov/authorities/names/n95085289	Lalumiere, Martin L.	http://id.loc.gov/authorities/names/n95085289	Lalumière, Martin L., 1966-,		Person		http://example.org/6638281#Agent700-30	
Stewart Sherry H. (Sherry Heather) 1965-			Stewart, Sherry H. (Sherry Heather), 1965-		Stewart, Sherry H. (Sherry Heather), 1965-,		Person		http://example.org/6638281#Agent700-31	
Ray, William J., 1945-	http://id.loc.gov/authorities/names/n79087683	http://id.loc.gov/authorities/names/n79087683	Ray, William J., 1945-	http://id.loc.gov/authorities/names/n79087683	Ray, William J., 1945-		Person		http://example.org/6799091#Agent100-23	
Watson, Irene (Irene Margaret)	http://id.loc.gov/authorities/names/n2002118953	http://id.loc.gov/authorities/names/n2002118953	Watson, Irene (Irene Margaret)	http://id.loc.gov/authorities/names/n2002118953	Watson, Irene (Irene Margaret)	n2002118953	Person		http://example.org/6755896#Agent100-20	
Watson, Irene (Irene Margaret)	http://id.loc.gov/authorities/names/n2002118953	http://id.loc.gov/authorities/names/n2002118953	Watson, Irene (Irene Margaret)	http://id.loc.gov/authorities/names/n2002118953	Watson, Irene (Irene Margaret)	n2002118953	Person		http://example.org/6755896#Agent700-39	
Rohlinger, Deana A.	http://id.loc.gov/authorities/names/nb2012016923	http://id.loc.gov/authorities/names/nb2012016923	Rohlinger, Deana A.	http://id.loc.gov/authorities/names/nb2012016923	Rohlinger, Deana A.	nb2012016923	Person		http://example.org/6785999#Agent100-28	
Ruurs, Margriet	http://id.loc.gov/authorities/names/n94031042	http://id.loc.gov/authorities/names/n94031042	Ruurs, Margriet	http://id.loc.gov/authorities/names/n94031042	Ruurs, Margriet	n94031042	Person		http://example.org/6803068#Agent100-18	
Harrison, Ted, 1926-	http://id.loc.gov/authorities/names/n81038058	http://id.loc.gov/authorities/names/n81038058	Harrison, Ted, 1926-	http://id.loc.gov/authorities/names/n81038058	Harrison, Ted, 1926-....	n81038058	Person		http://example.org/6803068#Agent600-33	
Gibson, Katherine, 1951-	http://id.loc.gov/authorities/names/n2004089765	http://id.loc.gov/authorities/names/n2004089765	Gibson, Katherine, 1951-	http://id.loc.gov/authorities/names/n2004089765	Gibson, Katherine, 1951-	n2004089765	Person		http://example.org/6803068#Agent700-36	
Harrison, Ted, 1926-	http://id.loc.gov/authorities/names/n81038058	http://id.loc.gov/authorities/names/n81038058	Harrison, Ted, 1926-	http://id.loc.gov/authorities/names/n81038058	Harrison, Ted, 1926-....	n81038058	Person		http://example.org/6803068#Agent700-37	
Fossland, Trine	http://id.loc.gov/authorities/names/n2014078661	http://id.loc.gov/authorities/names/n2014078661	Fossland, Trine	http://id.loc.gov/authorities/names/n2014078661	Fossland, Trine	n2014078661	Person		http://example.org/6808463#Agent700-29	
Mathiasen Helle			Mathiasen, Helle		Mathiasen, Helle,		Person		http://example.org/6808463#Agent700-30	
Solberg Mariann			Solberg, Mariann		Solberg, Mariann,		Person		http://example.org/6808463#Agent700-31	
Sternberg, Robert J.	http://id.loc.gov/authorities/names/n79081284	http://id.loc.gov/authorities/names/n79081284	Sternberg, Robert J.	http://id.loc.gov/authorities/names/n79081284	Sternberg, Robert J.	n79081284	Person		http://example.org/6804063#Agent700-28	
Sellers, De	http://id.loc.gov/authorities/names/n2004103915	http://id.loc.gov/authorities/names/n2004103915	Sellers, De	http://id.loc.gov/authorities/names/n2004103915	Sellers, De,		Person		http://example.org/6697636#Agent100-15	
Dochen, Carol W.	http://id.loc.gov/authorities/names/n2004103936	http://id.loc.gov/authorities/names/n2004103936	Dochen, Carol W.	http://id.loc.gov/authorities/names/n2004103936	Dochen, Carol W.	n2004103936	Person		http://example.org/6697636#Agent700-29	
Hodges, Russ, 1958-	http://id.loc.gov/authorities/names/n2004103920	http://id.loc.gov/authorities/names/n2004103920	Hodges, Russ, 1958-	http://id.loc.gov/authorities/names/n2004103920	Hodges, Russ, 1958-	n2004103920	Person		http://example.org/6697636#Agent700-30	
Bailey, Stephen, 1947-	http://id.loc.gov/authorities/names/nb2004303532	http://id.loc.gov/authorities/names/nb2004303532	Bailey, Stephen, 1947-	http://id.loc.gov/authorities/names/nb2004303532	Bailey, Stephen, 1947-....	nb2004303532	Person		http://example.org/6804836#Agent100-20	
Bottomley, Jane		n85212211	Bottomley, Jane	http://id.loc.gov/authorities/names/n85212211	Bottomley, Jane	n85212211	Person		http://example.org/6665217#Agent100-18	
Herlihy, Barbara	http://id.loc.gov/authorities/names/n89650854	http://id.loc.gov/authorities/names/n89650854	Herlihy, Barbara	http://id.loc.gov/authorities/names/n89650854	Herlihy, Barbara L.	n99800491	Person		http://example.org/6679338#Agent100-17	
American College Counseling Association	http://id.loc.gov/authorities/names/no98096675	http://id.loc.gov/authorities/names/no98096675	American Counseling Association	http://id.loc.gov/authorities/names/n92079013	American Counseling Association.		Organization		http://example.org/6679338#Agent610-29	
Corey, Gerald	http://id.loc.gov/authorities/names/n50016395	http://id.loc.gov/authorities/names/n50016395	Corey, Gerald	http://id.loc.gov/authorities/names/n50016395	Corey, Gerald	n50016395	Person		http://example.org/6679338#Agent700-33	
American Counseling Association	http://id.loc.gov/authorities/names/n92079013	http://id.loc.gov/authorities/names/n92079013	American Counseling Association	http://id.loc.gov/authorities/names/n92079013	American Counseling Association,		Organization		http://example.org/6679338#Agent710-34	
American College Counseling Association	http://id.loc.gov/authorities/names/no98096675	http://id.loc.gov/authorities/names/no98096675	American Counseling Association	http://id.loc.gov/authorities/names/n92079013	American Counseling Association.		Organization		http://example.org/6679338#Agent710-35	
Finnbogason Jack 1942-			Finnbogason, Jack, 1942-		Finnbogason, Jack, 1942-,		Person		http://example.org/6356389#Agent100-13	
Valleau Al 1946-			Valleau, Al, 1946-		Valleau, Al, 1946-,		Person		http://example.org/6356389#Agent700-26	
Altman, Yair M.	http://id.loc.gov/authorities/names/n2011069164	http://id.loc.gov/authorities/names/n2011069164	Altman, Yair M.	http://id.loc.gov/authorities/names/n2011069164	Altman, Yair M.	n2011069164	Person		http://example.org/6786234#Agent100-14	
Raby, Nigel	http://id.loc.gov/authorities/names/nb2005000837	http://id.loc.gov/authorities/names/nb2005000837	Raby, Nigel	http://id.loc.gov/authorities/names/nb2005000837	Raby, Nigel.	nb2005000837	Person		http://example.org/6622213#Agent100-16	
Bianculli, Andrea, 1968-	http://id.loc.gov/authorities/names/n2014062606	http://id.loc.gov/authorities/names/n2014062606	Bianculli, Andrea, 1968-	http://id.loc.gov/authorities/names/n2014062606	Bianculli, Andrea, 1968-	n2014062606	Person		http://example.org/6813498#Agent100-18	
Fernàndez-i-Marøn, Xavier			Fernàndez-i-Marøn, Xavier		Fernàndez-i-Marøn, Xavier.		Person		http://example.org/6813498#Agent700-33	
Jordana, Jacint, 1962-	http://id.loc.gov/authorities/names/n88054253	http://id.loc.gov/authorities/names/n88054253	Jordana, Jacint, 1962-	http://id.loc.gov/authorities/names/n88054253	Jordana, Jacint, 1962-	n88054253	Person		http://example.org/6813498#Agent700-34	
Bellassen, Valentin, 1985-	http://id.loc.gov/authorities/names/n2014071125	http://id.loc.gov/authorities/names/n2014071125	Bellassen, Valentin, 1985-	http://id.loc.gov/authorities/names/n2014071125	Bellassen, Valentin,		Person		http://example.org/6849309#Agent700-28	
Stephan, Nicolas	http://id.loc.gov/authorities/names/n2014071126	http://id.loc.gov/authorities/names/n2014071126	Stephan, Nicolas	http://id.loc.gov/authorities/names/n2014071126	Stephan, Nicolas,		Person		http://example.org/6849309#Agent700-29	
Ramirez, Juan, 1961-	http://id.loc.gov/authorities/names/n2007046685	http://id.loc.gov/authorities/names/n2007046685	Ramirez, Juan, 1961-	http://id.loc.gov/authorities/names/n2007046685	Ramirez, Juan, 1961-		Person		http://example.org/6812149#Agent100-28	
Fundació Alícia		http://id.loc.gov/authorities/names/nb2011002157	Fundació Alícia	http://id.loc.gov/authorities/names/nb2011002157	Fundació Alícia.		Organization		http://example.org/6749006#Agent110-14	
Bowden-Jones, Henrietta	http://id.loc.gov/authorities/names/n2014042932	http://id.loc.gov/authorities/names/n2014042932	Bowden-Jones, Henrietta	http://id.loc.gov/authorities/names/n2014042932	Bowden-Jones, Henrietta	n2014042932	Person		http://example.org/6813477#Agent700-37	
George, Sanju	http://id.loc.gov/authorities/names/n2014042933	http://id.loc.gov/authorities/names/n2014042933	George, Sanju	http://id.loc.gov/authorities/names/n2014042933	George, Sanju	n2014042933	Person		http://example.org/6813477#Agent700-38	
Danby, F. William	http://id.loc.gov/authorities/names/n2014187426	http://id.loc.gov/authorities/names/n2014187426	Danby, F. William	http://id.loc.gov/authorities/names/n2014187426	Danby, F. William	n2014187426	Person		http://example.org/6797127#Agent100-19	
Shepherd, Megan	http://id.loc.gov/authorities/names/n2012017491	http://id.loc.gov/authorities/names/n2012017491	Shepherd, Megan	http://id.loc.gov/authorities/names/n2012017491	Shepherd, Megan	n2012017491	Person		http://example.org/6808121#Agent100-16	
Shepherd, Megan	http://id.loc.gov/authorities/names/n2012017491	http://id.loc.gov/authorities/names/n2012017491	Shepherd, Megan	http://id.loc.gov/authorities/names/n2012017491	Shepherd, Megan	n2012017491	Person		http://example.org/6808121#Agent800-30	
Davis, John, 1961 September 24-	http://id.loc.gov/authorities/names/n95013033	http://id.loc.gov/authorities/names/n95013033	Davis, John, 1961 September 24-	http://id.loc.gov/authorities/names/n95013033	Davis, John, 1961 September 24-	n95013033	Person		http://example.org/6797101#Agent700-37	
Greenhill, Jennifer A., 1974-	http://id.loc.gov/authorities/names/n2011088813	http://id.loc.gov/authorities/names/n2011088813	Greenhill, Jennifer A., 1974-	http://id.loc.gov/authorities/names/n2011088813	Greenhill, Jennifer A., 1974-	n2011088813	Person		http://example.org/6797101#Agent700-38	
LaFountain, Jason David	http://id.loc.gov/authorities/names/no2013131581	http://id.loc.gov/authorities/names/no2013131581	LaFountain, Jason David	http://id.loc.gov/authorities/names/no2013131581	Lafountain, Jason David	no2013131581	Person		http://example.org/6797101#Agent700-39	
Hartwig, Melinda K.	http://id.loc.gov/authorities/names/no2005025265	http://id.loc.gov/authorities/names/no2005025265	Hartwig, Melinda K.	http://id.loc.gov/authorities/names/no2005025265	Hartwig, Melinda K.	no2005025265	Person		http://example.org/6774274#Agent700-34	
Juhasz, Alexandra	http://id.loc.gov/authorities/names/n92803216	http://id.loc.gov/authorities/names/n92803216	Juhasz, Alexandra	http://id.loc.gov/authorities/names/n92803216	Juhasz, Alexandra.	n92803216	Person		http://example.org/6810977#Agent700-27	
Lebow, Alisa	http://id.loc.gov/authorities/names/no98067279	http://id.loc.gov/authorities/names/no98067279	Lebow, Alisa	http://id.loc.gov/authorities/names/no98067279	Lebow, Alisa	no98067279	Person		http://example.org/6810977#Agent700-28	
Hammer, Dean, 1959-	http://id.loc.gov/authorities/names/n97032160	http://id.loc.gov/authorities/names/n97032160	Hammer, Dean, 1959-	http://id.loc.gov/authorities/names/n97032160	Hammer, Dean, 1959-	n97032160	Person		http://example.org/6706343#Agent700-36	
Livy.		n79015690	Livy	http://id.loc.gov/authorities/names/n79015690	Livy.	n79015690	Person		http://example.org/6720281#Agent600-36	
Mineo, Bernard	http://id.loc.gov/authorities/names/n2007015785	http://id.loc.gov/authorities/names/n2007015785	Mineo, Bernard	http://id.loc.gov/authorities/names/n2007015785	Mineo, Bernard.	n2007015785	Person		http://example.org/6720281#Agent700-40	
Livy.		n79015690	Livy	http://id.loc.gov/authorities/names/n79015690	Livy.	n79015690	Person		http://example.org/6798519#Agent600-30	
Mineo, Bernard	http://id.loc.gov/authorities/names/n2007015785	http://id.loc.gov/authorities/names/n2007015785	Mineo, Bernard	http://id.loc.gov/authorities/names/n2007015785	Mineo, Bernard.	n2007015785	Person		http://example.org/6798519#Agent700-34	
Scorsese, Martin	http://id.loc.gov/authorities/names/n81050379	http://id.loc.gov/authorities/names/n81050379	Scorsese, Martin	http://id.loc.gov/authorities/names/n81050379	Scorsese, Martin		Person		http://example.org/6706321#Agent600-31	
Baker, Aaron	http://id.loc.gov/authorities/names/no94038344	http://id.loc.gov/authorities/names/no94038344	Baker, Aaron	http://id.loc.gov/authorities/names/no94038344	Baker, Aaron,		Person		http://example.org/6706321#Agent700-32	
Baker, Michael Brendan	http://id.loc.gov/authorities/names/no2010072325	http://id.loc.gov/authorities/names/no2010072325	Baker, Michael Brendan	http://id.loc.gov/authorities/names/no2010072325	Baker, Michael Brendan	no2010072325	Person		http://example.org/6706321#Agent700-33	
Reagan, Ronald.		http://id.loc.gov/authorities/names/n79059562	Reagan, Ronald	http://id.loc.gov/authorities/names/n79059562	Reagan, Ronald.		Person		http://example.org/6855772#Agent600-37	
Johns, Andrew L., 1968-	http://id.loc.gov/authorities/names/n2006009145	http://id.loc.gov/authorities/names/n2006009145	Johns, Andrew L., 1968-	http://id.loc.gov/authorities/names/n2006009145	Johns, Andrew L., 1968-....	n2006009145	Person		http://example.org/6855772#Agent700-40	
O'Connell, Claire Babcock	http://id.loc.gov/authorities/names/n2003005171	http://id.loc.gov/authorities/names/n2003005171	O'Connell, Claire Babcock	http://id.loc.gov/authorities/names/n2003005171	O'Connell, Claire Babcock	n2003005171	Person		http://example.org/6709732#Agent700-34	
American Academy of Physician Assistants	http://id.loc.gov/authorities/names/n81019872	http://id.loc.gov/authorities/names/n81019872	American Academy of Physician Assistants	http://id.loc.gov/authorities/names/n81019872	American Academy of Physician Assistants,		Organization		http://example.org/6709732#Agent710-35	
Physician Assistant Education Association	http://id.loc.gov/authorities/names/nb2006026758	http://id.loc.gov/authorities/names/nb2006026758	Physician Assistant Education Association	http://id.loc.gov/authorities/names/nb2006026758	Physician Assistant Education Association,		Organization		http://example.org/6709732#Agent710-36	
Chang, Myong-Hun	http://id.loc.gov/authorities/names/n2014078939	http://id.loc.gov/authorities/names/n2014078939	Chang, Myong-Hun	http://id.loc.gov/authorities/names/n2014078939	Chang, Myong-Hun	n2014078939	Person		http://example.org/6802958#Agent100-23	
Hackshaw, Allan K.	http://id.loc.gov/authorities/names/n2005184919	http://id.loc.gov/authorities/names/n2005184919	Hackshaw, Allan K.	http://id.loc.gov/authorities/names/n2005184919	Hackshaw, Allan K.	n2005184919	Person		http://example.org/6797135#Agent100-19	
