Val	match-ID-F	score-lc	Column 1	LC-VP	match-ID	score	Cor	LC-VC	score-c	org	Column 3	Column 4	blank
Rijksuniversiteit te Leiden. Institut voor Internationale Studiën			Rijksuniversiteit te Leiden. Institut voor Internationale Studiën				Rijksuniversiteit te Leiden. Institut voor Internationale Studiën			Organization		http://example.org/1017729#Agent710-21	
Rijksuniversiteit te Leiden. Europa Instituut	n50056711	100	Rijksuniversiteit te Leiden. Europa Instituut		n50056711		Rijksuniversiteit te Leiden. Europa Instituut	n50056711	1	Organization		http://example.org/1017729#Agent710-22	
Bailey, Richard	n50016102	100	Bailey, Richard				Bailey, Richard			Person		http://example.org/1079198#Agent100-12	
European Economic Community	n79054869	100	European Economic Community		n79054869		European Economic Community	n79054869	0.9642857143	Organization		http://example.org/1079198#Agent610-20	
Castberg, Frede, 1893-1977	n92046482	100	Castberg, Frede, 1893-1977	n92046482	n92046482	1	Castberg, Frede, 1893-1977			Person		http://example.org/1055132#Agent100-12	
Jordan-Bychkov, Terry G., 1938-2003	n80046418	100	Jordan-Bychkov, Terry G., 1938-2003	n80046418	n80046418	1	Jordan-Bychkov, Terry G., 1938-2003			Person		http://example.org/10821#Agent100-12	
Bowie, Robert R. (Robert Richardson), 1909-2013	n85070407	100	Bowie, Robert R. (Robert Richardson), 1909-2013	n85070407	n85070407	0.9574468085	Bowie, Robert R. (Robert Richardson), 1909-2013			Person		http://example.org/1010712#Agent100-11	
European Economic Community	n79054869	100	European Economic Community		n79054869		European Economic Community	n79054869	0.9642857143	Organization		http://example.org/1010712#Agent610-20	
Geiger, Theodore	n78093414	100	Geiger, Theodore				Geiger, Theodore			Person		http://example.org/1010712#Agent700-23	
United States. Congress. Joint Economic Committee	n79040066	100	United States. Congress. Joint Economic Committee		n79040066		United States. Congress. Joint Economic Committee	n79040066	1	Jurisdiction		http://example.org/1010712#Agent710-24	
Meyer, F. V. (Frederick Victor)	n50031308	100	Meyer, F. V. (Frederick Victor)	n50031308	n50031308	1	Meyer, F. V. (Frederick Victor)			Person		http://example.org/1010141#Agent100-10	
European Free Trade Association	n80076378	100	European Free Trade Association		n80076378		European Free Trade Association	n80076378	0.96875	Organization		http://example.org/1010141#Agent610-18	
Europe			Europe				Europe			Organization		http://example.org/1010141#Agent610-19	
Goodwin, Albert	no2002010529	100	Goodwin, Albert				Goodwin, Albert			Person		http://example.org/1046635#Agent100-15	
Goodwin, Albert	no2002010529	100	Goodwin, Albert				Goodwin, Albert			Person		http://example.org/1043175#Agent100-11	
Goodwin, Albert	no2002010529	100	Goodwin, Albert				Goodwin, Albert			Person		http://example.org/1043178#Agent100-11	
Williams, Peter, 1937 May 14-	n50018971	91	Williams, Peter, 1937 May 14-	n50018971	n50018971	0.8787878788	Williams, Peter, 1937 May 14-			Person		http://example.org/1083100#Agent100-13	
Myres, M. T. (Miles Timothy), 1931-			Myres, M. T. (Miles Timothy), 1931-				Myres, M. T. (Miles Timothy), 1931-			Person		http://example.org/1046813#Agent100-11	
International Confederation of Free Trade Unions	n80085321	100	International Confederation of Free Trade Unions		n80085321		International Confederation of Free Trade Unions	n80085321	0.9795918367	Organization		http://example.org/1000492#Agent110-11	
International Confederation of Free Trade Unions	n80085321	100	International Confederation of Free Trade Unions		n80085321		International Confederation of Free Trade Unions	n80085321	0.9795918367	Organization		http://example.org/1000492#Agent610-20	
Standing Conference of Rectors and Vice-Chancellors of the European Universities, Bologna, 1974			Standing Conference of Rectors and Vice-Chancellors of the European Universities, Bologna, 1974				Standing Conference of Rectors and Vice-Chancellors of the European Universities, Bologna, 1974			Meeting		http://example.org/107662#Agent111-12	
Council of Europe	n78095594	100	Council of Europe				Council of Europe			Organization		http://example.org/1071825#Agent710-19	
Beyerly, Elizabeth	n90687144	100	Beyerly, Elizabeth	n90687144	n90687144	0.9473684211	Beyerly, Elizabeth			Person		http://example.org/1045016#Agent100-12	
Duby, Georges	n80028125	100	Duby, Georges	n80028125	n80028125	1	Duby, Georges			Person		http://example.org/1084264#Agent100-16	
American Podiatry Association	n50060147	100	American Podiatry Association		n50060147		American Podiatry Association	n50060147	1	Organization		http://example.org/1043010#Agent110-11	
Shaw, Alan H.	no2008134646	100	Shaw, Alan H	no2008134646	no2008134646	0.9230769231	Shaw, Alan H			Person		http://example.org/1043010#Agent700-20	
Fear, Richard A.	n82029554	100	Fear, Richard A	n82029554	n82029554	0.9375	Fear, Richard A			Person		http://example.org/1012387#Agent100-12	
Walrath, Arthur J. (Arthur Joseph), 1913-	n90674492	100	Walrath, Arthur J. (Arthur Joseph), 1913-	n90674492	n90674492	1	Walrath, Arthur J. (Arthur Joseph), 1913-			Person		http://example.org/1019078#Agent100-13	
Gibson, W. L. (William Lloyd), 1910-	n50028009	100	Gibson, W. L. (William Lloyd), 1910-	n50028009	n50028009	1	Gibson, W. L. (William Lloyd), 1910- 			Person		http://example.org/1019078#Agent700-25	
Virginia Polytechnic Institute. Agricultural and Life Sciences			Virginia Polytechnic Institute. Agricultural and Life Sciences				Virginia Polytechnic Institute. Agricultural and Life Sciences			Organization		http://example.org/1019078#Agent710-26	
Colwell, Richard	n50031916	100	Colwell, Richard	n50031916	n50031916	1	Colwell, Richard			Person		http://example.org/1075382#Agent100-16	
Eckstein, Harry	n79094548	100	Eckstein, Harry	n79094548	n79094548	1	Eckstein, Harry			Person		http://example.org/1040165#Agent100-13	
Gershman, Janis, 1950-			Gershman, Janis, 1950-				Gershman, Janis, 1950-			Person		http://example.org/100650#Agent100-9	
National Education Association of the United States. Department of Supervisors and Directors of Instruction	n79046663	97	National Education Association of the United States. Dept. of Supervisors and Directors of Instruction		n79046663		National Education Association of the United States. Dept. of Supervisors and Directors of Instruction	n79046663	0.9439252336	Organization		http://example.org/1067085#Agent110-10	
Woody, Clifford, 1884-1948	no2001082678	100	Woody, Clifford, 1884-1948	no2001082678	no2001082678	1	Woody, Clifford, 1884-1948			Person		http://example.org/1067085#Agent700-19	
Beecher, Dwight E. (Dwight Everett), 1901-	no2002104130	100	Beecher, Dwight E. (Dwight Everett), 1901-	no2002104130	no2002104130	1	Beecher, Dwight E. (Dwight Everett), 1901-			Person		http://example.org/1069906#Agent100-10	
Lewis, Gertrude M. (Gertrude Minnie), 1896-1996	no2014041209	100	Lewis, Gertrude M. (Gertrude Minnie), 1896-1996	no2014041209	no2014041209	1	Lewis, Gertrude M. (Gertrude Minnie), 1896-1996			Person		http://example.org/1059615#Agent100-10	
National Education Association of the United States. Department of Elementary-Kindergarten-Nursery Education	n50064247	100	National Education Association of the United States. Department of Elementary-Kindergarten-Nursery Education		n50064247		National Education Association of the United States. Department of Elementary-Kindergarten-Nursery Education	n50064247	1	Organization		http://example.org/1059615#Agent710-19	
College of Family Physicians of Canada	n88607120	100	College of Family Physicians of Canada		n88607120		College of Family Physicians of Canada	n88607120	1	Organization		http://example.org/1059847#Agent110-9	
Stanley, Robert A., 1929-	n97068013	100	Stanley, Robert A., 1929-	n97068013	n97068013	1	Stanley, Robert A., 1929-			Person		http://example.org/1059847#Agent700-20	
Connolly, Cyril, 1903-1974	n79089007	100	Connolly, Cyril, 1903-1974	n79089007	n79089007	1	Connolly, Cyril, 1903-1974			Person		http://example.org/1005226#Agent100-10	
Colette, 1873-1954	n79097475	100	Colette, 1873-1954	n79097475	n79097475	0.9473684211	Colette, 1873-1954			Person		http://example.org/1027459#Agent100-12	
Colette, 1873-1954	n79097475	100	Colette, 1873-1954	n79097475	n79097475	0.9473684211	Colette, 1873-1954			Person		http://example.org/1027459#Agent600-22	
Heffelfinger, Charles Hook			Heffelfinger, Charles Hook				Heffelfinger, Charles Hook			Person		http://example.org/1045239#Agent100-11	
Shuster, Ronald L., 1927-	no2003037320	100	Shuster, Ronald L., 1927-	no2003037320	no2003037320	1	Shuster, Ronald L., 1927-			Person		http://example.org/1074929#Agent100-10	
Scott, John Martin, 1913-			Scott, John Martin, 1913-				Scott, John Martin, 1913-			Person		http://example.org/1064664#Agent100-12	
Thomson, Peter, 1938-	n80159018	100	Thomson, Peter, 1938-	n80159018	n80159018	0.84	Thomson, Peter, 1938-			Person		http://example.org/1002689#Agent100-12	
Salgādo, Gāmini, 1929-1985	n50016592	96	Salgādo, Gāmini, 1929-1985	n50016592	n50016592	0.8571428571	Salgādo, Gāmini, 1929-1985			Person		http://example.org/1002689#Agent700-22	
Bernard, William Bayle, 1807-1875	n82113873	100	Bernard, William Bayle, 1807-1875	n82113873	n82113873	1	Bernard, William Bayle, 1807-1875			Person		http://example.org/1026633#Agent100-9	
Northrop, Birdsey Grant, 1817-1898	nr99010942	100	Northrop, Birdsey Grant, 1817-1898	nr99010942	nr99010942	1	Northrop, Birdsey Grant, 1817-1898			Person		http://example.org/1060246#Agent100-11	
Fraser, Stewart E.	n50025473	100	Fraser, Stewart E	n50025473	n50025473	0.9444444444	Fraser, Stewart E			Person		http://example.org/1060246#Agent700-21	
Northrop, Birdsey Grant, 1817-1898	nr99010942	100	Northrop, Birdsey Grant, 1817-1898	nr99010942	nr99010942	1	Northrop, Birdsey Grant, 1817-1898			Person		http://example.org/1060246#Agent700-22	
Irwin, Richard Gregg, 1909-	no2003080420	100	Irwin, Richard Gregg, 1909-	no2003080420	no2003080420	1	Irwin, Richard Gregg, 1909-			Person		http://example.org/1099273#Agent100-10	
Willmot, Peter			Willmot, Peter				Willmot, Peter			Person		http://example.org/1027866#Agent100-11	
Robinson, Edgar Eugene, 1887-1977	n50049157	100	Robinson, Edgar Eugene, 1887-1977	n50049157	n50049157	1	Robinson, Edgar Eugene, 1887-1977			Person		http://example.org/1045686#Agent100-11	
Nietz, John Alfred, 1888-	no97072141	86	Nietz, John Alfred, 1888-				Nietz, John Alfred, 1888-			Person		http://example.org/1081860#Agent100-11	
Henretta, James A.	n86140694	100	Henretta, James A	n86140694	n86140694	0.9444444444	Henretta, James A			Person		http://example.org/1024426#Agent100-14	
Cherry, Gordon Emanuel	n80070324	100	Cherry, Gordon Emanuel	n80070324	n80070324	1	Cherry, Gordon Emanuel			Person		http://example.org/1055279#Agent100-15	
Royal Town Planning Institute	n50069638	100	Royal Town Planning Institute		n50069638		Royal Town Planning Institute	n50069638	0.9666666667	Organization		http://example.org/1055279#Agent610-24	
Larocque, Paul Thomas Francis			Larocque, Paul Thomas Francis				Larocque, Paul Thomas Francis			Person		http://example.org/107364#Agent100-10	
Nicolson, Harold George, Sir, 1886-1968	n79135351	82	Nicolson, Harold George, Sir, 1886-1968				Nicolson, Harold George, Sir, 1886-1968			Person		http://example.org/1054566#Agent100-10	
Gordon, Richard L., 1934-	n50035014	100	Gordon, Richard L., 1934-	n50035014	n50035014	0.8620689655	Gordon, Richard L., 1934-			Person		http://example.org/1005297#Agent100-12	
Phillips, Jean Odessa Davis, 1936-	no2016055795	87	Phillips, Jean Odessa Davis, 1936-				Phillips, Jean Odessa Davis, 1936-			Person		http://example.org/1075761#Agent100-10	
Smith, William, 1859-1932			Smith, William, 1859-1932				Smith, William, 1859-1932			Person		http://example.org/1046010#Agent100-11	
Doughty, Arthur G. (Arthur George), Sir, 1860-1936	n84124612	100	Doughty, Arthur G. (Arthur George), Sir, 1860-1936	n84124612	n84124612	1	Doughty, Arthur G. (Arthur George), Sir, 1860-1936			Person		http://example.org/1046010#Agent700-20	
Simpson, Chas. W. (Charles Walter), 1885-	nr93021359	100	Simpson, Chas. W. (Charles Walter), 1885-	nr93021359	nr93021359	1	Simpson, Chas. W. (Charles Walter), 1885-			Person		http://example.org/1046010#Agent700-21	
Von Maltitz, Horst, 1905-	no2014161401	90	Von Maltitz, Horst, 1905-	no2014161401	no2014161401	0.8620689655	Von Maltitz, Horst, 1905-			Person		http://example.org/1004688#Agent100-15	
Hitler, Adolf, 1889-1945	n79046200	100	Hitler, Adolf, 1889-1945	n79046200	n79046200	0.96	Hitler, Adolf, 1889-1945			Person		http://example.org/1004688#Agent600-23	
Poggie, John J.	n91041586	100	Poggie, John J	n91041586	n91041586	0.9333333333	Poggie, John J			Person		http://example.org/104551#Agent100-11	
Pelto, Gretel H.	n81090320	100	Pelto, Gretel H	n81090320	n81090320	0.9375	Pelto, Gretel H			Person		http://example.org/104551#Agent700-20	
Pelto, Pertti J.	n50010319	100	Pelto, Pertti J	n50010319	n50010319	0.9375	Pelto, Pertti J			Person		http://example.org/104551#Agent700-21	
Stenhouse, David	n84048459	100	Stenhouse, David	n84048459	n84048459	0.9411764706	Stenhouse, David			Person		http://example.org/1021186#Agent100-12	
Schott, Francis H.	no96034430	100	Schott, Francis H	no96034430	no96034430	0.9444444444	Schott, Francis H			Person		http://example.org/1020980#Agent100-10	
Christensen, Asher Norman, 1903- 	no00023071	87	Christensen, Asher Norman, 1903- 				Christensen, Asher Norman, 1903- 			Person		http://example.org/1047004#Agent100-10	
Karst, Kenneth L.	n79100382	100	Karst, Kenneth L	n79100382	n79100382	0.9411764706	Karst, Kenneth L			Person		http://example.org/1021013#Agent100-13	
Schwartz, Murray L.	n50004143	100	Schwartz, Murray L	n50004143	n50004143	0.9473684211	Schwartz, Murray L			Person		http://example.org/1021013#Agent700-24	
Schwartz, Audrey James	n50004122	100	Schwartz, Audrey James	n50004122	n50004122	1	Schwartz, Audrey James			Person		http://example.org/1021013#Agent700-25	
Girvetz, Harry K., 1910-1974	n50033289	100	Girvetz, Harry K., 1910-1974	n50033289	n50033289	1	Girvetz, Harry K., 1910-1974			Person		http://example.org/1025783#Agent100-15	
Bloomfield, G. T. (Gerald Taylor)	n83127331	100	Bloomfield, G. T. (Gerald Taylor)	n83127331	n83127331	1	Bloomfield, G. T. (Gerald Taylor)			Person		http://example.org/1070613#Agent100-13	
Bibby, Cyril	n79075121	100	Bibby, Cyril	n79075121	n79075121	0.9230769231	Bibby, Cyril			Person		http://example.org/1049146#Agent100-10	
Carlile, William Warrand	no2004106131	100	Carlile, William Warrand	no2004106131	no2004106131	1	Carlile, William Warrand			Person		http://example.org/1015687#Agent100-10	
Hammacher, Abraham Marie, 1897-2002	n79017068	100	Hammacher, Abraham Marie, 1897-2002	n79017068	n79017068	0.9714285714	Hammacher, Abraham Marie, 1897-2002			Person		http://example.org/1084419#Agent100-13	
Ederer, Rupert J.	n81089025	100	Ederer, Rupert J	n81089025	n81089025	0.9411764706	Ederer, Rupert J			Person		http://example.org/1015691#Agent100-10	
Bairstow, Edward C. (Edward Cuthbert), 1874-1946	n80167030	100	Bairstow, Edward C. (Edward Cuthbert), 1874-1946	n80167030	n80167030	1	Bairstow, Edward C. (Edward Cuthbert), 1874-1946			Person		http://example.org/1076040#Agent100-10	
Casella, Alfredo, 1883-1947	n81111993	100	Casella, Alfredo, 1883-1947	n81111993	n81111993	1	Casella, Alfredo, 1883-1947			Person		http://example.org/1083030#Agent100-10	
Rubbra, Edmund, 1901-1986	n79115329	100	Rubbra, Edmund, 1901-1986	n79115329	n79115329	1	Rubbra, Edmund, 1901-1986			Person		http://example.org/1083030#Agent700-21	
Swanton, John Reed, 1873-1958	n79023342	100	Swanton, John Reed, 1873-1958	n79023342	n79023342	1	Swanton, John Reed, 1873-1958			Person		http://example.org/1041905#Agent100-10	
Institute for Strategic Studies (London, England)	n80050419	100	Institute for Strategic Studies (London, England)		n80050419		Institute for Strategic Studies (London, England)	n80050419	1	Organization		http://example.org/1062736#Agent110-10	
North Atlantic Treaty Organization	n79006743	100	North Atlantic Treaty Organization		n79006743		North Atlantic Treaty Organization	n79006743	1	Organization		http://example.org/1062736#Agent610-21	
Pollard, A. F. (Albert Frederick), 1869-1948	n50021406	100	Pollard, A. F. (Albert Frederick), 1869-1948	n50021406	n50021406	0.9772727273	Pollard, A. F. (Albert Frederick), 1869-1948			Person		http://example.org/1048196#Agent100-12	
Great Britain. Parliament	n79017964	100	Great Britain. Parliament		n79017964		Great Britain. Parliament	n79017964	1	Jurisdiction		http://example.org/1048196#Agent610-20	
Great Britain. Parliament	n79017964	100	Great Britain. Parliament		n79017964		Great Britain. Parliament	n79017964	1	Jurisdiction		http://example.org/1048196#Agent610-21	
Tucker, Donald Skeele, 1884-			Tucker, Donald Skeele, 1884-				Tucker, Donald Skeele, 1884-			Person		http://example.org/1018467#Agent100-11	
Schulze-Delitzsch, Hermann, 1808-1883	n84126759	100	Schulze-Delitzsch, Hermann, 1808-1883	n84126759	n84126759	1	Schulze-Delitzsch, Hermann, 1808-1883			Person		http://example.org/1018467#Agent600-22	
Jones, Arthur Griffith, 1913-	no99063726	85	Jones, Arthur Griffith, 1913-				Jones, Arthur Griffith, 1913-			Person		http://example.org/1054658#Agent100-11	
Werge, John	nr93041710	80	Werge, John				Werge, John			Person		http://example.org/1065899#Agent100-13	
Conference on Middle Eastern Affairs. 9th, Washington, D.C., 1955			Conference on Middle Eastern Affairs. 9th, Washington, D.C., 1955				Conference on Middle Eastern Affairs. 9th, Washington, D.C., 1955			Meeting		http://example.org/1050176#Agent111-11	
Hall, harvey Porter			Hall, harvey Porter				Hall, harvey Porter			Person		http://example.org/1050176#Agent700-21	
