Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Sierra, Carlos J., 1933-	n50058840	100	Sierra, Carlos J., 1933-	n50058840	n50058840	1	Sierra, Carlos J., 1933-			Person		http://example.org/1021704#Agent100-11	
Martínez Vera, Rogelio	n50067089	98	Martínez Vera, Rogelio	n50067089	n50067089	1	Martínez Vera, Rogelio			Person		http://example.org/1021704#Agent700-21	
American Association of Colleges for Teacher Education. Committee on International Relations	no00094848	100	American Association of Colleges for Teacher Education. Committee on International Relations		no00094848		American Association of Colleges for Teacher Education. Committee on International Relations	no00094848	1	Organization		http://example.org/1065865#Agent110-10	
Barker, Harold Kenneth, 1922- 			Barker, Harold Kenneth, 1922- 				Barker, Harold Kenneth, 1922- 			Person		http://example.org/1065865#Agent700-20	
Hunsicker, Paul, 1916-			Hunsicker, Paul, 1916-				Hunsicker, Paul, 1916-			Person		http://example.org/108232#Agent100-9	
Reiff, Guy G.	no91025771	100	Reiff, Guy G	no91025771	no91025771	0.9230769231	Reiff, Guy G			Person		http://example.org/108232#Agent700-22	
American Alliance for Health, Physical Education, and Recreation. Youth Fitness Project			American Alliance for Health, Physical Education, and Recreation. Youth Fitness Project				American Alliance for Health, Physical Education, and Recreation. Youth Fitness Project			Organization		http://example.org/108232#Agent710-23	
Ali, Syed Amhad, 1907-			Ali, Syed Amhad, 1907-				Ali, Syed Amhad, 1907-			Person		http://example.org/1062416#Agent100-11	
American Association of Junior Colleges	n79058490	100	American Association of Junior Colleges		n79058490		American Association of Junior Colleges	n79058490	0.9230769231	Organization		http://example.org/1057966#Agent110-13	
Pratt, Arden L.	no2011170915	100	Pratt, Arden L	no2011170915	no2011170915	0.9333333333	Pratt, Arden L			Person		http://example.org/1057966#Agent700-23	
Museum Boymans-Van Beuningen	n81056593	100	Museum Boymans-Van Beuningen		n81056593		Museum Boymans-Van Beuningen	n81056593	0.9642857143	Organization		http://example.org/1087323#Agent110-11	
Peare, Catherine Owens	n50012400	100	Peare, Catherine Owens	n50012400	n50012400	1	Peare, Catherine Owens			Person		http://example.org/1075319#Agent100-12	
Copland, Aaron, 1900-1990	n79089419	100	Copland, Aaron, 1900-1990	n79089419	n79089419	0.9615384615	Copland, Aaron, 1900-1990			Person		http://example.org/1075319#Agent600-23	
Vasiliu, Mircea	n2016031365	100	Vasiliu, Mircea	n2016031365	n2016031365	1	Vasiliu, Mircea			Person		http://example.org/1075319#Agent700-24	
American Association of School Administrators	n80061204	100	American Association of School Administrators		n80061204		American Association of School Administrators	n80061204	0.9333333333	Organization		http://example.org/1066917#Agent710-22	
Frazier, Harriet C.	no00049923	100	Frazier, Harriet C	no00049923	no00049923	0.9473684211	Frazier, Harriet C			Person		http://example.org/1011776#Agent100-10	
Shakespeare, William, 1564-1616	n78095332	100	Shakespeare, William, 1564-1616	n78095332	n78095332	0.96875	Shakespeare, William, 1564-1616			Person		http://example.org/1011776#Agent600-19	
Theobald, Mr. (Lewis), 1688-1744	n50081904	100	Theobald, Mr. (Lewis), 1688-1744	n50081904	n50081904	1	Theobald, Mr. (Lewis), 1688-1744			Person		http://example.org/1011776#Agent600-20	
Shakespeare, William, 1564-1616	n78095332	100	Shakespeare, William, 1564-1616	n78095332	n78095332	0.96875	Shakespeare, William, 1564-1616			Person		http://example.org/1011776#Agent600-21	
Cervantes Saavedra, Miguel de, 1547-1616	n79100233	100	Cervantes Saavedra, Miguel de, 1547-1616	n79100233	n79100233	0.9512195122	Cervantes Saavedra, Miguel de, 1547-1616			Person		http://example.org/1011776#Agent600-22	
Cervantes Saavedra, Miguel de, 1547-1616	n79100233	100	Cervantes Saavedra, Miguel de, 1547-1616	n79100233	n79100233	0.9512195122	Cervantes Saavedra, Miguel de, 1547-1616			Person		http://example.org/1011776#Agent600-23	
Waugh, Evelyn, 1903-1966	n79049248	100	Waugh, Evelyn, 1903-1966	n79049248	n79049248	0.96	Waugh, Evelyn, 1903-1966			Person		http://example.org/107876#Agent100-11	
Sitwell, Sacheverell, 1897-1988	n79018081	100	Sitwell, Sacheverell, 1897-1988	n79018081	n79018081	1	Sitwell, Sacheverell, 1897-1988			Person		http://example.org/1074457#Agent100-10	
Scarlatti, Domenico, 1685-1757	n79070071	100	Scarlatti, Domenico, 1685-1757	n79070071	n79070071	0.9333333333	Scarlatti, Domenico, 1685-1757			Person		http://example.org/1074457#Agent600-18	
Sábato, Ernesto R.	n80028392	97	Sábato, Ernesto R	n80028392	n80028392	0.9444444444	Sábato, Ernesto R			Person		http://example.org/1080212#Agent100-10	
Peppermüller, Rolf, 1934-	nr2004020049	98	Peppermüller, Rolf, 1934-	nr2004020049	nr2004020049	0.96	Peppermüller, Rolf, 1934-			Person		http://example.org/1026775#Agent100-11	
Abelard, Peter, 1079-1142	n79142562	100	Abelard, Peter, 1079-1142	n79142562	n79142562	1	Abelard, Peter, 1079-1142			Person		http://example.org/1026775#Agent600-21	
Joffo, Joseph	n50038341	100	Joffo, Joseph	n50038341	n50038341	1	Joffo, Joseph			Person		http://example.org/1051306#Agent100-12	
Lapa, José Roberto do Amaral	n82055129	98	Lapa, José Roberto do Amaral	n82055129	n82055129	1	Lapa, José Roberto do Amaral			Person		http://example.org/1010292#Agent100-11	
Qazaq SSR-nīn︠g︡ A.S. Pushkin atyndaghy memlekettīk kītapkhanasy	n80165413	97	Qazaq SSR-nīn͡g A.S. Pushkin atyndaghy memlekettīk kītapkhanasy		n80165413		Qazaq SSR-nīn͡g A.S. Pushkin atyndaghy memlekettīk kītapkhanasy	n80165413	0.96875	Organization		http://example.org/1099121#Agent110-10	
Qūnanbaev, Abaĭ, 1845-1904	n84127907	96	Qūnanbaev, Abaĭ, 1845-1904	n84127907	n84127907	1	Qūnanbaev, Abaĭ, 1845-1904			Person		http://example.org/1099121#Agent600-19	
Ėlʹkonina, F. I			Ėlʹkonina, F. I				Ėlʹkonina, F. I			Person		http://example.org/1099121#Agent700-20	
Koĭchubaeva, B. K			Koĭchubaeva, B. K				Koĭchubaeva, B. K			Person		http://example.org/1099121#Agent700-21	
Myrzakhmetov, M	nr99014371	82	Myrzakhmetov, M				Myrzakhmetov, M			Person		http://example.org/1099121#Agent700-22	
Auėzov, Mukhtar Omarkhanovich, 1897-1961	n81108866	99	Auėzov, Mukhtar Omarkhanovich, 1897-1961	n81108866	n81108866	0.975	Auėzov, Mukhtar Omarkhanovich, 1897-1961			Person		http://example.org/1099115#Agent100-10	
Qūnanbaev, Abaĭ, 1845-1904	n84127907	96	Qūnanbaev, Abaĭ, 1845-1904	n84127907	n84127907	1	Qūnanbaev, Abaĭ, 1845-1904			Person		http://example.org/1099115#Agent600-20	
Pestieau, Caroline, 1940-	n85370239	100	Pestieau, Caroline, 1940-	n85370239	n85370239	1	Pestieau, Caroline, 1940-			Person		http://example.org/1072013#Agent100-13	
Canadian-American Committee	n50047112	100	Canadian-American Committee		n50047112		Canadian-American Committee	n50047112	0.9642857143	Organization		http://example.org/1072013#Agent710-24	
Kiely, Benedict	n79150453	100	Kiely, Benedict	n79150453	n79150453	1	Kiely, Benedict			Person		http://example.org/1010611#Agent100-11	
Whiting, Robert Rudd, 1877-	nr89010044	100	Whiting, Robert Rudd, 1877-	nr89010044	nr89010044	1	Whiting, Robert Rudd, 1877-			Person		http://example.org/1024706#Agent100-9	
American Bankers Association. Credit Policy Committee			American Bankers Association. Credit Policy Committee				American Bankers Association. Credit Policy Committee			Organization		http://example.org/1015993#Agent110-11	
American Bankers Association. Small Business Credit Committee	n88666730	100	American Bankers Association. Small Business Credit Committee		n88666730		American Bankers Association. Small Business Credit Committee	n88666730	1	Organization		http://example.org/1015993#Agent710-21	
Tasis i Marca, Rafael, 1906-1966	n79054567	100	Tasis i Marca, Rafael, 1906-1966	n79054567	n79054567	1	Tasis i Marca, Rafael, 1906-1966			Person		http://example.org/1095006#Agent100-10	
Ferran de Pol, Lluís, 1911-	n85257457	88	Ferran de Pol, Lluís, 1911-	n85257457	n85257457	0.8709677419	Ferran de Pol, Lluís, 1911-			Person		http://example.org/1094889#Agent100-10	
Hospers, J. H.	n79082069	100	Hospers, J. H	n79082069	n79082069	0.8461538462	Hospers, J. H			Person		http://example.org/1043919#Agent700-20	
Mallen, Bruce E.	n50040660	100	Mallen, Bruce E	n50040660	n50040660	0.9375	Mallen, Bruce E			Person		http://example.org/1010237#Agent100-12	
Litvak, Isaiah A.	n50051963	100	Litvak, Isaiah A	n50051963	n50051963	0.9411764706	Litvak, Isaiah A			Person		http://example.org/1010237#Agent700-23	
Buzzell, Robert D. (Robert Dow), 1933-	n84129474	100	Buzzell, Robert D. (Robert Dow), 1933-	n84129474	n84129474	1	Buzzell, Robert D. (Robert Dow), 1933-			Person		http://example.org/1011571#Agent100-10	
Taylor, Richard	n80066164	100	Taylor, Richard				Taylor, Richard			Person		http://example.org/1085048#Agent100-13	
Erwin, Wallace M.	no2002060033	100	Erwin, Wallace M	no2002060033	no2002060033	0.9411764706	Erwin, Wallace M			Person		http://example.org/1098097#Agent100-12	
Anderson, Theodore R.	n89654087	100	Anderson, Theodore R	n89654087	n89654087	0.9523809524	Anderson, Theodore R			Person		http://example.org/1074968#Agent100-12	
Zelditch, Morris	n84235951	91	Zelditch, Morris				Zelditch, Morris			Person		http://example.org/1074968#Agent700-24	
Maby, Pascale	n50037433	100	Maby, Pascale	n50037433	n50037433	1	Maby, Pascale			Person		http://example.org/1068248#Agent100-12	
Cornell University	n79021621	100	Cornell University		n79021621		Cornell University	n79021621	0.9444444444	Organization		http://example.org/1059989#Agent110-10	
Levin, Harry, 1925-	n50000029	100	Levin, Harry, 1925-	n50000029	n50000029	1	Levin, Harry, 1925-			Person		http://example.org/1059989#Agent700-19	
Erickson, Clifford Eric, 1907- 	no2001099326	83	Erickson, Clifford Eric, 1907- 				Erickson, Clifford Eric, 1907- 			Person		http://example.org/1074379#Agent100-10	
Seagroatt, Margaret	n50004905	100	Seagroatt, Margaret	n50004905	n50004905	1	Seagroatt, Margaret			Person		http://example.org/104990#Agent100-12	
Victor, Marion	no2013054642	96	Victor, Mário				Victor, Mário			Person		http://example.org/1004527#Agent100-11	
Crawford, Thomas	n50019066	100	Crawford, Thomas	n50019066	n50019066	0.9411764706	Crawford, Thomas			Person		http://example.org/104853#Agent100-9	
Buffington, Veronica			Buffington, Veronica				Buffington, Veronica			Person		http://example.org/104853#Agent700-19	
Baudouin de Courtenay, Jan Niecisław, 1845-1929	n81080652	100	Baudouin de Courtenay, Jan Niecisław, 1845-1929	n81080652	n81080652	1	Baudouin de Courtenay, Jan Niecisław, 1845-1929			Person		http://example.org/1094284#Agent100-14	
Groulx, Lionel, 1878-1967	n50032974	100	Groulx, Lionel, 1878-1967	n50032974	n50032974	1	Groulx, Lionel, 1878-1967			Person		http://example.org/1008961#Agent100-17	
Groulx, Lionel, 1878-1967	n50032974	100	Groulx, Lionel, 1878-1967	n50032974	n50032974	1	Groulx, Lionel, 1878-1967			Person		http://example.org/1008961#Agent600-26	
Mann, Susan, 1941-	n50012543	100	Mann, Susan, 1941-	n50012543	n50012543	0.8181818182	Mann, Susan, 1941-			Person		http://example.org/1008961#Agent700-29	
Lawton, Edith Buchwald, 1911-	no2004104431	100	Lawton, Edith Buchwald, 1911-	no2004104431	no2004104431	1	Lawton, Edith Buchwald, 1911-			Person		http://example.org/1033119#Agent100-10	
Ueberwasser, Walter, 1898-1972	n87898520	100	Ueberwasser, Walter, 1898-1972	n87898520	n87898520	1	Ueberwasser, Walter, 1898-1972			Person		http://example.org/1085933#Agent100-10	
Pelligrini, Alfred Heinrich, 1881-			Pelligrini, Alfred Heinrich, 1881-				Pelligrini, Alfred Heinrich, 1881-			Person		http://example.org/1085933#Agent600-18	
Thormann, Anne Marie			Thormann, Anne Marie				Thormann, Anne Marie			Person		http://example.org/1085933#Agent700-19	
Armytage, W. H. G.	n50001532	100	Armytage, W. H. G	n50001532	n50001532	0.9444444444	Armytage, W. H. G			Person		http://example.org/1027707#Agent100-11	
Mundella, Anthony John, 1825-1897	nr00036907	100	Mundella, Anthony John, 1825-1897	nr00036907	nr00036907	1	Mundella, Anthony John, 1825-1897			Person		http://example.org/1027707#Agent600-19	
Lane, William Coolidge, 1859-1931	n89637992	100	Lane, William Coolidge, 1859-1931	n89637992	n89637992	1	Lane, William Coolidge, 1859-1931			Person		http://example.org/1090359#Agent700-22	
Browne, Nina E. (Nina Eliza)	n90648661	100	Browne, Nina E. (Nina Eliza)	n90648661	n90648661	1	Browne, Nina E. (Nina Eliza)			Person		http://example.org/1090359#Agent700-23	
American Library Association	n79062941	100	American Library Association		n79062941		American Library Association	n79062941	0.9285714286	Organization		http://example.org/1090359#Agent710-24	
Ripley, Aiden Lassell, 1896-1969	no98069538	100	Ripley, Aiden Lassell, 1896-1969	no98069538	no98069538	1	Ripley, Aiden Lassell, 1896-1969			Person		http://example.org/1085481#Agent100-12	
Weeks, Edward, 1898-1989	n50022721	100	Weeks, Edward, 1898-1989	n50022721	n50022721	1	Weeks, Edward, 1898-1989			Person		http://example.org/1085481#Agent700-20	
Lewis, Oscar, 1893-1992	n50049586	100	Lewis, Oscar, 1893-1992	n50049586	n50049586	1	Lewis, Oscar, 1893-1992			Person		http://example.org/1073943#Agent100-10	
Bender, Albert M. (Albert Maurice), 1866-1941	n82234465	100	Bender, Albert M. (Albert Maurice), 1866-1941	n82234465	n82234465	1	Bender, Albert M. (Albert Maurice), 1866-1941			Person		http://example.org/1073943#Agent600-19	
Ortenberg	n2009070505	82	Ortenberg				Ortenberg			Person		http://example.org/1081990#Agent100-10	
Aleksandrov, Anatoliĭ Nikolaevich, 1888-1982	n79091513	99	Aleksandrov, Anatoliĭ Nikolaevich, 1888-1982	n79091513	n79091513	0.9555555556	Aleksandrov, Anatoliĭ Nikolaevich, 1888-1982			Person		http://example.org/1081990#Agent600-19	
Morand, Paul, 1888-1976	n50005806	100	Morand, Paul, 1888-1976	n50005806	n50005806	0.9583333333	Morand, Paul, 1888-1976			Person		http://example.org/1067315#Agent100-11	
Persius	n79060980	100	Persius	n79060980	n79060980	0.875	Persius			Person		http://example.org/1091249#Agent100-10	
Clausen, Wendell, 1923-2006	n82141604	100	Clausen, Wendell, 1923-2006	n82141604	n82141604	1	Clausen, Wendell, 1923-2006			Person		http://example.org/1091249#Agent700-19	
Juvenal Satirae			Juvenal Satirae				Juvenal Satirae			Person		http://example.org/1091249#Agent700-20	
Dana, Julian, 1907-			Dana, Julian, 1907-				Dana, Julian, 1907-			Person		http://example.org/1018186#Agent100-10	
Giannini, Amadeo Peter, 1870-1949	n92035198	100	Giannini, Amadeo Peter, 1870-1949	n92035198	n92035198	1	Giannini, Amadeo Peter, 1870-1949			Person		http://example.org/1018186#Agent600-18	
Laritschew, Witalij Epifanowitsch			Laritschew, Witalij Epifanowitsch				Laritschew, Witalij Epifanowitsch			Person		http://example.org/1079678#Agent100-12	
Okladnikov, A. P. (Alekseĭ Pavlovich), 1908-1981	n80104168	99	Okladnikov, A. P. (Alekseĭ Pavlovich), 1908-1981	n80104168	n80104168	0.9791666667	Okladnikov, A. P. (Alekseĭ Pavlovich), 1908-1981			Person		http://example.org/1079678#Agent600-21	
Obshchestvo po rasprostranenii︠u︡ politicheskikh i nauchnykh znaniĭ RSFSR	no2007038746	99	Obshchestvo po rasprostranenii͡u politicheskikh i nauchnykh znaniĭ RSFSR		no2007038746		Obshchestvo po rasprostranenii͡u politicheskikh i nauchnykh znaniĭ RSFSR	no2007038746	0.9459459459	Organization		http://example.org/1079678#Agent710-24	
Irkutskiĭ oblastnoĭ kraevedcheskiĭ muzeĭ	n83074870	95	Irkutskiĭ oblastnoĭ kraevedcheskiĭ muzeĭ		n83074870		Irkutskiĭ oblastnoĭ kraevedcheskiĭ muzeĭ	n83074870	1	Organization		http://example.org/1079678#Agent710-25	
Moberg, Vilhelm, 1898-1973	n79061336	100	Moberg, Vilhelm, 1898-1973	n79061336	n79061336	0.962962963	Moberg, Vilhelm, 1898-1973			Person		http://example.org/103264#Agent100-9	
Haldane, J. B. S. (John Burdon Sanderson), 1892-1964	n50018602	100	Haldane, J. B. S. (John Burdon Sanderson), 1892-1964	n50018602	n50018602	0.9615384615	Haldane, J. B. S. (John Burdon Sanderson), 1892-1964			Person		http://example.org/1043720#Agent100-13	
Nezhinskiĭ, Nikolaĭ Pavlovich			Nezhinskiĭ, Nikolaĭ Pavlovich				Nezhinskiĭ, Nikolaĭ Pavlovich			Person		http://example.org/1061603#Agent100-11	
Makarenko, Anton Semenovich, 1888-1939	n79081824	100	Makarenko, Anton Semenovich, 1888-1939	n79081824	n79081824	0.9743589744	Makarenko, Anton Semenovich, 1888-1939			Person		http://example.org/1061603#Agent600-20	
Getmanet͡s, M. F			Getmanet͡s, M. F				Getmanet͡s, M. F			Person		http://example.org/1061602#Agent100-10	
Makarenko, Anton Semenovich, 1888-1939	n79081824	100	Makarenko, Anton Semenovich, 1888-1939	n79081824	n79081824	0.9743589744	Makarenko, Anton Semenovich, 1888-1939			Person		http://example.org/1061602#Agent600-19	
Morozova, N. A. (Nina Alekseevna)	nr93013736	100	Morozova, N. A. (Nina Alekseevna)	nr93013736	nr93013736	1	Morozova, N. A. (Nina Alekseevna)			Person		http://example.org/1065534#Agent100-10	
Makarenko, Anton Semenovich, 1888-1939	n79081824	100	Makarenko, Anton Semenovich, 1888-1939	n79081824	n79081824	0.9743589744	Makarenko, Anton Semenovich, 1888-1939			Person		http://example.org/1065534#Agent600-19	
Blagoĭ, D. D. (Dmitriĭ Dmitrievich), 1893-1984	n83063044		Blagoĭ, D. D. (Dmitriĭ Dmitrievich), 1893-1984	n83063044	n83063044	0.9166666667	Blagoĭ, D. D. (Dmitriĭ Dmitrievich), 1893-1984			Person		http://example.org/1040817#Agent100-9	
Pushkin, Aleksandr Sergeevich, 1799-1837	n80036579	100	Pushkin, Aleksandr Sergeevich, 1799-1837	n80036579	n80036579	1	Pushkin, Aleksandr Sergeevich, 1799-1837			Person		http://example.org/1040817#Agent600-17	
Danielian, N. R. (Noobar Retheos)	n90627464	100	Danielian, N. R. (Noobar Retheos)	n90627464	n90627464	1	Danielian, N. R. (Noobar Retheos)			Person		http://example.org/1075333#Agent100-11	
American Telephone and Telegraph Company	n80014461	100	American Telephone and Telegraph Company		n80014461		American Telephone and Telegraph Company	n80014461	0.9756097561	Organization		http://example.org/1075333#Agent610-21	
Rosenberg, Adolf, 1850-1906	n83132168	100	Rosenberg, Adolf, 1850-1906	n83132168	n83132168	0.9642857143	Rosenberg, Adolf, 1850-1906			Person		http://example.org/1085763#Agent100-10	
Werner, Anton Alexander von, 1843-			Werner, Anton Alexander von, 1843-				Werner, Anton Alexander von, 1843-			Person		http://example.org/1085763#Agent600-19	
Gray, John Morgan, 1907-1978	nb90593775	100	Gray, John Morgan, 1907-1978	nb90593775	nb90593775	1	Gray, John Morgan, 1907-1978			Person		http://example.org/105797#Agent100-9	
Mackenzie, Alick W., 1870?-1938			Mackenzie, Alick W., 1870?-1938				Mackenzie, Alick W., 1870?-1938			Person		http://example.org/105797#Agent600-17	
Hilt, Douglas Richard, 1932-			Hilt, Douglas Richard, 1932-				Hilt, Douglas Richard, 1932-			Person		http://example.org/1074733#Agent100-9	
Schlegel, August Wilhelm von, 1767-1845	n50004731	100	Schlegel, August Wilhelm von, 1767-1845				Schlegel, August Wilhelm von, 1767-1845			Person		http://example.org/1074733#Agent600-19	
Rivas, Angel de Saavedra, duque de, 1791-1865	n80049561	100	Rivas, Angel de Saavedra, duque de, 1791-1865	n80049561	n80049561	0.9777777778	Rivas, Angel de Saavedra, duque de, 1791-1865			Person		http://example.org/1074733#Agent600-20	
Grillparzer, Franz, 1791-1872	n79125107	100	Grillparzer, Franz, 1791-1872	n79125107	n79125107	0.9666666667	Grillparzer, Franz, 1791-1872			Person		http://example.org/1074733#Agent600-21	
Volkmer, August			Volkmer, August				Volkmer, August			Person		http://example.org/1019536#Agent100-9	
Schlegel, August Wilhelm von, 1767-1845	n50004731	100	Schlegel, August Wilhelm von, 1767-1845				Schlegel, August Wilhelm von, 1767-1845			Person		http://example.org/1019536#Agent600-18	
Lessing, Gotthold Ephraim, 1729-1781	n79144996	100	Lessing, Gotthold Ephraim, 1729-1781	n79144996	n79144996	0.972972973	Lessing, Gotthold Ephraim, 1729-1781			Person		http://example.org/1019536#Agent600-19	
Robson, Albert H. (Albert Henry), 1882-1939			Robson, Albert H. (Albert Henry), 1882-1939				Robson, Albert H. (Albert Henry), 1882-1939			Person		http://example.org/1086073#Agent100-10	
Jackson, A. Y. (Alexander Young), 1882-1974	n83219803	100	Jackson, A. Y. (Alexander Young), 1882-1974	n83219803	n83219803	1	Jackson, A. Y. (Alexander Young), 1882-1974			Person		http://example.org/1086073#Agent600-20	
Teeters, Negley King, 1896-			Teeters, Negley King, 1896-				Teeters, Negley King, 1896-			Person		http://example.org/1036468#Agent100-11	
Hedblom, Jack H., 1938-	n2007180045	100	Hedblom, Jack H., 1938-	n2007180045	n2007180045	1	Hedblom, Jack H., 1938- 			Person		http://example.org/1036468#Agent700-21	
Donelson, Kenneth L.	n79145332	100	Donelson, Kenneth L	n79145332	n79145332	0.95	Donelson, Kenneth L			Person		http://example.org/10263#Agent100-11	
National Council of Teachers of English	n79023195	100	National Council of Teachers of English		n79023195		National Council of Teachers of English	n79023195	0.975	Organization		http://example.org/10263#Agent710-21	
ʻAbdulḥaq, 1869-1961	n81080014	97	ʻAbdulḥaq, 1869-1961	n81080014	n81080014	0.8571428571	ʻAbdulḥaq, 1869-1961			Person		http://example.org/1051431#Agent100-10	
Wiggins, Samuel Paul, 1919-	no2002067504	89	Wiggins, Samuel Paul, 1919-				Wiggins, Samuel Paul, 1919-			Person		http://example.org/1065831#Agent100-10	
Michaelis, John Udell, 1912-	n80057409	100	Michaelis, John Udell, 1912-	n80057409	n80057409	1	Michaelis, John Udell, 1912-			Person		http://example.org/1065818#Agent100-10	
Dumas, Enoch	n80107102	100	Dumas, Enoch	n80107102	n80107102	0.9230769231	Dumas, Enoch			Person		http://example.org/1065818#Agent700-20	
Grim, Paul R. (Paul Ridgeway), 1910-	no2008179284	100	Grim, Paul R. (Paul Ridgeway), 1910-	no2008179284	no2008179284	1	Grim, Paul R. (Paul Ridgeway), 1910-			Person		http://example.org/1065795#Agent100-13	
Michaelis, John Udell, 1912-	n80057409	100	Michaelis, John Udell, 1912-	n80057409	n80057409	1	Michaelis, John Udell, 1912- 			Person		http://example.org/1065795#Agent700-22	
Perrodin, Alexander Frank			Perrodin, Alexander Frank				Perrodin, Alexander Frank			Person		http://example.org/1065838#Agent100-11	
O'Hara, William T.	n83030833	100	O'Hara, William T	n83030833	n83030833	0.9444444444	O'Hara, William T			Person		http://example.org/1039134#Agent100-12	
Hill, John Glenwood, 1929-	no2003082124	100	Hill, John Glenwood, 1929-	no2003082124	no2003082124	1	Hill, John Glenwood, 1929-			Person		http://example.org/1039134#Agent700-21	
Robinson, H. P. (Henry Peach), 1830-1901	n50049097	100	Robinson, H. P. (Henry Peach), 1830-1901	n50049097	n50049097	1	Robinson, H. P. (Henry Peach), 1830-1901			Person		http://example.org/1059353#Agent100-11	
University of Chicago. Law School	n79060603	100	University of Chicago. Law School		n79060603		University of Chicago. Law School	n79060603	0.9696969697	Organization		http://example.org/107188#Agent110-9	
Morgan, G. Campbell (George Campbell), 1863-1945	n50005828	100	Morgan, G. Campbell (George Campbell), 1863-1945	n50005828	n50005828	1	Morgan, G. Campbell (George Campbell), 1863-1945			Person		http://example.org/1011538#Agent100-10	
De Rusett, E. Dunscombe			De Rusett, E. Dunscombe				De Rusett, E. Dunscombe			Person		http://example.org/1011538#Agent700-19	
Logasa, Hannah, 1879-1967	n50039509	100	Logasa, Hannah, 1879-1967	n50039509	n50039509	1	Logasa, Hannah, 1879-1967			Person		http://example.org/1063748#Agent100-10	
Maraspini, A. L.	no2004109211	100	Maraspini, A. L	no2004109211	no2004109211	0.8666666667	Maraspini, A. L			Person		http://example.org/1028245#Agent100-13	
Kentron Koinonikon Epistemon Athenon	no2011097427	89	Kentron Koinonikon Epistemon Athenon		no2011097427		Kentron Koinonikon Epistemon Athenon	no2011097427	0.8292682927	Organization		http://example.org/1028245#Agent810-26	
Fried, Morton H. (Morton Herbert), 1923-1986	n79125719	100	Fried, Morton H. (Morton Herbert), 1923-1986	n79125719	n79125719	1	Fried, Morton H. (Morton Herbert), 1923-1986			Person		http://example.org/1041894#Agent100-13	
Hunter, David E.	n79053750	100	Hunter, David E				Hunter, David E			Person		http://example.org/100411#Agent100-12	
Whitten, Phillip	n79053754	100	Whitten, Phillip	n79053754	n79053754	1	Whitten, Phillip			Person		http://example.org/100411#Agent700-21	
Harbeson, John F. (John Frederick), 1888-1986	n86053367	100	Harbeson, John F. (John Frederick), 1888-1986	n86053367	n86053367	1	Harbeson, John F. (John Frederick), 1888-1986			Person		http://example.org/1083620#Agent100-11	
New York (N.Y.) Beaux-arts institute of design	no89008470	82	New York (N.Y.) Beaux-arts institute of design				New York (N.Y.) Beaux-arts institute of design			Jurisdiction		http://example.org/1083620#Agent610-19	
Allsopp, Bruce	n50021056	100	Allsopp, Bruce	n50021056	n50021056	1	Allsopp, Bruce			Person		http://example.org/1081367#Agent100-12	
Brazell, Mary Josephine, 1930-			Brazell, Mary Josephine, 1930-				Brazell, Mary Josephine, 1930-			Person		http://example.org/1072461#Agent100-9	
Nevin, John A.	n81022046	100	Nevin, John A	n81022046	n81022046	0.9285714286	Nevin, John A			Person		http://example.org/1007085#Agent100-16	
Institute on College Self Study. 4th, University of California, 1962			Institute on College Self Study. 4th, University of California, 1962				Institute on College Self Study. 4th, University of California, 1962			Organization		http://example.org/1066776#Agent110-10	
Tyler, Ralph W. (Ralph Winfred), 1902-1994	n80015402	100	Tyler, Ralph W. (Ralph Winfred), 1902-1994	n80015402	n80015402	1	Tyler, Ralph W. (Ralph Winfred), 1902-1994			Person		http://example.org/1066776#Agent700-19	
Lunsford, Terry F			Lunsford, Terry F				Lunsford, Terry F			Person		http://example.org/1066776#Agent700-20	
Western Interstate Commission for Higher Education	n79139499	100	Western Interstate Commission for Higher Education		n79139499		Western Interstate Commission for Higher Education	n79139499	1	Organization		http://example.org/1066776#Agent710-21	
University of California, Berkeley	n79046084	100	University of California, Berkeley		n79046084		University of California, Berkeley	n79046084	0.9714285714	Organization		http://example.org/1066776#Agent710-22	
Groennings, Sven	n90676591	100	Groennings, Sven	n90676591	n90676591	1	Groennings, Sven			Person		http://example.org/1041097#Agent100-14	
Kelley, E. W.	n85138897	100	Kelley, E. W	n85138897	n85138897	0.9230769231	Kelley, E. W			Person		http://example.org/1041097#Agent700-25	
Leiserson, Michael	n93113772	94	Leiserson, Michael	n93113772	n93113772	0.8571428571	Leiserson, Michael			Person		http://example.org/1041097#Agent700-26	
Alker, Hayward R.	n82210375	100	Alker, Hayward R	n82210375	n82210375	0.9411764706	Alker, Hayward R			Person		http://example.org/1041097#Agent700-27	
Heckscher, Gunnar, 1909-	n50027384	100	Heckscher, Gunnar, 1909-	n50027384	n50027384	0.8571428571	Heckscher, Gunnar, 1909-			Person		http://example.org/1043668#Agent100-13	
International Political Science Association	n79095361	100	International Political Science Association		n79095361		International Political Science Association	n79095361	0.9772727273	Organization		http://example.org/1043668#Agent710-22	
Langness, L. L. (Lewis L.), 1929-	n50035897	100	Langness, L. L. (Lewis L.), 1929-	n50035897	n50035897	1	Langness, L. L. (Lewis L.), 1929-			Person		http://example.org/1038574#Agent100-11	
Bruce, Martha	n88601307	100	Bruce, Martha	n88601307	n88601307	1	Bruce, Martha			Person		http://example.org/1065488#Agent100-12	
